rank	score	disease_name	disease_identifier
1	0.023579727858304977	ORPHA:1772	ORPHA:1772
2	0.023909782990813255	OMIM:201750	OMIM:201750
3	0.02620205655694008	OMIM:250790	OMIM:250790
4	0.026683615520596504	OMIM:300519	OMIM:300519
5	0.027394000440835953	ORPHA:163979	ORPHA:163979
6	0.027638936415314674	OMIM:201810	OMIM:201810
7	0.02787894569337368	OMIM:243800	OMIM:243800
8	0.02813410572707653	OMIM:136140	OMIM:136140
9	0.028671791777014732	OMIM:618419	OMIM:618419
10	0.028692439198493958	OMIM:305400	OMIM:305400
11	0.02883678302168846	OMIM:618156	OMIM:618156
12	0.029018459841609	ORPHA:95699	ORPHA:95699
13	0.029392089694738388	OMIM:619522	OMIM:619522
14	0.029472587630152702	ORPHA:2505	ORPHA:2505
15	0.029775355011224747	ORPHA:90797	ORPHA:90797
16	0.02977752313017845	ORPHA:3134	ORPHA:3134
17	0.030113378539681435	OMIM:222470	OMIM:222470
18	0.030191823840141296	OMIM:163950	OMIM:163950
19	0.03028041310608387	OMIM:270400	OMIM:270400
20	0.030382124707102776	OMIM:129900	OMIM:129900
21	0.030531004071235657	ORPHA:85321	ORPHA:85321
22	0.03056877851486206	OMIM:301040	OMIM:301040
23	0.03068392537534237	OMIM:181270	OMIM:181270
24	0.030690765008330345	ORPHA:1596	ORPHA:1596
25	0.030699606984853745	ORPHA:261534	ORPHA:261534
26	0.030772674828767776	OMIM:309580	OMIM:309580
27	0.03080807253718376	OMIM:610733	OMIM:610733
28	0.030818359926342964	ORPHA:163956	ORPHA:163956
29	0.030942628160119057	OMIM:617159	OMIM:617159
30	0.030961748212575912	OMIM:601803	OMIM:601803
31	0.030973080545663834	ORPHA:672	ORPHA:672
32	0.030979352071881294	OMIM:618653	OMIM:618653
33	0.031002862378954887	OMIM:619951	OMIM:619951
34	0.03118102438747883	OMIM:607143	OMIM:607143
35	0.03126656264066696	ORPHA:163971	ORPHA:163971
36	0.03130969777703285	OMIM:122470	OMIM:122470
37	0.031408365815877914	ORPHA:261311	ORPHA:261311
38	0.031492460519075394	OMIM:613026	OMIM:613026
39	0.03158360347151756	ORPHA:217346	ORPHA:217346
40	0.03164013475179672	OMIM:619503	OMIM:619503
41	0.031662117689847946	OMIM:300855	OMIM:300855
42	0.03169948607683182	OMIM:604292	OMIM:604292
43	0.03170301020145416	OMIM:602782	OMIM:602782
44	0.031773850321769714	OMIM:601358	OMIM:601358
45	0.03180347755551338	OMIM:301056	OMIM:301056
46	0.03181167319417	OMIM:235255	OMIM:235255
47	0.0318191796541214	ORPHA:96097	ORPHA:96097
48	0.0318257212638855	OMIM:312830	OMIM:312830
49	0.0318521149456501	OMIM:135900	OMIM:135900
50	0.03191910684108734	ORPHA:1655	ORPHA:1655
51	0.031924594193696976	OMIM:619488	OMIM:619488
52	0.03202071413397789	OMIM:603736	OMIM:603736
53	0.032048068940639496	OMIM:601353	OMIM:601353
54	0.03205740079283714	OMIM:613563	OMIM:613563
55	0.03206388279795647	ORPHA:251066	ORPHA:251066
56	0.03208097815513611	OMIM:300845	OMIM:300845
57	0.032113708555698395	OMIM:618454	OMIM:618454
58	0.032234467566013336	ORPHA:397590	ORPHA:397590
59	0.032306745648384094	ORPHA:261519	ORPHA:261519
60	0.03233657777309418	ORPHA:3455	ORPHA:3455
61	0.03239518776535988	ORPHA:235	ORPHA:235
62	0.032446302473545074	OMIM:612289	OMIM:612289
63	0.03249259665608406	OMIM:151100	OMIM:151100
64	0.032496657222509384	ORPHA:96149	ORPHA:96149
65	0.03252757713198662	OMIM:180849	OMIM:180849
66	0.032568469643592834	ORPHA:1439	ORPHA:1439
67	0.032573018223047256	OMIM:611174	OMIM:611174
68	0.03257445618510246	ORPHA:1308	ORPHA:1308
69	0.032689232379198074	OMIM:147920	OMIM:147920
70	0.03270173817873001	OMIM:619841	OMIM:619841
71	0.03270605579018593	ORPHA:459070	ORPHA:459070
72	0.032710641622543335	OMIM:612651	OMIM:612651
73	0.03276604786515236	ORPHA:373	ORPHA:373
74	0.032791875302791595	OMIM:300712	OMIM:300712
75	0.032804250717163086	OMIM:613224	OMIM:613224
76	0.03281226381659508	ORPHA:90791	ORPHA:90791
77	0.03283461928367615	OMIM:261540	OMIM:261540
78	0.03285927698016167	OMIM:615546	OMIM:615546
79	0.032874688506126404	OMIM:308700	OMIM:308700
80	0.03291907534003258	ORPHA:83617	ORPHA:83617
81	0.03296593949198723	OMIM:300895	OMIM:300895
82	0.033024612814188004	ORPHA:127	ORPHA:127
83	0.03305874392390251	OMIM:229850	OMIM:229850
84	0.03307297080755234	OMIM:264090	OMIM:264090
85	0.033081673085689545	OMIM:609625	OMIM:609625
86	0.033086471259593964	OMIM:223370	OMIM:223370
87	0.033105868846178055	OMIM:619745	OMIM:619745
88	0.03313606604933739	OMIM:606170	OMIM:606170
89	0.03316982090473175	ORPHA:247768	ORPHA:247768
90	0.0332043282687664	OMIM:618958	OMIM:618958
91	0.033230893313884735	ORPHA:464738	ORPHA:464738
92	0.03324686363339424	OMIM:601808	OMIM:601808
93	0.033280275762081146	OMIM:619148	OMIM:619148
94	0.0333094596862793	ORPHA:1912	ORPHA:1912
95	0.03331276774406433	ORPHA:99226	ORPHA:99226
95	0.03331276774406433	ORPHA:99228	ORPHA:99228
95	0.03331276774406433	ORPHA:881	ORPHA:881
95	0.03331276774406433	ORPHA:99413	ORPHA:99413
99	0.0333174429833889	ORPHA:363611	ORPHA:363611
100	0.03337586298584938	OMIM:617403	OMIM:617403
101	0.033378731459379196	OMIM:604314	OMIM:604314
102	0.03345974534749985	ORPHA:2863	ORPHA:2863
103	0.03346187621355057	OMIM:273390	OMIM:273390
104	0.03346318379044533	ORPHA:2872	ORPHA:2872
105	0.033475734293460846	ORPHA:261344	ORPHA:261344
106	0.03350082412362099	OMIM:618336	OMIM:618336
107	0.03352127969264984	OMIM:241410	OMIM:241410
108	0.03352906554937363	OMIM:312870	OMIM:312870
109	0.033531270921230316	OMIM:607330	OMIM:607330
110	0.03354085236787796	ORPHA:401973	ORPHA:401973
111	0.03357919305562973	ORPHA:96176	ORPHA:96176
112	0.033612292259931564	OMIM:613884	OMIM:613884
113	0.033639807254076004	OMIM:158170	OMIM:158170
114	0.03366100415587425	ORPHA:2322	ORPHA:2322
115	0.033662743866443634	ORPHA:2701	ORPHA:2701
116	0.03366343304514885	OMIM:616734	OMIM:616734
117	0.03370914235711098	ORPHA:709	ORPHA:709
118	0.03374165669083595	ORPHA:1580	ORPHA:1580
119	0.03375517576932907	OMIM:248340	OMIM:248340
120	0.03375783935189247	ORPHA:444077	ORPHA:444077
121	0.03379081189632416	OMIM:617641	OMIM:617641
122	0.033802952617406845	OMIM:614294	OMIM:614294
123	0.03380325436592102	ORPHA:199	ORPHA:199
124	0.03381498530507088	ORPHA:168569	ORPHA:168569
125	0.033830951899290085	OMIM:620005	OMIM:620005
126	0.03387109935283661	ORPHA:264450	ORPHA:264450
