rank	score	disease_name	disease_identifier
1	0.02234559878706932	OMIM:208900	OMIM:208900
2	0.02247527614235878	OMIM:159550	OMIM:159550
3	0.02299400046467781	OMIM:616271	OMIM:616271
4	0.024962957948446274	ORPHA:412057	ORPHA:412057
5	0.02509811893105507	ORPHA:100	ORPHA:100
6	0.02511104755103588	ORPHA:79239	ORPHA:79239
7	0.025223763659596443	OMIM:618222	OMIM:618222
8	0.02541840821504593	ORPHA:216866	ORPHA:216866
9	0.025699317455291748	OMIM:238970	OMIM:238970
10	0.025700869038701057	ORPHA:401866	ORPHA:401866
11	0.025831226259469986	ORPHA:845	ORPHA:845
12	0.026307769119739532	OMIM:603585	OMIM:603585
13	0.026461724191904068	OMIM:614877	OMIM:614877
14	0.026516888290643692	ORPHA:760	ORPHA:760
15	0.026645613834261894	OMIM:615846	OMIM:615846
16	0.02678270824253559	ORPHA:468699	ORPHA:468699
17	0.026848115026950836	OMIM:607426	OMIM:607426
18	0.026958242058753967	OMIM:105210	OMIM:105210
19	0.027053136378526688	OMIM:614867	OMIM:614867
20	0.027141759172081947	ORPHA:98768	ORPHA:98768
21	0.02716209553182125	ORPHA:404454	ORPHA:404454
22	0.027219662442803383	ORPHA:309271	ORPHA:309271
23	0.027235673740506172	ORPHA:309256	ORPHA:309256
24	0.02723868563771248	ORPHA:273	ORPHA:273
25	0.027301998808979988	OMIM:229050	OMIM:229050
26	0.027325976639986038	OMIM:601338	OMIM:601338
27	0.02735092118382454	ORPHA:3240	ORPHA:3240
28	0.027444781735539436	OMIM:618356	OMIM:618356
29	0.02762886881828308	ORPHA:261476	ORPHA:261476
30	0.027655208483338356	ORPHA:35069	ORPHA:35069
31	0.0276626069098711	OMIM:214500	OMIM:214500
32	0.027679046615958214	ORPHA:255210	ORPHA:255210
33	0.02773294411599636	ORPHA:309263	ORPHA:309263
34	0.027803262695670128	ORPHA:75567	ORPHA:75567
35	0.027872418984770775	OMIM:609195	OMIM:609195
36	0.027940217405557632	OMIM:612073	OMIM:612073
37	0.02795805223286152	OMIM:608643	OMIM:608643
38	0.02799276076257229	ORPHA:2828	ORPHA:2828
39	0.027999386191368103	ORPHA:167	ORPHA:167
40	0.028052473440766335	ORPHA:209905	ORPHA:209905
41	0.028086872771382332	OMIM:619259	OMIM:619259
42	0.028166230767965317	ORPHA:2585	ORPHA:2585
43	0.02826693467795849	OMIM:230900	OMIM:230900
44	0.028292397037148476	ORPHA:98808	ORPHA:98808
45	0.028296709060668945	ORPHA:2388	ORPHA:2388
46	0.02831382490694523	OMIM:618241	OMIM:618241
47	0.028367184102535248	OMIM:615010	OMIM:615010
48	0.028368650004267693	OMIM:616479	OMIM:616479
49	0.028385352343320847	ORPHA:445038	ORPHA:445038
50	0.028409261256456375	OMIM:256000	OMIM:256000
51	0.028414379805326462	OMIM:613179	OMIM:613179
52	0.02843288891017437	OMIM:615356	OMIM:615356
53	0.02855570614337921	OMIM:617799	OMIM:617799
