rank	score	disease_name	disease_identifier
1	0.20074284076690674	OMIM:139630	OMIM:139630
2	0.20114850997924805	ORPHA:488232	ORPHA:488232
3	0.20171552896499634	ORPHA:50809	ORPHA:50809
4	0.20260578393936157	ORPHA:1509	ORPHA:1509
5	0.20290571451187134	ORPHA:85169	ORPHA:85169
6	0.20299524068832397	ORPHA:93409	ORPHA:93409
7	0.20329290628433228	OMIM:425500	OMIM:425500
8	0.20335239171981812	ORPHA:2768	ORPHA:2768
9	0.20395433902740479	ORPHA:93397	ORPHA:93397
10	0.204034686088562	OMIM:107700	OMIM:107700
