rank	score	disease_name	disease_identifier
1	0.023302027955651283	OMIM:230350	OMIM:230350
2	0.029430022463202477	ORPHA:289504	ORPHA:289504
3	0.031014546751976013	OMIM:618426	OMIM:618426
4	0.031173866242170334	OMIM:614876	OMIM:614876
5	0.031395260244607925	ORPHA:79238	ORPHA:79238
6	0.03148818761110306	OMIM:210210	OMIM:210210
7	0.03153224289417267	OMIM:253270	OMIM:253270
8	0.0317549854516983	OMIM:618253	OMIM:618253
9	0.03186485543847084	OMIM:617248	OMIM:617248
10	0.03192969039082527	OMIM:248600	OMIM:248600
11	0.03199974074959755	OMIM:210200	OMIM:210200
12	0.03241541609168053	OMIM:608885	OMIM:608885
13	0.03251022472977638	OMIM:612075	OMIM:612075
14	0.032630179077386856	OMIM:613661	OMIM:613661
15	0.032669708132743835	OMIM:261640	OMIM:261640
16	0.03267906978726387	ORPHA:2394	ORPHA:2394
17	0.03292045742273331	ORPHA:263501	ORPHA:263501
18	0.03307502716779709	OMIM:615501	OMIM:615501
19	0.03318258002400398	OMIM:618329	OMIM:618329
20	0.03319327533245087	OMIM:619147	OMIM:619147
21	0.03323984146118164	OMIM:230900	OMIM:230900
22	0.03338782116770744	ORPHA:2203	ORPHA:2203
23	0.03348175436258316	OMIM:207800	OMIM:207800
24	0.033634960651397705	OMIM:619685	OMIM:619685
25	0.0336788035929203	OMIM:220120	OMIM:220120
26	0.03367917239665985	OMIM:201450	OMIM:201450
27	0.03376131132245064	ORPHA:314911	ORPHA:314911
28	0.033801816403865814	ORPHA:480864	ORPHA:480864
29	0.03393490985035896	OMIM:615846	OMIM:615846
30	0.033954355865716934	OMIM:607625	OMIM:607625
31	0.033959124237298965	OMIM:614739	OMIM:614739
32	0.03401430696249008	OMIM:616271	OMIM:616271
33	0.03401552140712738	OMIM:619055	OMIM:619055
34	0.0340394601225853	OMIM:231670	OMIM:231670
35	0.03409764915704727	ORPHA:247525	ORPHA:247525
36	0.034156568348407745	OMIM:248360	OMIM:248360
37	0.034182190895080566	ORPHA:436271	ORPHA:436271
38	0.03420266509056091	OMIM:253260	OMIM:253260
39	0.0342802032828331	ORPHA:79234	ORPHA:79234
40	0.03429675102233887	OMIM:618226	OMIM:618226
41	0.03442132845520973	ORPHA:927	ORPHA:927
42	0.03462047129869461	OMIM:619046	OMIM:619046
43	0.03467659279704094	OMIM:617664	OMIM:617664
44	0.03477948158979416	OMIM:613489	OMIM:613489
45	0.0348459929227829	OMIM:618321	OMIM:618321
46	0.034898556768894196	OMIM:618235	OMIM:618235
47	0.03496791794896126	OMIM:616539	OMIM:616539
48	0.03497905656695366	OMIM:620358	OMIM:620358
49	0.03498678654432297	OMIM:608782	OMIM:608782
50	0.03503439947962761	ORPHA:42	ORPHA:42
51	0.035054612904787064	ORPHA:134	ORPHA:134
52	0.03506520017981529	OMIM:606054	OMIM:606054
53	0.03509988635778427	ORPHA:79351	ORPHA:79351
54	0.035114072263240814	ORPHA:26792	ORPHA:26792
55	0.03515694662928581	ORPHA:20	ORPHA:20
56	0.0351656973361969	ORPHA:98795	ORPHA:98795
57	0.03516595810651779	OMIM:620275	OMIM:620275
58	0.03523758798837662	OMIM:614702	OMIM:614702
59	0.03525765240192413	OMIM:612073	OMIM:612073
60	0.03527824208140373	OMIM:257200	OMIM:257200
61	0.03531178832054138	ORPHA:79101	ORPHA:79101
62	0.03533409535884857	ORPHA:79239	ORPHA:79239
63	0.0354461632668972	ORPHA:79312	ORPHA:79312
64	0.035475969314575195	OMIM:617093	OMIM:617093
65	0.035498179495334625	ORPHA:72	ORPHA:72
66	0.03554907813668251	ORPHA:70472	ORPHA:70472
67	0.035638317465782166	OMIM:610090	OMIM:610090
68	0.035693537443876266	OMIM:619847	OMIM:619847
69	0.03570401296019554	OMIM:619991	OMIM:619991
70	0.03574785590171814	OMIM:251880	OMIM:251880
71	0.03577152639627457	OMIM:257220	OMIM:257220
72	0.03578856214880943	OMIM:251000	OMIM:251000
73	0.03582040220499039	OMIM:614924	OMIM:614924
74	0.03582344576716423	OMIM:617698	OMIM:617698
75	0.03587662801146507	OMIM:268800	OMIM:268800
76	0.035881947726011276	ORPHA:79237	ORPHA:79237
77	0.03589119389653206	OMIM:277900	OMIM:277900
78	0.03590993210673332	ORPHA:255210	ORPHA:255210
79	0.03596711903810501	OMIM:618224	OMIM:618224
80	0.035982392728328705	OMIM:614388	OMIM:614388
81	0.0359959602355957	OMIM:246900	OMIM:246900
82	0.036060381680727005	OMIM:618222	OMIM:618222
83	0.03606318309903145	OMIM:613070	OMIM:613070
84	0.03606797382235527	OMIM:215700	OMIM:215700
85	0.03608807176351547	ORPHA:58	ORPHA:58
86	0.03609654679894447	ORPHA:541423	ORPHA:541423
87	0.036220960319042206	OMIM:618240	OMIM:618240
88	0.036238864064216614	ORPHA:263455	ORPHA:263455
89	0.03626825287938118	OMIM:252010	OMIM:252010
90	0.03628600016236305	OMIM:617799	OMIM:617799
91	0.03631759434938431	OMIM:609056	OMIM:609056
92	0.036340728402137756	ORPHA:529799	ORPHA:529799
93	0.03634531423449516	OMIM:617162	OMIM:617162
94	0.036350447684526443	ORPHA:529808	ORPHA:529808
95	0.0364113487303257	OMIM:616878	OMIM:616878
96	0.03648378700017929	ORPHA:646	ORPHA:646
97	0.03650055080652237	OMIM:608093	OMIM:608093
98	0.036502040922641754	OMIM:203700	OMIM:203700
99	0.03651268407702446	ORPHA:348	ORPHA:348
