rank	score	disease_name	disease_identifier
1	0.040068618953228	ORPHA:100995	ORPHA:100995
2	0.04845671355724335	ORPHA:171863	ORPHA:171863
3	0.05162018537521362	OMIM:610244	OMIM:610244
4	0.05239136144518852	OMIM:611945	OMIM:611945
5	0.05241306871175766	ORPHA:171612	ORPHA:171612
6	0.052485499531030655	ORPHA:171607	ORPHA:171607
7	0.05489383265376091	ORPHA:100989	ORPHA:100989
8	0.05500589683651924	ORPHA:100994	ORPHA:100994
9	0.056392014026641846	ORPHA:254343	ORPHA:254343
10	0.05643865466117859	ORPHA:320370	ORPHA:320370
11	0.05680384486913681	ORPHA:101008	ORPHA:101008
12	0.05717530846595764	ORPHA:100984	ORPHA:100984
13	0.05726148188114166	OMIM:612539	OMIM:612539
14	0.058279190212488174	ORPHA:100999	ORPHA:100999
15	0.05863773822784424	ORPHA:488594	ORPHA:488594
16	0.059104327112436295	ORPHA:100991	ORPHA:100991
17	0.059255216270685196	ORPHA:100985	ORPHA:100985
18	0.059396203607320786	OMIM:604805	OMIM:604805
19	0.05949834734201431	ORPHA:363654	ORPHA:363654
20	0.05996498465538025	OMIM:619966	OMIM:619966
21	0.05998549610376358	ORPHA:101010	ORPHA:101010
22	0.06032486632466316	OMIM:615681	OMIM:615681
23	0.06061285734176636	OMIM:607152	OMIM:607152
24	0.061278004199266434	ORPHA:401795	ORPHA:401795
25	0.06150738149881363	OMIM:619621	OMIM:619621
26	0.06156812235713005	ORPHA:100993	ORPHA:100993
27	0.06164048612117767	ORPHA:444099	ORPHA:444099
28	0.06285765022039413	OMIM:300750	OMIM:300750
29	0.06292608380317688	OMIM:604187	OMIM:604187
30	0.06296973675489426	ORPHA:447757	ORPHA:447757
31	0.06302450597286224	OMIM:618598	OMIM:618598
32	0.06308837234973907	OMIM:609041	OMIM:609041
33	0.06324528157711029	ORPHA:401785	ORPHA:401785
34	0.06341084092855453	ORPHA:401840	ORPHA:401840
35	0.06359565258026123	ORPHA:101076	ORPHA:101076
36	0.0644797757267952	ORPHA:101007	ORPHA:101007
37	0.06470514833927155	ORPHA:101009	ORPHA:101009
38	0.06474914401769638	OMIM:618418	OMIM:618418
39	0.06496534496545792	ORPHA:320360	ORPHA:320360
40	0.06511097401380539	ORPHA:320396	ORPHA:320396
41	0.0654844269156456	ORPHA:251282	ORPHA:251282
42	0.06551778316497803	OMIM:607584	OMIM:607584
43	0.06555590033531189	ORPHA:171617	ORPHA:171617
44	0.06571493297815323	OMIM:603563	OMIM:603563
45	0.06581466645002365	OMIM:613096	OMIM:613096
46	0.06586513668298721	OMIM:612335	OMIM:612335
47	0.06620313227176666	OMIM:605280	OMIM:605280
48	0.06660488992929459	OMIM:611252	OMIM:611252
49	0.06693679839372635	ORPHA:320355	ORPHA:320355
50	0.06724637746810913	ORPHA:139480	ORPHA:139480
51	0.06730947643518448	OMIM:600363	OMIM:600363
52	0.06747213006019592	ORPHA:100998	ORPHA:100998
53	0.06750813871622086	OMIM:607565	OMIM:607565
54	0.06757768243551254	OMIM:613672	OMIM:613672
55	0.06765613704919815	ORPHA:1175	ORPHA:1175
56	0.06796178966760635	ORPHA:101011	ORPHA:101011
57	0.06828559935092926	ORPHA:320375	ORPHA:320375
58	0.06831774115562439	ORPHA:100988	ORPHA:100988
59	0.06840634346008301	OMIM:186700	OMIM:186700
60	0.06885076314210892	OMIM:611225	OMIM:611225
61	0.069070003926754	ORPHA:496689	ORPHA:496689
62	0.06925442814826965	OMIM:270550	OMIM:270550
63	0.06926951557397842	OMIM:616907	OMIM:616907
64	0.06953863799571991	OMIM:610357	OMIM:610357
65	0.06964603066444397	ORPHA:401866	ORPHA:401866
66	0.06975077092647552	ORPHA:401820	ORPHA:401820
67	0.06981414556503296	OMIM:615043	OMIM:615043
68	0.06982295960187912	OMIM:615625	OMIM:615625
69	0.0700213685631752	ORPHA:447760	ORPHA:447760
70	0.07022406905889511	OMIM:612020	OMIM:612020
71	0.07029204070568085	ORPHA:320411	ORPHA:320411
72	0.0703338161110878	OMIM:615686	OMIM:615686
73	0.07045958936214447	OMIM:162370	OMIM:162370
74	0.07076411694288254	OMIM:605229	OMIM:605229
75	0.0708240270614624	OMIM:275900	OMIM:275900
76	0.07090936601161957	ORPHA:320365	ORPHA:320365
77	0.07104803621768951	ORPHA:209951	ORPHA:209951
