rank	score	disease_name	disease_identifier
1	0.1963295340538025	DECIPHER:85	DECIPHER:85
2	0.19885492324829102	DECIPHER:92	DECIPHER:92
3	0.2027243971824646	DECIPHER:43	DECIPHER:43
4	0.20384246110916138	OMIM:425500	OMIM:425500
5	0.20401060581207275	OMIM:300082	OMIM:300082
5	0.20401060581207275	OMIM:158280	OMIM:158280
7	0.2044094204902649	DECIPHER:62	DECIPHER:62
8	0.20491516590118408	OMIM:300709	OMIM:300709
8	0.20491516590118408	OMIM:300262	OMIM:300262
8	0.20491516590118408	OMIM:277990	OMIM:277990
