rank	score	disease_name	disease_identifier
1	0.011144481599330902	ORPHA:1520	ORPHA:1520
2	0.011345118284225464	OMIM:304110	OMIM:304110
3	0.011898762546479702	ORPHA:251014	ORPHA:251014
4	0.01205898355692625	ORPHA:221120	ORPHA:221120
5	0.012291844002902508	OMIM:101400	OMIM:101400
6	0.012479722499847412	ORPHA:794	ORPHA:794
7	0.012522566132247448	OMIM:614976	OMIM:614976
8	0.012688364833593369	ORPHA:3107	ORPHA:3107
9	0.012699989601969719	ORPHA:261112	ORPHA:261112
10	0.012943251989781857	OMIM:257920	OMIM:257920
11	0.013017318211495876	ORPHA:477993	ORPHA:477993
12	0.0130873192101717	OMIM:210600	OMIM:210600
13	0.013385728001594543	ORPHA:1507	ORPHA:1507
14	0.013516685925424099	OMIM:614701	OMIM:614701
15	0.013743866235017776	ORPHA:3080	ORPHA:3080
16	0.013789576478302479	OMIM:148050	OMIM:148050
17	0.014002462849020958	OMIM:261540	OMIM:261540
18	0.014117779210209846	OMIM:616734	OMIM:616734
19	0.014169909991323948	OMIM:211750	OMIM:211750
20	0.01417425088584423	OMIM:136760	OMIM:136760
21	0.014176876284182072	OMIM:611174	OMIM:611174
22	0.014270145446062088	ORPHA:464738	ORPHA:464738
23	0.01428115926682949	ORPHA:236	ORPHA:236
24	0.014300940558314323	OMIM:615546	OMIM:615546
25	0.014463154599070549	OMIM:602849	OMIM:602849
26	0.014524088241159916	OMIM:218600	OMIM:218600
27	0.014541166834533215	OMIM:609625	OMIM:609625
28	0.014575907960534096	ORPHA:1272	ORPHA:1272
29	0.014605461619794369	OMIM:305450	OMIM:305450
30	0.014675860293209553	OMIM:605039	OMIM:605039
31	0.014720015227794647	OMIM:619951	OMIM:619951
32	0.014722919091582298	OMIM:206920	OMIM:206920
33	0.014751918613910675	OMIM:101200	OMIM:101200
34	0.014776998199522495	OMIM:616331	OMIM:616331
35	0.014806193299591541	ORPHA:3103	ORPHA:3103
36	0.01489220280200243	OMIM:600325	OMIM:600325
37	0.014901656657457352	ORPHA:915	ORPHA:915
38	0.014963044784963131	OMIM:616894	OMIM:616894
39	0.014970785938203335	OMIM:200990	OMIM:200990
40	0.0150123480707407	ORPHA:235	ORPHA:235
41	0.01503053680062294	ORPHA:2215	ORPHA:2215
42	0.01505424827337265	OMIM:300166	OMIM:300166
43	0.015111777931451797	ORPHA:2332	ORPHA:2332
44	0.01512399222701788	OMIM:601390	OMIM:601390
45	0.01512431725859642	ORPHA:1786	ORPHA:1786
46	0.015125264413654804	OMIM:613610	OMIM:613610
47	0.015132409520447254	OMIM:268300	OMIM:268300
48	0.015138906426727772	ORPHA:1580	ORPHA:1580
49	0.01514364406466484	OMIM:201000	OMIM:201000
50	0.015171839855611324	ORPHA:2994	ORPHA:2994
51	0.01517848763614893	OMIM:113620	OMIM:113620
52	0.015197183936834335	OMIM:613823	OMIM:613823
53	0.015236139297485352	ORPHA:79500	ORPHA:79500
54	0.015255434438586235	ORPHA:1784	ORPHA:1784
55	0.015275655314326286	OMIM:614230	OMIM:614230
56	0.015290427953004837	ORPHA:2886	ORPHA:2886
57	0.015325560234487057	OMIM:620073	OMIM:620073
58	0.015378652140498161	ORPHA:293843	ORPHA:293843
59	0.015404686331748962	OMIM:619841	OMIM:619841
60	0.015406176447868347	OMIM:616737	OMIM:616737
61	0.01541211735457182	OMIM:605130	OMIM:605130
62	0.015440712682902813	OMIM:612474	OMIM:612474
63	0.015462391078472137	ORPHA:1912	ORPHA:1912
64	0.015530247241258621	ORPHA:1587	ORPHA:1587
65	0.015537592582404613	OMIM:610759	OMIM:610759
66	0.015537816099822521	ORPHA:96148	ORPHA:96148
67	0.0155507056042552	ORPHA:3210	ORPHA:3210
68	0.01555418036878109	ORPHA:1449	ORPHA:1449
69	0.015570426359772682	ORPHA:46627	ORPHA:46627
70	0.015580025501549244	ORPHA:783	ORPHA:783
71	0.015592280775308609	OMIM:619325	OMIM:619325
72	0.015612740069627762	OMIM:180849	OMIM:180849
73	0.015618178993463516	OMIM:601353	OMIM:601353
74	0.015623638406395912	OMIM:616728	OMIM:616728
75	0.01563815027475357	ORPHA:2872	ORPHA:2872
76	0.01567886956036091	ORPHA:1308	ORPHA:1308
