rank	score	disease_name	disease_identifier
1	0.012384242378175259	OMIM:300707	OMIM:300707
2	0.014825630001723766	OMIM:201000	OMIM:201000
3	0.015275735408067703	ORPHA:140952	ORPHA:140952
4	0.015436533838510513	OMIM:300166	OMIM:300166
5	0.01645776815712452	OMIM:107480	OMIM:107480
6	0.016533564776182175	ORPHA:264450	ORPHA:264450
7	0.017162907868623734	ORPHA:857	ORPHA:857
8	0.017251506447792053	ORPHA:1507	ORPHA:1507
9	0.01751718670129776	OMIM:268300	OMIM:268300
10	0.017843546345829964	ORPHA:508498	ORPHA:508498
11	0.018099725246429443	OMIM:134780	OMIM:134780
12	0.018225159496068954	OMIM:261540	OMIM:261540
13	0.018416211009025574	OMIM:154400	OMIM:154400
14	0.018471935763955116	OMIM:101200	OMIM:101200
15	0.0185165386646986	ORPHA:2308	ORPHA:2308
16	0.0185236893594265	ORPHA:709	ORPHA:709
17	0.018854908645153046	OMIM:614976	OMIM:614976
18	0.018900228664278984	OMIM:616894	OMIM:616894
19	0.01891194097697735	OMIM:614701	OMIM:614701
20	0.018966417759656906	ORPHA:2876	ORPHA:2876
21	0.0189959779381752	OMIM:218600	OMIM:218600
22	0.019161265343427658	ORPHA:97360	ORPHA:97360
23	0.01925058476626873	OMIM:611962	OMIM:611962
24	0.019252916797995567	OMIM:617063	OMIM:617063
25	0.019337207078933716	ORPHA:818	ORPHA:818
26	0.019424624741077423	OMIM:612651	OMIM:612651
27	0.019427858293056488	ORPHA:251014	ORPHA:251014
28	0.01947454921901226	OMIM:190685	OMIM:190685
29	0.019508127123117447	OMIM:194190	OMIM:194190
30	0.01958320289850235	ORPHA:261552	ORPHA:261552
31	0.019584903493523598	OMIM:304120	OMIM:304120
32	0.019625868648290634	OMIM:257920	OMIM:257920
33	0.019649304449558258	ORPHA:2886	ORPHA:2886
34	0.01971331425011158	ORPHA:2712	ORPHA:2712
35	0.019722003489732742	OMIM:207410	OMIM:207410
36	0.019812216982245445	OMIM:122470	OMIM:122470
37	0.01985779218375683	OMIM:607323	OMIM:607323
38	0.01986224204301834	ORPHA:921	ORPHA:921
39	0.01996193267405033	ORPHA:1692	ORPHA:1692
40	0.019966114312410355	ORPHA:88630	ORPHA:88630
41	0.020023861899971962	OMIM:304110	OMIM:304110
42	0.020061196759343147	ORPHA:2008	ORPHA:2008
43	0.020076749846339226	OMIM:157800	OMIM:157800
44	0.020134462043642998	OMIM:211750	OMIM:211750
45	0.0201597660779953	ORPHA:672	ORPHA:672
46	0.02024748921394348	OMIM:272460	OMIM:272460
47	0.020248230546712875	OMIM:229850	OMIM:229850
48	0.020261039957404137	OMIM:164280	OMIM:164280
49	0.020264187827706337	OMIM:616145	OMIM:616145
50	0.020313726738095284	OMIM:312870	OMIM:312870
51	0.020374944433569908	OMIM:617137	OMIM:617137
52	0.020401446148753166	ORPHA:1305	ORPHA:1305
53	0.020408980548381805	ORPHA:3380	ORPHA:3380
54	0.020440736785531044	OMIM:608328	OMIM:608328
55	0.020523767918348312	ORPHA:221120	ORPHA:221120
56	0.020528452470898628	ORPHA:2990	ORPHA:2990
57	0.020536215975880623	ORPHA:959	ORPHA:959
58	0.02056337520480156	ORPHA:568	ORPHA:568
59	0.02056579291820526	ORPHA:261537	ORPHA:261537
60	0.020584149286150932	ORPHA:1106	ORPHA:1106
61	0.02060590870678425	OMIM:612474	OMIM:612474
62	0.02063116617500782	ORPHA:7	ORPHA:7
63	0.02070728689432144	OMIM:265000	OMIM:265000
64	0.020719118416309357	ORPHA:500095	ORPHA:500095
65	0.02072836272418499	ORPHA:536471	ORPHA:536471
66	0.020768435671925545	OMIM:244300	OMIM:244300
67	0.020776869729161263	ORPHA:1308	ORPHA:1308
68	0.020785996690392494	OMIM:256520	OMIM:256520
69	0.020942797884345055	ORPHA:464738	ORPHA:464738
70	0.020951515063643456	OMIM:146510	OMIM:146510
71	0.02095397375524044	ORPHA:280	ORPHA:280
72	0.020957347005605698	OMIM:249000	OMIM:249000
73	0.020987493917346	OMIM:617402	OMIM:617402
74	0.02099592238664627	ORPHA:90652	ORPHA:90652
75	0.021011756733059883	ORPHA:99776	ORPHA:99776
76	0.021044587716460228	OMIM:263750	OMIM:263750
77	0.021057479083538055	OMIM:274000	OMIM:274000
78	0.02107938565313816	OMIM:617088	OMIM:617088
79	0.021091002970933914	ORPHA:508488	ORPHA:508488
80	0.021121852099895477	ORPHA:138	ORPHA:138
81	0.021131673827767372	ORPHA:949	ORPHA:949
82	0.021168192848563194	ORPHA:314585	ORPHA:314585
83	0.02122434787452221	OMIM:305600	OMIM:305600
84	0.021230248734354973	ORPHA:3258	ORPHA:3258
85	0.02123042196035385	ORPHA:84	ORPHA:84
86	0.021249694749712944	OMIM:154700	OMIM:154700
87	0.021267620846629143	OMIM:245600	OMIM:245600
88	0.02127315290272236	OMIM:139210	OMIM:139210
89	0.021330609917640686	OMIM:180849	OMIM:180849
90	0.021349573507905006	ORPHA:2059	ORPHA:2059
91	0.021383075043559074	ORPHA:2052	ORPHA:2052
92	0.021422944962978363	OMIM:613610	OMIM:613610
93	0.021455300971865654	ORPHA:3103	ORPHA:3103
94	0.021457556635141373	OMIM:617159	OMIM:617159
95	0.021460510790348053	ORPHA:1101	ORPHA:1101
96	0.02147899568080902	ORPHA:293843	ORPHA:293843
97	0.02152418904006481	OMIM:272950	OMIM:272950
98	0.02157047763466835	OMIM:309800	OMIM:309800
99	0.021575598046183586	ORPHA:1988	ORPHA:1988
100	0.021585552021861076	ORPHA:163979	ORPHA:163979
101	0.0215903427451849	ORPHA:2322	ORPHA:2322
102	0.021603545174002647	OMIM:609945	OMIM:609945
103	0.021614959463477135	ORPHA:3378	ORPHA:3378
104	0.0216181892901659	ORPHA:1458	ORPHA:1458
105	0.021626031026244164	OMIM:268310	OMIM:268310
106	0.021650206297636032	OMIM:619951	OMIM:619951
107	0.021655293181538582	OMIM:200990	OMIM:200990
108	0.021658694371581078	OMIM:618870	OMIM:618870
109	0.021677756682038307	ORPHA:2209	ORPHA:2209
110	0.021688098087906837	OMIM:301056	OMIM:301056
111	0.021694744005799294	ORPHA:314588	ORPHA:314588
112	0.021715013310313225	ORPHA:3107	ORPHA:3107
113	0.021733570843935013	ORPHA:79500	ORPHA:79500
114	0.021733876317739487	ORPHA:1225	ORPHA:1225
115	0.021743934601545334	OMIM:136140	OMIM:136140
116	0.02175060473382473	OMIM:113620	OMIM:113620
117	0.021838665008544922	OMIM:181270	OMIM:181270
118	0.021898504346609116	ORPHA:373	ORPHA:373
119	0.021943608298897743	ORPHA:52	ORPHA:52
120	0.021944018080830574	ORPHA:3310	ORPHA:3310
121	0.02196347527205944	OMIM:609192	OMIM:609192
122	0.021971501410007477	OMIM:154780	OMIM:154780
123	0.021989360451698303	OMIM:615546	OMIM:615546
124	0.02200845070183277	ORPHA:261318	ORPHA:261318
125	0.022021736949682236	ORPHA:2994	ORPHA:2994
126	0.02202310785651207	OMIM:214800	OMIM:214800
127	0.022030523046851158	ORPHA:1520	ORPHA:1520
128	0.022032322362065315	ORPHA:261112	ORPHA:261112
129	0.022036300972104073	ORPHA:3472	ORPHA:3472
130	0.022068576887249947	OMIM:619879	OMIM:619879
131	0.022080587223172188	OMIM:277170	OMIM:277170
132	0.022104505449533463	OMIM:607872	OMIM:607872
133	0.02211819775402546	OMIM:601390	OMIM:601390
134	0.02212950773537159	ORPHA:2437	ORPHA:2437
135	0.022142428904771805	OMIM:102500	OMIM:102500
136	0.022188955917954445	OMIM:616580	OMIM:616580
137	0.022192228585481644	ORPHA:199	ORPHA:199
138	0.022203391417860985	OMIM:619143	OMIM:619143
139	0.022206395864486694	OMIM:618316	OMIM:618316
140	0.022214310243725777	OMIM:206920	OMIM:206920
141	0.022251512855291367	OMIM:217980	OMIM:217980
142	0.022255225107073784	ORPHA:915	ORPHA:915
143	0.022286400198936462	ORPHA:3082	ORPHA:3082
144	0.022290028631687164	OMIM:200980	OMIM:200980
145	0.022296437993645668	ORPHA:391641	ORPHA:391641
146	0.022297006100416183	OMIM:620073	OMIM:620073
147	0.02230091206729412	OMIM:612582	OMIM:612582
148	0.022303326055407524	OMIM:601808	OMIM:601808
149	0.0223152544349432	OMIM:135900	OMIM:135900
150	0.02233159728348255	OMIM:605822	OMIM:605822
151	0.022360332310199738	ORPHA:2753	ORPHA:2753
152	0.022368034347891808	OMIM:260660	OMIM:260660
153	0.022382959723472595	OMIM:280000	OMIM:280000
154	0.02239772118628025	ORPHA:93271	ORPHA:93271
155	0.022409377619624138	OMIM:101400	OMIM:101400
156	0.02243819646537304	OMIM:150250	OMIM:150250
157	0.02243870310485363	OMIM:613884	OMIM:613884
158	0.022446181625127792	OMIM:300373	OMIM:300373
159	0.022461887449026108	ORPHA:2215	ORPHA:2215
160	0.022491153329610825	ORPHA:2729	ORPHA:2729
161	0.02249169908463955	ORPHA:1580	ORPHA:1580
162	0.02252798341214657	ORPHA:65759	ORPHA:65759
163	0.02252941019833088	ORPHA:2953	ORPHA:2953
164	0.022545019164681435	OMIM:151100	OMIM:151100
165	0.02256786823272705	OMIM:618419	OMIM:618419
166	0.02257499471306801	OMIM:616737	OMIM:616737
167	0.022575153037905693	OMIM:277600	OMIM:277600
168	0.022589566186070442	OMIM:609460	OMIM:609460
169	0.022602660581469536	ORPHA:2152	ORPHA:2152
170	0.022624164819717407	OMIM:600920	OMIM:600920
171	0.022712962701916695	OMIM:249420	OMIM:249420
172	0.022719653323292732	ORPHA:1596	ORPHA:1596
173	0.022733837366104126	OMIM:218330	OMIM:218330
174	0.022735482081770897	OMIM:236680	OMIM:236680
175	0.02273605763912201	ORPHA:401935	ORPHA:401935
176	0.022743461653590202	ORPHA:480880	ORPHA:480880
177	0.022748874500393867	ORPHA:261344	ORPHA:261344
178	0.022753000259399414	ORPHA:2710	ORPHA:2710
179	0.022771751508116722	OMIM:619980	OMIM:619980
180	0.022791314870119095	ORPHA:87	ORPHA:87
181	0.022872034460306168	ORPHA:1515	ORPHA:1515
182	0.02289748005568981	OMIM:101600	OMIM:101600
183	0.02289818786084652	OMIM:300990	OMIM:300990
184	0.022924719378352165	OMIM:263210	OMIM:263210
185	0.022962873801589012	OMIM:148050	OMIM:148050
186	0.022971339523792267	ORPHA:2092	ORPHA:2092
187	0.022977543994784355	ORPHA:794	ORPHA:794
188	0.022983243688941002	OMIM:610759	OMIM:610759
189	0.02298632822930813	ORPHA:254346	ORPHA:254346
190	0.022992027923464775	OMIM:619488	OMIM:619488
191	0.022992992773652077	OMIM:224690	OMIM:224690
192	0.02299482747912407	OMIM:616975	OMIM:616975
193	0.022995200008153915	OMIM:263650	OMIM:263650
194	0.02300913631916046	OMIM:115470	OMIM:115470
195	0.02302403561770916	OMIM:619148	OMIM:619148
196	0.02304111234843731	OMIM:615582	OMIM:615582
197	0.02305329032242298	OMIM:219000	OMIM:219000
198	0.023073812946677208	ORPHA:289	ORPHA:289
199	0.023107681423425674	OMIM:617602	OMIM:617602
200	0.02311890572309494	OMIM:601776	OMIM:601776
201	0.023120474070310593	OMIM:618820	OMIM:618820
202	0.023138215765357018	OMIM:210600	OMIM:210600
203	0.02314869873225689	OMIM:620025	OMIM:620025
204	0.023160995915532112	ORPHA:2377	ORPHA:2377
205	0.023174434900283813	OMIM:151050	OMIM:151050
206	0.02318008802831173	ORPHA:79328	ORPHA:79328
207	0.023186489939689636	OMIM:613091	OMIM:613091
208	0.02320587821304798	OMIM:305620	OMIM:305620
209	0.02321837842464447	ORPHA:955	ORPHA:955
210	0.023222750052809715	ORPHA:444077	ORPHA:444077
211	0.02323310822248459	OMIM:600373	OMIM:600373
212	0.023234354332089424	OMIM:117650	OMIM:117650
213	0.023242255672812462	ORPHA:235	ORPHA:235
214	0.023242516443133354	OMIM:611174	OMIM:611174
215	0.02324686199426651	ORPHA:2916	ORPHA:2916
216	0.023277413100004196	OMIM:601803	OMIM:601803
217	0.02328549697995186	ORPHA:2319	ORPHA:2319
218	0.023286014795303345	OMIM:136760	OMIM:136760
219	0.02329929731786251	ORPHA:96061	ORPHA:96061
220	0.02331686206161976	OMIM:617403	OMIM:617403
221	0.023329177871346474	ORPHA:93932	ORPHA:93932
222	0.02333252876996994	ORPHA:2745	ORPHA:2745
223	0.0233398899435997	OMIM:252100	OMIM:252100
224	0.023384254425764084	ORPHA:1587	ORPHA:1587
225	0.023407135158777237	OMIM:309500	OMIM:309500
226	0.02340945228934288	OMIM:605039	OMIM:605039
227	0.02341155894100666	OMIM:147791	OMIM:147791
228	0.023421159014105797	ORPHA:59315	ORPHA:59315
229	0.023427611216902733	ORPHA:96334	ORPHA:96334
230	0.02343713864684105	OMIM:269150	OMIM:269150
231	0.023466404527425766	OMIM:244450	OMIM:244450
232	0.023473292589187622	ORPHA:3409	ORPHA:3409
233	0.023478783667087555	OMIM:614378	OMIM:614378
234	0.02349189668893814	ORPHA:487796	ORPHA:487796
235	0.02349703013896942	ORPHA:1449	ORPHA:1449
236	0.02350626513361931	ORPHA:1272	ORPHA:1272
237	0.023536168038845062	OMIM:263520	OMIM:263520
238	0.023536285385489464	OMIM:305400	OMIM:305400
239	0.023540399968624115	OMIM:603671	OMIM:603671
240	0.023546146228909492	ORPHA:233	ORPHA:233
241	0.023583320900797844	ORPHA:1425	ORPHA:1425
242	0.023598825559020042	ORPHA:1190	ORPHA:1190
243	0.02362350933253765	OMIM:305450	OMIM:305450
244	0.023627446964383125	OMIM:158170	OMIM:158170
245	0.023654423654079437	OMIM:616268	OMIM:616268
246	0.023667799308896065	ORPHA:1427	ORPHA:1427
247	0.023671476170420647	ORPHA:564	ORPHA:564
248	0.023679526522755623	ORPHA:193	ORPHA:193
249	0.023703962564468384	OMIM:300712	OMIM:300712
250	0.023737238720059395	ORPHA:3379	ORPHA:3379
251	0.02374163642525673	ORPHA:3320	ORPHA:3320
252	0.02374262362718582	OMIM:163950	OMIM:163950
253	0.023754507303237915	ORPHA:83	ORPHA:83
254	0.023773470893502235	OMIM:266920	OMIM:266920
255	0.023792460560798645	OMIM:164200	OMIM:164200
256	0.02383996732532978	OMIM:619194	OMIM:619194
257	0.023858215659856796	ORPHA:96167	ORPHA:96167
258	0.023861419409513474	ORPHA:3474	ORPHA:3474
