rank	score	disease_name	disease_identifier
1	0.17184406518936157	ORPHA:209919	ORPHA:209919
2	0.17262989282608032	ORPHA:48372	ORPHA:48372
3	0.17375320196151733	OMIM:614128	OMIM:614128
4	0.177173912525177	OMIM:613825	OMIM:613825
5	0.18050700426101685	OMIM:614028	OMIM:614028
6	0.18632274866104126	ORPHA:231393	ORPHA:231393
7	0.18664312362670898	OMIM:615517	OMIM:615517
8	0.18683475255966187	ORPHA:2843	ORPHA:2843
9	0.18809819221496582	ORPHA:2056	ORPHA:2056
10	0.18890053033828735	ORPHA:79506	ORPHA:79506
