rank	score	disease_name	disease_identifier
1	0.18739420175552368	OMIM:139630	OMIM:139630
2	0.18914884328842163	OMIM:127800	OMIM:127800
3	0.19308006763458252	OMIM:613949	OMIM:613949
4	0.1944791078567505	OMIM:107700	OMIM:107700
5	0.19458556175231934	ORPHA:720	ORPHA:720
6	0.19583535194396973	OMIM:602197	OMIM:602197
7	0.19789958000183105	OMIM:300082	OMIM:300082
7	0.19789958000183105	OMIM:158280	OMIM:158280
9	0.19965529441833496	OMIM:425500	OMIM:425500
10	0.20431768894195557	ORPHA:329228	ORPHA:329228
