rank	score	disease_name	disease_identifier
1	0.014976399019360542	ORPHA:90349	ORPHA:90349
2	0.019299261271953583	ORPHA:500	ORPHA:500
3	0.019358022138476372	ORPHA:904	ORPHA:904
4	0.019611099734902382	ORPHA:565	ORPHA:565
5	0.019862100481987	OMIM:219100	OMIM:219100
6	0.01997758448123932	ORPHA:1606	ORPHA:1606
7	0.02036226913332939	ORPHA:286	ORPHA:286
8	0.020401164889335632	ORPHA:1166	ORPHA:1166
9	0.0205182284116745	ORPHA:354	ORPHA:354
10	0.02065097913146019	ORPHA:79321	ORPHA:79321
11	0.02065497636795044	ORPHA:93473	ORPHA:93473
12	0.020718803629279137	OMIM:230500	OMIM:230500
13	0.020922325551509857	ORPHA:90348	ORPHA:90348
14	0.02108277752995491	ORPHA:87876	ORPHA:87876
15	0.021222122013568878	ORPHA:576	ORPHA:576
16	0.021429093554615974	ORPHA:363705	ORPHA:363705
17	0.02145525999367237	ORPHA:1194	ORPHA:1194
18	0.02162046544253826	ORPHA:84	ORPHA:84
19	0.021756550297141075	ORPHA:567	ORPHA:567
20	0.021963780745863914	ORPHA:1834	ORPHA:1834
21	0.02202153578400612	ORPHA:1708	ORPHA:1708
22	0.022147785872220993	OMIM:253200	OMIM:253200
23	0.02218993380665779	ORPHA:505248	ORPHA:505248
24	0.022247880697250366	ORPHA:285	ORPHA:285
25	0.022262709215283394	ORPHA:453499	ORPHA:453499
26	0.02239765040576458	ORPHA:217085	ORPHA:217085
27	0.022443372756242752	ORPHA:991	ORPHA:991
28	0.022636618465185165	ORPHA:217093	ORPHA:217093
29	0.022723451256752014	ORPHA:666	ORPHA:666
30	0.022743746638298035	ORPHA:198	ORPHA:198
31	0.022794820368289948	ORPHA:3342	ORPHA:3342
32	0.022812433540821075	ORPHA:93476	ORPHA:93476
33	0.022843455895781517	ORPHA:821	ORPHA:821
34	0.022860564291477203	ORPHA:579	ORPHA:579
35	0.0231527928262949	ORPHA:648	ORPHA:648
36	0.023161867633461952	ORPHA:349	ORPHA:349
37	0.02316993661224842	ORPHA:1842	ORPHA:1842
38	0.02318224124610424	ORPHA:353277	ORPHA:353277
38	0.02318224124610424	ORPHA:353284	ORPHA:353284
40	0.023327793926000595	ORPHA:1900	ORPHA:1900
41	0.023459136486053467	OMIM:194050	OMIM:194050
42	0.02349710837006569	ORPHA:268261	ORPHA:268261
43	0.02350555546581745	ORPHA:96167	ORPHA:96167
44	0.02352450229227543	ORPHA:580	ORPHA:580
45	0.023538002744317055	OMIM:243800	OMIM:243800
46	0.023632289841771126	OMIM:618815	OMIM:618815
47	0.023711321875452995	OMIM:269920	OMIM:269920
48	0.023737890645861626	ORPHA:363958	ORPHA:363958
48	0.023737890645861626	ORPHA:363965	ORPHA:363965
50	0.023738961666822433	ORPHA:800	ORPHA:800
51	0.023762233555316925	ORPHA:536545	ORPHA:536545
52	0.023800374940037727	ORPHA:577	ORPHA:577
53	0.02380291000008583	ORPHA:373	ORPHA:373
54	0.02381991595029831	ORPHA:1052	ORPHA:1052
55	0.023829706013202667	ORPHA:116	ORPHA:116
56	0.023965688422322273	ORPHA:1199	ORPHA:1199
57	0.023972541093826294	ORPHA:333	ORPHA:333
58	0.02397586591541767	ORPHA:1666	ORPHA:1666
59	0.02403940260410309	ORPHA:284984	ORPHA:284984
60	0.0240689255297184	OMIM:270400	OMIM:270400
61	0.02408473752439022	ORPHA:2556	ORPHA:2556
62	0.024088606238365173	OMIM:619472	OMIM:619472
63	0.02411292865872383	ORPHA:353281	ORPHA:353281
64	0.024242309853434563	ORPHA:2396	ORPHA:2396
65	0.024315040558576584	ORPHA:289	ORPHA:289
66	0.024392640218138695	ORPHA:167635	ORPHA:167635
67	0.024405404925346375	ORPHA:287	ORPHA:287
68	0.024496300145983696	ORPHA:96263	ORPHA:96263
69	0.024512678384780884	ORPHA:280	ORPHA:280
70	0.02455795556306839	OMIM:617403	OMIM:617403
71	0.02461422234773636	ORPHA:2092	ORPHA:2092
72	0.02463127300143242	ORPHA:584	ORPHA:584
73	0.02463865838944912	ORPHA:2990	ORPHA:2990
74	0.02464412897825241	ORPHA:99226	ORPHA:99226
74	0.02464412897825241	ORPHA:99228	ORPHA:99228
74	0.02464412897825241	ORPHA:881	ORPHA:881
74	0.02464412897825241	ORPHA:99413	ORPHA:99413
78	0.024705780670046806	ORPHA:356961	ORPHA:356961
79	0.024775274097919464	OMIM:252500	OMIM:252500
80	0.024818554520606995	ORPHA:79330	ORPHA:79330
81	0.02491777390241623	ORPHA:109	ORPHA:109
82	0.024953581392765045	ORPHA:2953	ORPHA:2953
83	0.025001363828778267	ORPHA:261494	ORPHA:261494
84	0.02501230128109455	ORPHA:857	ORPHA:857
85	0.025013482198119164	OMIM:300219	OMIM:300219
86	0.025030212476849556	ORPHA:84064	ORPHA:84064
87	0.02506120316684246	ORPHA:887	ORPHA:887
88	0.025102557614445686	ORPHA:314588	ORPHA:314588
89	0.025119660422205925	ORPHA:355	ORPHA:355
90	0.025133511051535606	ORPHA:3027	ORPHA:3027
91	0.025137264281511307	OMIM:619488	OMIM:619488
92	0.025155378505587578	ORPHA:324	ORPHA:324
93	0.025170817971229553	ORPHA:2152	ORPHA:2152
94	0.02518809400498867	ORPHA:740	ORPHA:740
95	0.0251933541148901	ORPHA:2063	ORPHA:2063
96	0.025206249207258224	OMIM:235510	OMIM:235510
97	0.025216873735189438	ORPHA:261537	ORPHA:261537
98	0.025226326659321785	ORPHA:93	ORPHA:93
99	0.025283334776759148	OMIM:614052	OMIM:614052
100	0.025335023179650307	ORPHA:2505	ORPHA:2505
101	0.025349391624331474	ORPHA:79474	ORPHA:79474
102	0.02535874955356121	OMIM:619503	OMIM:619503
103	0.025453265756368637	ORPHA:370927	ORPHA:370927
104	0.02552235685288906	ORPHA:2461	ORPHA:2461
105	0.025522926822304726	OMIM:267000	OMIM:267000
106	0.025563085451722145	ORPHA:744	ORPHA:744
107	0.025583989918231964	ORPHA:798	ORPHA:798
108	0.02559283934533596	ORPHA:96170	ORPHA:96170
109	0.025622718036174774	ORPHA:847	ORPHA:847
110	0.02562699280679226	ORPHA:168569	ORPHA:168569
111	0.025651222094893456	ORPHA:581	ORPHA:581
112	0.02567260153591633	ORPHA:534	ORPHA:534
113	0.0258165430277586	ORPHA:2136	ORPHA:2136
114	0.02582554519176483	ORPHA:3310	ORPHA:3310
115	0.02584707923233509	ORPHA:3455	ORPHA:3455
116	0.025847340002655983	ORPHA:261552	ORPHA:261552
117	0.02586461789906025	OMIM:613177	OMIM:613177
118	0.025905296206474304	ORPHA:2655	ORPHA:2655
119	0.02590879611670971	ORPHA:531151	ORPHA:531151
120	0.026012515649199486	OMIM:133540	OMIM:133540
121	0.026016322895884514	ORPHA:1926	ORPHA:1926
122	0.0260439682751894	ORPHA:7	ORPHA:7
123	0.026050345972180367	ORPHA:813	ORPHA:813
124	0.0260707288980484	OMIM:208050	OMIM:208050
125	0.02608165703713894	ORPHA:371428	ORPHA:371428
126	0.026085281744599342	ORPHA:438213	ORPHA:438213
127	0.026093533262610435	OMIM:252900	OMIM:252900
128	0.02612942084670067	ORPHA:79325	ORPHA:79325
129	0.02614334598183632	ORPHA:818	ORPHA:818
130	0.02614799700677395	OMIM:618494	OMIM:618494
131	0.026154112070798874	ORPHA:758	ORPHA:758
132	0.02615567483007908	ORPHA:79255	ORPHA:79255
133	0.026165099814534187	ORPHA:138	ORPHA:138
134	0.026174260303378105	ORPHA:93274	ORPHA:93274
135	0.026191219687461853	ORPHA:536532	ORPHA:536532
136	0.02621036022901535	ORPHA:261519	ORPHA:261519
137	0.026234932243824005	OMIM:617303	OMIM:617303
138	0.026309382170438766	OMIM:618440	OMIM:618440
139	0.02636009454727173	OMIM:216400	OMIM:216400
140	0.026413481682538986	OMIM:607015	OMIM:607015
141	0.02642620913684368	ORPHA:464311	ORPHA:464311
142	0.026484081521630287	ORPHA:1860	ORPHA:1860
143	0.026489123702049255	OMIM:253220	OMIM:253220
144	0.026541464030742645	ORPHA:79329	ORPHA:79329
145	0.02654661424458027	OMIM:614557	OMIM:614557
146	0.02655717544257641	ORPHA:2322	ORPHA:2322
147	0.026581911370158195	ORPHA:10	ORPHA:10
148	0.026604827493429184	ORPHA:2162	ORPHA:2162
149	0.02662951871752739	OMIM:256550	OMIM:256550
150	0.026637816801667213	ORPHA:2311	ORPHA:2311
