rank	score	disease_name	disease_identifier
1	0.03277656435966492	ORPHA:90349	ORPHA:90349
2	0.03323842212557793	ORPHA:577	ORPHA:577
3	0.033301256597042084	ORPHA:286	ORPHA:286
4	0.03427378833293915	ORPHA:93473	ORPHA:93473
5	0.03444403409957886	ORPHA:500	ORPHA:500
6	0.03516223654150963	ORPHA:1979	ORPHA:1979
7	0.03522402420639992	ORPHA:96167	ORPHA:96167
8	0.03566461428999901	ORPHA:93476	ORPHA:93476
9	0.03567281365394592	ORPHA:90289	ORPHA:90289
10	0.03594251349568367	ORPHA:75496	ORPHA:75496
11	0.03656139224767685	ORPHA:648	ORPHA:648
12	0.036604367196559906	ORPHA:744	ORPHA:744
13	0.036667581647634506	ORPHA:349	ORPHA:349
14	0.036745570600032806	OMIM:219100	OMIM:219100
15	0.03684920445084572	ORPHA:1340	ORPHA:1340
16	0.03693762794137001	ORPHA:2990	ORPHA:2990
17	0.036964427679777145	ORPHA:2671	ORPHA:2671
18	0.0372503325343132	ORPHA:579	ORPHA:579
19	0.03725374490022659	ORPHA:280	ORPHA:280
20	0.03745044395327568	ORPHA:2556	ORPHA:2556
21	0.03763547167181969	ORPHA:90348	ORPHA:90348
22	0.03779051452875137	ORPHA:175	ORPHA:175
23	0.03783922642469406	ORPHA:3071	ORPHA:3071
24	0.038029175251722336	ORPHA:84	ORPHA:84
25	0.038278233259916306	ORPHA:2092	ORPHA:2092
26	0.03828492388129234	ORPHA:79321	ORPHA:79321
27	0.03843844681978226	ORPHA:3339	ORPHA:3339
28	0.03845720365643501	ORPHA:1842	ORPHA:1842
29	0.03865078464150429	ORPHA:2953	ORPHA:2953
30	0.03873322159051895	ORPHA:93	ORPHA:93
31	0.03881751373410225	ORPHA:1969	ORPHA:1969
32	0.0389777235686779	ORPHA:565	ORPHA:565
33	0.03902912512421608	ORPHA:3440	ORPHA:3440
34	0.03931374102830887	ORPHA:1606	ORPHA:1606
35	0.03935782611370087	ORPHA:1745	ORPHA:1745
36	0.03944795951247215	ORPHA:904	ORPHA:904
37	0.03952319547533989	ORPHA:2162	ORPHA:2162
38	0.039588674902915955	ORPHA:354	ORPHA:354
39	0.03960573300719261	ORPHA:294975	ORPHA:294975
40	0.039619531482458115	OMIM:617403	OMIM:617403
41	0.03967021405696869	ORPHA:2505	ORPHA:2505
42	0.03970179334282875	OMIM:312150	OMIM:312150
43	0.03975050896406174	ORPHA:217093	ORPHA:217093
44	0.03991992026567459	ORPHA:536471	ORPHA:536471
45	0.03993435204029083	OMIM:253290	OMIM:253290
46	0.04005003347992897	ORPHA:276432	ORPHA:276432
47	0.040091466158628464	ORPHA:217085	ORPHA:217085
48	0.04028616100549698	ORPHA:285	ORPHA:285
49	0.040292754769325256	ORPHA:3163	ORPHA:3163
50	0.04034564271569252	ORPHA:2963	ORPHA:2963
51	0.04035850241780281	OMIM:613075	OMIM:613075
52	0.04046659171581268	ORPHA:261318	ORPHA:261318
53	0.04049597680568695	ORPHA:3455	ORPHA:3455
54	0.040567610412836075	ORPHA:3068	ORPHA:3068
55	0.04060061275959015	OMIM:614437	OMIM:614437
56	0.040619052946567535	ORPHA:289	ORPHA:289
57	0.040793679654598236	ORPHA:371428	ORPHA:371428
58	0.04082772508263588	ORPHA:167635	ORPHA:167635
59	0.04090050607919693	ORPHA:1812	ORPHA:1812
60	0.040902718901634216	ORPHA:505248	ORPHA:505248
61	0.04090332239866257	ORPHA:2617	ORPHA:2617
62	0.040904782712459564	ORPHA:2396	ORPHA:2396
63	0.04094605892896652	ORPHA:138	ORPHA:138
64	0.040957216173410416	ORPHA:955	ORPHA:955
65	0.04098522663116455	ORPHA:740	ORPHA:740
66	0.04099716991186142	ORPHA:79474	ORPHA:79474
67	0.04103381186723709	ORPHA:284979	ORPHA:284979
68	0.041050251573324203	ORPHA:261552	ORPHA:261552
69	0.04107886552810669	ORPHA:79255	ORPHA:79255
70	0.04108424484729767	ORPHA:3378	ORPHA:3378
71	0.041095055639743805	ORPHA:2962	ORPHA:2962
72	0.04110416769981384	OMIM:182210	OMIM:182210
73	0.041114307940006256	ORPHA:666	ORPHA:666
74	0.04111569747328758	ORPHA:453499	ORPHA:453499
75	0.041215650737285614	ORPHA:3220	ORPHA:3220
76	0.04122263193130493	ORPHA:800	ORPHA:800
77	0.04123016446828842	ORPHA:79328	ORPHA:79328
78	0.04131391644477844	ORPHA:193	ORPHA:193
79	0.04133535176515579	ORPHA:2067	ORPHA:2067
