rank	score	disease_name	disease_identifier
1	0.022374948486685753	OMIM:615349	OMIM:615349
2	0.0228816419839859	ORPHA:1842	ORPHA:1842
3	0.022920211777091026	ORPHA:175	ORPHA:175
4	0.023459793999791145	ORPHA:536471	ORPHA:536471
5	0.023634446784853935	ORPHA:800	ORPHA:800
6	0.024137672036886215	OMIM:617403	OMIM:617403
7	0.02446804754436016	ORPHA:93473	ORPHA:93473
8	0.024501964449882507	ORPHA:2655	ORPHA:2655
9	0.02457931824028492	ORPHA:2953	ORPHA:2953
10	0.024740099906921387	ORPHA:536545	ORPHA:536545
11	0.024843543767929077	ORPHA:1860	ORPHA:1860
12	0.02485441416501999	OMIM:182210	OMIM:182210
13	0.02491726540029049	ORPHA:280	ORPHA:280
14	0.025193000212311745	OMIM:255800	OMIM:255800
15	0.025217948481440544	ORPHA:2078	ORPHA:2078
16	0.025536132976412773	ORPHA:90349	ORPHA:90349
17	0.025625118985772133	ORPHA:3068	ORPHA:3068
18	0.025666452944278717	ORPHA:90348	ORPHA:90348
19	0.025721583515405655	OMIM:613848	OMIM:613848
20	0.025731759145855904	OMIM:252500	OMIM:252500
21	0.025746958330273628	ORPHA:2671	ORPHA:2671
22	0.025778919458389282	ORPHA:536467	ORPHA:536467
23	0.025891698896884918	ORPHA:648	ORPHA:648
24	0.02592754364013672	ORPHA:582	ORPHA:582
25	0.02600512094795704	ORPHA:140	ORPHA:140
26	0.02600851282477379	ORPHA:577	ORPHA:577
27	0.026041274890303612	ORPHA:628	ORPHA:628
28	0.02614723891019821	OMIM:614856	OMIM:614856
29	0.026215048506855965	ORPHA:558	ORPHA:558
30	0.026250343769788742	ORPHA:1328	ORPHA:1328
31	0.02628140337765217	ORPHA:666	ORPHA:666
32	0.02630128152668476	OMIM:271640	OMIM:271640
33	0.026324782520532608	ORPHA:198	ORPHA:198
34	0.026524394750595093	OMIM:253200	OMIM:253200
35	0.0266154482960701	ORPHA:75496	ORPHA:75496
36	0.026679500937461853	ORPHA:96334	ORPHA:96334
37	0.0267727542668581	ORPHA:584	ORPHA:584
38	0.026810776442289352	ORPHA:2484	ORPHA:2484
39	0.026885181665420532	ORPHA:2990	ORPHA:2990
40	0.026887904852628708	ORPHA:3042	ORPHA:3042
41	0.02697615511715412	OMIM:245600	OMIM:245600
42	0.026981016620993614	OMIM:130070	OMIM:130070
43	0.027060171589255333	ORPHA:955	ORPHA:955
44	0.02706303820014	ORPHA:1865	ORPHA:1865
45	0.027066245675086975	ORPHA:2462	ORPHA:2462
46	0.02710554003715515	ORPHA:2050	ORPHA:2050
47	0.027233649045228958	OMIM:253220	OMIM:253220
48	0.027286631986498833	ORPHA:93274	ORPHA:93274
49	0.027291130274534225	ORPHA:354	ORPHA:354
50	0.02742481417953968	OMIM:253290	OMIM:253290
51	0.027436336502432823	ORPHA:284979	ORPHA:284979
52	0.02744981087744236	OMIM:222600	OMIM:222600
53	0.027485869824886322	ORPHA:15	ORPHA:15
54	0.02753422223031521	OMIM:312150	OMIM:312150
55	0.02754087746143341	OMIM:156550	OMIM:156550
56	0.02761634811758995	ORPHA:79255	ORPHA:79255
57	0.02768741175532341	OMIM:617402	OMIM:617402
58	0.027696700766682625	OMIM:618363	OMIM:618363
59	0.02771436795592308	ORPHA:536532	ORPHA:536532
60	0.027730271220207214	OMIM:225400	OMIM:225400
61	0.02790766768157482	OMIM:614816	OMIM:614816
62	0.027942469343543053	ORPHA:2635	ORPHA:2635
63	0.02795359306037426	ORPHA:94068	ORPHA:94068
64	0.028044449165463448	ORPHA:2962	ORPHA:2962
65	0.028053564950823784	ORPHA:87876	ORPHA:87876
66	0.028094595298171043	ORPHA:3455	ORPHA:3455
67	0.02815021201968193	ORPHA:79328	ORPHA:79328
68	0.028230348601937294	ORPHA:261318	ORPHA:261318
69	0.02823469787836075	ORPHA:579	ORPHA:579
70	0.028254004195332527	OMIM:114290	OMIM:114290
71	0.028269369155168533	OMIM:620369	OMIM:620369
72	0.028300633653998375	OMIM:182212	OMIM:182212
73	0.02840905822813511	ORPHA:744	ORPHA:744
74	0.028470104560256004	ORPHA:93	ORPHA:93
75	0.02854939177632332	ORPHA:263463	ORPHA:263463
76	0.02856219932436943	ORPHA:1458	ORPHA:1458
77	0.028589442372322083	OMIM:601559	OMIM:601559
78	0.028594838455319405	OMIM:269920	OMIM:269920
