rank	score	disease_name	disease_identifier
1	0.02837839350104332	ORPHA:442835	ORPHA:442835
2	0.0292170699685812	ORPHA:2086	ORPHA:2086
3	0.029420601204037666	ORPHA:447788	ORPHA:447788
4	0.029990632086992264	ORPHA:101070	ORPHA:101070
5	0.03007103130221367	ORPHA:79263	ORPHA:79263
6	0.03068283572793007	ORPHA:65	ORPHA:65
7	0.030864600092172623	OMIM:256600	OMIM:256600
8	0.030880482867360115	OMIM:618060	OMIM:618060
9	0.0311856921762228	ORPHA:543470	ORPHA:543470
10	0.031200245022773743	ORPHA:157941	ORPHA:157941
11	0.031237736344337463	ORPHA:488613	ORPHA:488613
12	0.031459663063287735	ORPHA:1496	ORPHA:1496
13	0.03146088868379593	OMIM:617302	OMIM:617302
14	0.03149065375328064	OMIM:618170	OMIM:618170
15	0.031692612916231155	ORPHA:485421	ORPHA:485421
16	0.03207740560173988	OMIM:612951	OMIM:612951
17	0.03213070333003998	ORPHA:300570	ORPHA:300570
18	0.03233231604099274	ORPHA:561854	ORPHA:561854
19	0.03239227831363678	ORPHA:2254	ORPHA:2254
20	0.03240181505680084	OMIM:614688	OMIM:614688
21	0.03244258835911751	ORPHA:466934	ORPHA:466934
22	0.032730717211961746	ORPHA:98768	ORPHA:98768
23	0.03284287825226784	ORPHA:282166	ORPHA:282166
24	0.03289122134447098	OMIM:312080	OMIM:312080
25	0.032965075224637985	ORPHA:391417	ORPHA:391417
26	0.033001840114593506	ORPHA:1947	ORPHA:1947
27	0.03305293247103691	ORPHA:94147	ORPHA:94147
28	0.033080846071243286	ORPHA:33445	ORPHA:33445
29	0.03312595561146736	ORPHA:411493	ORPHA:411493
30	0.0333491787314415	OMIM:277470	OMIM:277470
31	0.03348200023174286	ORPHA:251909	ORPHA:251909
32	0.033490099012851715	OMIM:614831	OMIM:614831
33	0.03375900536775589	ORPHA:289494	ORPHA:289494
34	0.03376324102282524	OMIM:617951	OMIM:617951
35	0.033837784081697464	OMIM:617086	OMIM:617086
36	0.03384740278124809	OMIM:617193	OMIM:617193
37	0.03388092294335365	ORPHA:330050	ORPHA:330050
38	0.03395293653011322	ORPHA:98755	ORPHA:98755
39	0.03403782472014427	ORPHA:2971	ORPHA:2971
40	0.03409935534000397	ORPHA:329284	ORPHA:329284
41	0.034102920442819595	OMIM:617276	OMIM:617276
42	0.03410942479968071	OMIM:617830	OMIM:617830
43	0.034113623201847076	ORPHA:98673	ORPHA:98673
44	0.034173544496297836	ORPHA:370022	ORPHA:370022
45	0.034218281507492065	OMIM:619150	OMIM:619150
46	0.03427422046661377	OMIM:615249	OMIM:615249
47	0.03428855910897255	ORPHA:457351	ORPHA:457351
48	0.03432557359337807	ORPHA:457260	ORPHA:457260
49	0.03434505686163902	OMIM:300894	OMIM:300894
50	0.03436892852187157	ORPHA:488627	ORPHA:488627
51	0.034553296864032745	ORPHA:208447	ORPHA:208447
52	0.034568868577480316	ORPHA:588	ORPHA:588
53	0.03458881378173828	ORPHA:572013	ORPHA:572013
54	0.034590575844049454	ORPHA:141	ORPHA:141
55	0.034605205059051514	ORPHA:447896	ORPHA:447896
56	0.034630436450242996	ORPHA:726	ORPHA:726
57	0.03465050458908081	OMIM:260600	OMIM:260600
58	0.03472081199288368	ORPHA:683	ORPHA:683
59	0.034749891608953476	ORPHA:280229	ORPHA:280229
60	0.03475203737616539	OMIM:617599	OMIM:617599
61	0.03477681800723076	ORPHA:163681	ORPHA:163681
62	0.03481612354516983	ORPHA:135	ORPHA:135
63	0.0349026657640934	ORPHA:86309	ORPHA:86309
64	0.03490295261144638	ORPHA:644	ORPHA:644
65	0.03496028855443001	ORPHA:529665	ORPHA:529665
66	0.03507392853498459	ORPHA:35069	ORPHA:35069
67	0.035087332129478455	ORPHA:572798	ORPHA:572798
68	0.035098955035209656	OMIM:618718	OMIM:618718
69	0.035127826035022736	OMIM:617829	OMIM:617829
70	0.03529197722673416	ORPHA:97229	ORPHA:97229
71	0.03542555123567581	OMIM:609056	OMIM:609056
72	0.03545554727315903	ORPHA:137831	ORPHA:137831
73	0.03549757972359657	OMIM:616683	OMIM:616683
74	0.03554802015423775	OMIM:617008	OMIM:617008
75	0.03565765172243118	OMIM:618374	OMIM:618374
76	0.03567228093743324	ORPHA:208441	ORPHA:208441
77	0.03567253425717354	OMIM:300983	OMIM:300983
78	0.03581646829843521	OMIM:617622	OMIM:617622
79	0.035826314240694046	ORPHA:412057	ORPHA:412057
80	0.03583754226565361	OMIM:618325	OMIM:618325
81	0.03584037721157074	OMIM:618324	OMIM:618324
82	0.035852618515491486	OMIM:617820	OMIM:617820
83	0.03592640534043312	ORPHA:268943	ORPHA:268943
84	0.03593027964234352	ORPHA:168491	ORPHA:168491
85	0.03598857671022415	OMIM:256730	OMIM:256730
86	0.03599993512034416	ORPHA:702	ORPHA:702
87	0.03612321987748146	OMIM:619876	OMIM:619876
88	0.036133602261543274	ORPHA:71277	ORPHA:71277
89	0.036134831607341766	ORPHA:206443	ORPHA:206443
90	0.03617792949080467	ORPHA:527497	ORPHA:527497
91	0.03617991507053375	OMIM:618501	OMIM:618501
92	0.03621658682823181	OMIM:301835	OMIM:301835
93	0.03628498315811157	ORPHA:139396	ORPHA:139396
94	0.03632704168558121	ORPHA:2822	ORPHA:2822
95	0.036332421004772186	ORPHA:2524	ORPHA:2524
96	0.036341696977615356	ORPHA:363429	ORPHA:363429
97	0.03639331832528114	ORPHA:217260	ORPHA:217260
98	0.03641706332564354	OMIM:617493	OMIM:617493
99	0.03643065318465233	OMIM:253280	OMIM:253280
100	0.036449916660785675	OMIM:619580	OMIM:619580
101	0.036456506699323654	ORPHA:467166	ORPHA:467166
102	0.036480288952589035	ORPHA:79264	ORPHA:79264
103	0.03649739921092987	OMIM:616577	OMIM:616577
104	0.03655172139406204	ORPHA:1171	ORPHA:1171
105	0.03658902645111084	OMIM:617864	OMIM:617864
106	0.03662224858999252	OMIM:617669	OMIM:617669
107	0.03662767633795738	ORPHA:79262	ORPHA:79262
108	0.03663669526576996	ORPHA:395	ORPHA:395
109	0.03666431084275246	OMIM:614947	OMIM:614947
110	0.03666459396481514	OMIM:617162	OMIM:617162
111	0.03668174892663956	OMIM:617954	OMIM:617954
112	0.03670676797628403	OMIM:617862	OMIM:617862
113	0.03670995682477951	OMIM:607694	OMIM:607694
114	0.03678325563669205	OMIM:300423	OMIM:300423
115	0.036810215562582016	ORPHA:157850	ORPHA:157850
116	0.03683651238679886	ORPHA:544469	ORPHA:544469
117	0.03683964163064957	ORPHA:79279	ORPHA:79279
118	0.036875031888484955	ORPHA:1933	ORPHA:1933
119	0.03692509979009628	ORPHA:79476	ORPHA:79476
120	0.03699616715312004	ORPHA:438114	ORPHA:438114
121	0.03700637444853783	OMIM:617166	OMIM:617166
122	0.03702567517757416	OMIM:614559	OMIM:614559
123	0.03703312948346138	ORPHA:480864	ORPHA:480864
124	0.037056632339954376	OMIM:236792	OMIM:236792
125	0.0370602011680603	OMIM:618087	OMIM:618087
126	0.03715205937623978	ORPHA:79097	ORPHA:79097
127	0.03716488182544708	OMIM:619428	OMIM:619428
128	0.037177879363298416	ORPHA:263516	ORPHA:263516
129	0.037207186222076416	OMIM:619517	OMIM:619517
130	0.03729042410850525	ORPHA:2732	ORPHA:2732
