rank	score	disease_name	disease_identifier
1	0.1416143774986267	ORPHA:231237	ORPHA:231237
2	0.15187883377075195	OMIM:266140	OMIM:266140
3	0.15246105194091797	ORPHA:231242	ORPHA:231242
4	0.15396231412887573	OMIM:270970	OMIM:270970
5	0.16234660148620605	OMIM:603529	OMIM:603529
6	0.1648678183555603	OMIM:604131	OMIM:604131
7	0.16554749011993408	OMIM:515000	OMIM:515000
8	0.16570192575454712	OMIM:166910	OMIM:166910
9	0.16596359014511108	OMIM:613985	OMIM:613985
10	0.1660037636756897	ORPHA:318	ORPHA:318
