rank	score	disease_name	disease_identifier
1	0.02954673580825329	ORPHA:3206	ORPHA:3206
2	0.031050512567162514	ORPHA:2614	ORPHA:2614
3	0.03169704228639603	ORPHA:1900	ORPHA:1900
4	0.032353442162275314	ORPHA:90354	ORPHA:90354
5	0.032763320952653885	ORPHA:88628	ORPHA:88628
6	0.032867155969142914	ORPHA:1764	ORPHA:1764
7	0.03290252760052681	ORPHA:90321	ORPHA:90321
8	0.033241428434848785	OMIM:619234	OMIM:619234
9	0.033290840685367584	OMIM:225400	OMIM:225400
10	0.03333888202905655	ORPHA:300179	ORPHA:300179
11	0.03399582579731941	ORPHA:191	ORPHA:191
12	0.034256964921951294	OMIM:618493	OMIM:618493
13	0.034338582307100296	ORPHA:773	ORPHA:773
14	0.03464401513338089	ORPHA:261476	ORPHA:261476
15	0.03526756912469864	OMIM:616007	OMIM:616007
16	0.03527125343680382	ORPHA:309282	ORPHA:309282
17	0.035441137850284576	OMIM:309000	OMIM:309000
18	0.03565606474876404	ORPHA:355	ORPHA:355
19	0.03576277196407318	ORPHA:816	ORPHA:816
20	0.03590298071503639	ORPHA:544503	ORPHA:544503
21	0.03608672693371773	ORPHA:536545	ORPHA:536545
22	0.03609840199351311	OMIM:609033	OMIM:609033
23	0.036098841577768326	ORPHA:67036	ORPHA:67036
24	0.036110006272792816	OMIM:616505	OMIM:616505
25	0.036130163818597794	ORPHA:93308	ORPHA:93308
26	0.03618534654378891	OMIM:259770	OMIM:259770
27	0.03628765791654587	ORPHA:2833	ORPHA:2833
28	0.036361776292324066	ORPHA:800	ORPHA:800
29	0.03649333119392395	ORPHA:394	ORPHA:394
30	0.036514200270175934	OMIM:617988	OMIM:617988
31	0.036535024642944336	OMIM:184900	OMIM:184900
32	0.03656238317489624	OMIM:236200	OMIM:236200
33	0.03656885400414467	OMIM:239000	OMIM:239000
34	0.03658077493309975	ORPHA:1466	ORPHA:1466
35	0.03660197928547859	OMIM:209900	OMIM:209900
36	0.03673902526497841	ORPHA:1824	ORPHA:1824
37	0.03686666488647461	OMIM:619737	OMIM:619737
38	0.03689834102988243	ORPHA:2715	ORPHA:2715
39	0.0369083471596241	ORPHA:251004	ORPHA:251004
40	0.03709327429533005	ORPHA:581	ORPHA:581
41	0.03713464364409447	ORPHA:48431	ORPHA:48431
42	0.037257641553878784	ORPHA:90324	ORPHA:90324
43	0.037294864654541016	ORPHA:79443	ORPHA:79443
44	0.03732430562376976	OMIM:608799	OMIM:608799
45	0.03743956983089447	OMIM:131300	OMIM:131300
46	0.03752169758081436	OMIM:612199	OMIM:612199
47	0.037558916956186295	ORPHA:828	ORPHA:828
48	0.03756202757358551	OMIM:130060	OMIM:130060
49	0.037704527378082275	OMIM:616756	OMIM:616756
50	0.037706341594457626	ORPHA:496790	ORPHA:496790
51	0.03773980215191841	ORPHA:33364	ORPHA:33364
52	0.0380062609910965	ORPHA:53	ORPHA:53
53	0.03805193305015564	ORPHA:488642	ORPHA:488642
54	0.038083381950855255	OMIM:214150	OMIM:214150
55	0.038234319537878036	ORPHA:285	ORPHA:285
56	0.03827382251620293	OMIM:601492	OMIM:601492
57	0.03828264772891998	ORPHA:333	ORPHA:333
58	0.03828401118516922	OMIM:616716	OMIM:616716
59	0.03829847648739815	ORPHA:468699	ORPHA:468699
60	0.038310255855321884	ORPHA:904	ORPHA:904
61	0.03831649199128151	OMIM:602152	OMIM:602152
62	0.03838002681732178	ORPHA:230851	ORPHA:230851
63	0.03840092569589615	OMIM:216400	OMIM:216400
64	0.03840399906039238	ORPHA:85410	ORPHA:85410
65	0.03841445967555046	OMIM:614961	OMIM:614961
66	0.03850527107715607	ORPHA:5	ORPHA:5
67	0.03852158039808273	OMIM:615491	OMIM:615491
68	0.038527414202690125	ORPHA:79444	ORPHA:79444
69	0.03855977579951286	OMIM:618707	OMIM:618707
70	0.03856012225151062	ORPHA:812	ORPHA:812
71	0.03856340050697327	ORPHA:534	ORPHA:534
72	0.03863653913140297	ORPHA:397	ORPHA:397
73	0.03863734006881714	OMIM:617258	OMIM:617258
74	0.038648564368486404	OMIM:300661	OMIM:300661
75	0.038648821413517	ORPHA:90322	ORPHA:90322
76	0.03870312497019768	ORPHA:559	ORPHA:559
77	0.03870575129985809	ORPHA:636	ORPHA:636
78	0.03880631923675537	OMIM:616809	OMIM:616809
79	0.03883783519268036	ORPHA:51	ORPHA:51
80	0.03889533877372742	OMIM:304700	OMIM:304700
81	0.03889830783009529	ORPHA:101000	ORPHA:101000
82	0.03892504423856735	OMIM:618733	OMIM:618733
83	0.03895793855190277	OMIM:618124	OMIM:618124
84	0.03896202892065048	ORPHA:649	ORPHA:649
85	0.038979094475507736	ORPHA:404454	ORPHA:404454
86	0.038995351642370224	ORPHA:230839	ORPHA:230839
87	0.03901243954896927	ORPHA:86309	ORPHA:86309
88	0.03904327377676964	ORPHA:354	ORPHA:354
89	0.039048776030540466	OMIM:255800	OMIM:255800
90	0.03906035050749779	ORPHA:502423	ORPHA:502423
91	0.039178308099508286	ORPHA:772	ORPHA:772
92	0.03918445482850075	OMIM:618484	OMIM:618484
93	0.03920157253742218	OMIM:617183	OMIM:617183
94	0.039250586181879044	OMIM:219150	OMIM:219150
95	0.03925865516066551	OMIM:242900	OMIM:242900
96	0.03929275646805763	OMIM:601559	OMIM:601559
97	0.03931710124015808	ORPHA:14	ORPHA:14
98	0.03932930529117584	OMIM:616271	OMIM:616271
99	0.039331529289484024	OMIM:108145	OMIM:108145
100	0.03934624046087265	OMIM:277440	OMIM:277440
101	0.03934810683131218	ORPHA:412057	ORPHA:412057
102	0.039373237639665604	ORPHA:2788	ORPHA:2788
103	0.039460886269807816	OMIM:617404	OMIM:617404
104	0.03946904093027115	ORPHA:2971	ORPHA:2971
105	0.03948639705777168	ORPHA:3137	ORPHA:3137
106	0.03948996961116791	ORPHA:667	ORPHA:667
107	0.039492424577474594	OMIM:619269	OMIM:619269
108	0.039551734924316406	ORPHA:436141	ORPHA:436141
109	0.0395842082798481	ORPHA:2072	ORPHA:2072
110	0.03961322456598282	OMIM:614557	OMIM:614557
111	0.03962165117263794	ORPHA:337	ORPHA:337
112	0.039643604308366776	ORPHA:94089	ORPHA:94089
113	0.03967852517962456	OMIM:266510	OMIM:266510
114	0.03970447555184364	OMIM:133540	OMIM:133540
115	0.039729632437229156	ORPHA:1855	ORPHA:1855
116	0.039740025997161865	OMIM:275900	OMIM:275900
117	0.039748724550008774	OMIM:264470	OMIM:264470
118	0.039754077792167664	OMIM:300534	OMIM:300534
119	0.03976462408900261	ORPHA:2047	ORPHA:2047
120	0.03977476805448532	ORPHA:702	ORPHA:702
121	0.03978996351361275	OMIM:194050	OMIM:194050
122	0.039810847491025925	ORPHA:35687	ORPHA:35687
123	0.03983350470662117	OMIM:203800	OMIM:203800
124	0.03988596424460411	OMIM:618186	OMIM:618186
125	0.039895571768283844	OMIM:605822	OMIM:605822
126	0.039895810186862946	OMIM:618076	OMIM:618076
127	0.0399637296795845	ORPHA:85446	ORPHA:85446
128	0.03996719792485237	OMIM:617675	OMIM:617675
129	0.040047354996204376	ORPHA:94068	ORPHA:94068
130	0.04007825255393982	ORPHA:216866	ORPHA:216866
131	0.04012402147054672	OMIM:619475	OMIM:619475
132	0.04014936462044716	OMIM:608093	OMIM:608093
133	0.04016212746500969	ORPHA:1399	ORPHA:1399
134	0.04019002243876457	OMIM:182250	OMIM:182250
135	0.04019012302160263	ORPHA:438213	ORPHA:438213
136	0.04027818143367767	ORPHA:79318	ORPHA:79318
137	0.04030235856771469	OMIM:616263	OMIM:616263
138	0.04033567011356354	ORPHA:101006	ORPHA:101006
139	0.04034993425011635	OMIM:560000	OMIM:560000
140	0.040358055382966995	ORPHA:289176	ORPHA:289176
141	0.04038358852267265	OMIM:266500	OMIM:266500
142	0.04038490727543831	OMIM:616541	OMIM:616541
143	0.040395110845565796	ORPHA:93399	ORPHA:93399
144	0.04039708524942398	ORPHA:821	ORPHA:821
145	0.04040489345788956	ORPHA:2719	ORPHA:2719
146	0.04040580987930298	ORPHA:456312	ORPHA:456312
147	0.04040641710162163	ORPHA:834	ORPHA:834
148	0.040408387780189514	OMIM:256850	OMIM:256850
149	0.040473274886608124	ORPHA:166011	ORPHA:166011
150	0.04048912972211838	OMIM:616721	OMIM:616721
151	0.040498435497283936	ORPHA:251009	ORPHA:251009
152	0.04052521288394928	OMIM:601162	OMIM:601162
153	0.04052719101309776	ORPHA:478	ORPHA:478
154	0.04054071381688118	OMIM:620080	OMIM:620080
155	0.04054703935980797	OMIM:620351	OMIM:620351
156	0.04061419516801834	ORPHA:1328	ORPHA:1328
157	0.040631912648677826	OMIM:264700	OMIM:264700
158	0.04063309356570244	ORPHA:98673	ORPHA:98673
159	0.04066605493426323	OMIM:216550	OMIM:216550
160	0.04067564010620117	ORPHA:909	ORPHA:909
161	0.040709488093853	ORPHA:289157	ORPHA:289157
162	0.04074623063206673	ORPHA:488635	ORPHA:488635
163	0.04076371341943741	ORPHA:96264	ORPHA:96264
164	0.04078611731529236	ORPHA:1901	ORPHA:1901
165	0.04079503193497658	OMIM:606721	OMIM:606721
166	0.04080407693982124	OMIM:615356	OMIM:615356
167	0.040821921080350876	OMIM:617913	OMIM:617913
168	0.04084164276719093	ORPHA:99956	ORPHA:99956
169	0.04084295779466629	OMIM:259700	OMIM:259700
170	0.040843427181243896	OMIM:210730	OMIM:210730
171	0.040896859019994736	ORPHA:1875	ORPHA:1875
172	0.040896862745285034	ORPHA:2176	ORPHA:2176
