rank	score	disease_name	disease_identifier
1	0.02237197943031788	OMIM:619423	OMIM:619423
2	0.024005316197872162	OMIM:619847	OMIM:619847
3	0.024587120860815048	OMIM:220120	OMIM:220120
4	0.02561306022107601	OMIM:619229	OMIM:619229
5	0.02626856602728367	OMIM:608885	OMIM:608885
6	0.026371408253908157	OMIM:612015	OMIM:612015
7	0.02642996609210968	OMIM:612949	OMIM:612949
8	0.02657531015574932	OMIM:613668	OMIM:613668
9	0.026745174080133438	OMIM:615846	OMIM:615846
10	0.026791298761963844	ORPHA:91131	ORPHA:91131
11	0.026963314041495323	OMIM:612073	OMIM:612073
12	0.027050629258155823	OMIM:616271	OMIM:616271
13	0.027051441371440887	ORPHA:1445	ORPHA:1445
14	0.027576083317399025	OMIM:617864	OMIM:617864
15	0.027675332501530647	OMIM:614457	OMIM:614457
16	0.02777714468538761	OMIM:266265	OMIM:266265
17	0.027790969237685204	OMIM:300672	OMIM:300672
18	0.027807926759123802	OMIM:614498	OMIM:614498
19	0.027924472466111183	OMIM:619059	OMIM:619059
20	0.027949171140789986	OMIM:615851	OMIM:615851
21	0.027951160445809364	OMIM:617290	OMIM:617290
22	0.02814202383160591	OMIM:257200	OMIM:257200
23	0.028205787762999535	OMIM:618367	OMIM:618367
24	0.028281593695282936	OMIM:617698	OMIM:617698
25	0.028314219787716866	OMIM:604317	OMIM:604317
26	0.028408950194716454	OMIM:614231	OMIM:614231
27	0.028412504121661186	OMIM:620145	OMIM:620145
28	0.028561053797602654	OMIM:256000	OMIM:256000
29	0.02859630435705185	OMIM:616339	OMIM:616339
30	0.028618643060326576	OMIM:618891	OMIM:618891
31	0.028624795377254486	OMIM:608093	OMIM:608093
32	0.028695598244667053	OMIM:615574	OMIM:615574
33	0.028731046244502068	OMIM:618321	OMIM:618321
34	0.028743179515004158	OMIM:301058	OMIM:301058
35	0.028800901025533676	OMIM:613661	OMIM:613661
36	0.02885509841144085	OMIM:617600	OMIM:617600
37	0.028920505195856094	OMIM:619272	OMIM:619272
38	0.02899414859712124	OMIM:272300	OMIM:272300
39	0.02900192327797413	OMIM:617404	OMIM:617404
40	0.029114019125699997	OMIM:620007	OMIM:620007
41	0.029154157266020775	OMIM:619737	OMIM:619737
42	0.029169511049985886	OMIM:300322	OMIM:300322
43	0.029181476682424545	OMIM:618426	OMIM:618426
44	0.02921442873775959	ORPHA:59	ORPHA:59
45	0.029216108843684196	OMIM:234500	OMIM:234500
46	0.02922385185956955	OMIM:617977	OMIM:617977
47	0.029227929189801216	OMIM:268800	OMIM:268800
48	0.029230985790491104	OMIM:617132	OMIM:617132
49	0.029232578352093697	OMIM:616973	OMIM:616973
50	0.029262229800224304	OMIM:300699	OMIM:300699
51	0.029336391016840935	OMIM:616657	OMIM:616657
52	0.029341647401452065	OMIM:617599	OMIM:617599
53	0.02938530035316944	ORPHA:500055	ORPHA:500055
54	0.029401997104287148	OMIM:617595	OMIM:617595
55	0.029421497136354446	OMIM:617799	OMIM:617799
56	0.029426582157611847	OMIM:619428	OMIM:619428
57	0.029496990144252777	OMIM:614388	OMIM:614388
58	0.029510946944355965	ORPHA:79351	ORPHA:79351
59	0.029522240161895752	OMIM:307030	OMIM:307030
60	0.029545268043875694	OMIM:610329	OMIM:610329
61	0.029576091095805168	OMIM:231670	OMIM:231670
62	0.029584389179944992	OMIM:619922	OMIM:619922
63	0.02958650328218937	OMIM:176270	OMIM:176270
64	0.029599742963910103	ORPHA:51	ORPHA:51
65	0.029632989317178726	OMIM:300352	OMIM:300352
66	0.02965790592133999	OMIM:103050	OMIM:103050
67	0.029664108529686928	ORPHA:98793	ORPHA:98793
