rank	score	disease_name	disease_identifier
1	0.031364310532808304	ORPHA:36386	ORPHA:36386
2	0.03361210972070694	ORPHA:642	ORPHA:642
3	0.035010818392038345	ORPHA:139578	ORPHA:139578
4	0.03631513938307762	ORPHA:79093	ORPHA:79093
5	0.037594642490148544	OMIM:616719	OMIM:616719
6	0.03880872204899788	ORPHA:309263	ORPHA:309263
7	0.03883810713887215	OMIM:619027	OMIM:619027
8	0.038957104086875916	OMIM:256800	OMIM:256800
9	0.039097633212804794	ORPHA:98916	ORPHA:98916
10	0.03923342376947403	ORPHA:320365	ORPHA:320365
11	0.03930734470486641	ORPHA:309271	ORPHA:309271
12	0.03933148831129074	ORPHA:139417	ORPHA:139417
13	0.03947102278470993	OMIM:608654	OMIM:608654
14	0.03950496390461922	ORPHA:309256	ORPHA:309256
15	0.040003348141908646	OMIM:613115	OMIM:613115
16	0.04013494402170181	OMIM:201300	OMIM:201300
17	0.04051275551319122	ORPHA:466794	ORPHA:466794
18	0.0407351553440094	OMIM:184850	OMIM:184850
19	0.040788792073726654	ORPHA:2912	ORPHA:2912
20	0.040891390293836594	ORPHA:746	ORPHA:746
21	0.040955714881420135	ORPHA:139399	ORPHA:139399
22	0.041061241179704666	ORPHA:3208	ORPHA:3208
23	0.041065435856580734	OMIM:613640	OMIM:613640
24	0.041108280420303345	ORPHA:206594	ORPHA:206594
25	0.04147936776280403	ORPHA:171612	ORPHA:171612
26	0.041511207818984985	OMIM:270550	OMIM:270550
27	0.04155772551894188	ORPHA:206436	ORPHA:206436
28	0.0415831096470356	OMIM:619621	OMIM:619621
29	0.04160561040043831	OMIM:162400	OMIM:162400
30	0.041858915239572525	OMIM:603563	OMIM:603563
31	0.042019303888082504	ORPHA:2596	ORPHA:2596
32	0.04208071902394295	OMIM:609260	OMIM:609260
33	0.04235425218939781	ORPHA:206443	ORPHA:206443
34	0.04240668565034866	ORPHA:401866	ORPHA:401866
35	0.042446523904800415	ORPHA:100993	ORPHA:100993
36	0.042470935732126236	OMIM:256840	OMIM:256840
37	0.04258952662348747	OMIM:615685	OMIM:615685
38	0.04273921996355057	OMIM:618369	OMIM:618369
39	0.042764320969581604	OMIM:615632	OMIM:615632
40	0.042773474007844925	ORPHA:100991	ORPHA:100991
41	0.042895808815956116	ORPHA:137898	ORPHA:137898
42	0.04291748255491257	ORPHA:100999	ORPHA:100999
43	0.042929504066705704	ORPHA:101081	ORPHA:101081
