rank	score	disease_name	disease_identifier
1	0.1789587140083313	ORPHA:1429	ORPHA:1429
2	0.18023353815078735	ORPHA:228169	ORPHA:228169
3	0.18545281887054443	ORPHA:71519	ORPHA:71519
4	0.18590021133422852	ORPHA:98766	ORPHA:98766
5	0.18939214944839478	ORPHA:370103	ORPHA:370103
6	0.1901513934135437	ORPHA:211017	ORPHA:211017
7	0.19087857007980347	OMIM:614808	OMIM:614808
8	0.1912103295326233	ORPHA:423275	ORPHA:423275
9	0.19179052114486694	ORPHA:458798	ORPHA:458798
10	0.19239306449890137	OMIM:302600	OMIM:302600
