rank	score	disease_name	disease_identifier
1	0.021851977333426476	OMIM:607259	OMIM:607259
2	0.023102182894945145	OMIM:613908	OMIM:613908
3	0.023202482610940933	ORPHA:488594	ORPHA:488594
4	0.02368732914328575	OMIM:616907	OMIM:616907
5	0.023810654878616333	OMIM:248900	OMIM:248900
6	0.024129824712872505	ORPHA:100986	ORPHA:100986
7	0.024190152063965797	ORPHA:171629	ORPHA:171629
8	0.02422216720879078	ORPHA:225154	ORPHA:225154
9	0.024716265499591827	OMIM:612319	OMIM:612319
10	0.0250248983502388	OMIM:617916	OMIM:617916
11	0.025053272023797035	ORPHA:95	ORPHA:95
12	0.025181641802191734	OMIM:614877	OMIM:614877
13	0.025234544649720192	ORPHA:300605	ORPHA:300605
14	0.025290371850132942	OMIM:615768	OMIM:615768
15	0.02539152279496193	ORPHA:88644	ORPHA:88644
16	0.025418102741241455	ORPHA:276193	ORPHA:276193
17	0.025557413697242737	ORPHA:276238	ORPHA:276238
17	0.025557413697242737	ORPHA:276241	ORPHA:276241
19	0.025640439242124557	ORPHA:98	ORPHA:98
20	0.025722771883010864	OMIM:610743	OMIM:610743
21	0.02576577663421631	OMIM:614153	OMIM:614153
22	0.026055241003632545	OMIM:205100	OMIM:205100
23	0.026449760422110558	OMIM:611390	OMIM:611390
24	0.026671206578612328	ORPHA:284332	ORPHA:284332
25	0.02671527862548828	OMIM:614487	OMIM:614487
26	0.02680141106247902	ORPHA:363722	ORPHA:363722
27	0.026866795495152473	ORPHA:98760	ORPHA:98760
28	0.026928184553980827	ORPHA:276244	ORPHA:276244
29	0.026969976723194122	OMIM:615356	OMIM:615356
30	0.02699071168899536	ORPHA:352641	ORPHA:352641
31	0.027203239500522614	ORPHA:93952	ORPHA:93952
32	0.027211425825953484	ORPHA:137898	ORPHA:137898
33	0.02723667584359646	ORPHA:313772	ORPHA:313772
34	0.02723953314125538	OMIM:615157	OMIM:615157
35	0.027448667213320732	OMIM:613206	OMIM:613206
36	0.02745974250137806	OMIM:616948	OMIM:616948
37	0.02747986651957035	OMIM:616053	OMIM:616053
38	0.02752198837697506	OMIM:611302	OMIM:611302
39	0.027527909725904465	OMIM:616479	OMIM:616479
40	0.02771182172000408	OMIM:619686	OMIM:619686
41	0.027714887633919716	ORPHA:314603	ORPHA:314603
42	0.02774295024573803	OMIM:609195	OMIM:609195
43	0.027860337868332863	OMIM:601162	OMIM:601162
44	0.027911530807614326	OMIM:616680	OMIM:616680
45	0.027933139353990555	OMIM:606002	OMIM:606002
46	0.028028573840856552	OMIM:614409	OMIM:614409
47	0.02805008552968502	OMIM:183090	OMIM:183090
48	0.02811749093234539	ORPHA:466722	ORPHA:466722
49	0.02823614701628685	ORPHA:1170	ORPHA:1170
50	0.028384605422616005	OMIM:270550	OMIM:270550
51	0.02840358205139637	OMIM:618387	OMIM:618387
52	0.028467845171689987	OMIM:164400	OMIM:164400
53	0.02849559299647808	OMIM:610357	OMIM:610357
54	0.028518367558717728	ORPHA:309162	ORPHA:309162
55	0.02858629822731018	ORPHA:423275	ORPHA:423275
56	0.028624407947063446	OMIM:109150	OMIM:109150
57	0.028681812807917595	OMIM:617691	OMIM:617691
58	0.028688820078969002	ORPHA:397946	ORPHA:397946
59	0.02876153774559498	ORPHA:496689	ORPHA:496689
60	0.028880910947918892	OMIM:617225	OMIM:617225
61	0.02888772264122963	OMIM:617435	OMIM:617435
62	0.02889549732208252	OMIM:208920	OMIM:208920
63	0.028900567442178726	ORPHA:101075	ORPHA:101075
64	0.028929542750120163	ORPHA:289560	ORPHA:289560
