rank	score	disease_name	disease_identifier
1	0.16719084978103638	ORPHA:1429	ORPHA:1429
2	0.17011815309524536	ORPHA:228169	ORPHA:228169
3	0.17646384239196777	ORPHA:71519	ORPHA:71519
4	0.18084114789962769	ORPHA:423275	ORPHA:423275
5	0.18116015195846558	ORPHA:211017	ORPHA:211017
6	0.18229925632476807	ORPHA:98806	ORPHA:98806
7	0.1826985478401184	ORPHA:370103	ORPHA:370103
8	0.18275070190429688	ORPHA:101108	ORPHA:101108
9	0.18320947885513306	OMIM:183050	OMIM:183050
10	0.18355470895767212	ORPHA:284282	ORPHA:284282
