rank	score	disease_name	disease_identifier
1	0.016346272081136703	ORPHA:79433	ORPHA:79433
2	0.02507247030735016	OMIM:126070	OMIM:126070
3	0.025953520089387894	ORPHA:79432	ORPHA:79432
4	0.02761922776699066	ORPHA:79435	ORPHA:79435
5	0.0297098346054554	OMIM:203200	OMIM:203200
6	0.031046627089381218	OMIM:606574	OMIM:606574
7	0.03369702771306038	ORPHA:352731	ORPHA:352731
8	0.03384755924344063	OMIM:619165	OMIM:619165
9	0.03444018214941025	OMIM:606952	OMIM:606952
10	0.035420823842287064	ORPHA:79434	ORPHA:79434
11	0.03831036016345024	ORPHA:79431	ORPHA:79431
12	0.0399201326072216	ORPHA:42665	ORPHA:42665
13	0.04239170253276825	OMIM:203100	OMIM:203100
14	0.04240777716040611	OMIM:103500	OMIM:103500
15	0.042843952775001526	OMIM:227010	OMIM:227010
16	0.044590555131435394	OMIM:614072	OMIM:614072
17	0.04495678097009659	OMIM:300500	OMIM:300500
18	0.04523015022277832	OMIM:619172	OMIM:619172
19	0.04657502844929695	OMIM:601706	OMIM:601706
20	0.04773622751235962	ORPHA:999	ORPHA:999
21	0.04784902557730675	OMIM:611584	OMIM:611584
22	0.048292648047208786	OMIM:619947	OMIM:619947
23	0.048881739377975464	OMIM:113750	OMIM:113750
24	0.04914947226643562	ORPHA:2786	ORPHA:2786
25	0.049187932163476944	OMIM:300650	OMIM:300650
26	0.049212127923965454	OMIM:203290	OMIM:203290
27	0.049397971481084824	ORPHA:895	ORPHA:895
28	0.05015745013952255	ORPHA:2885	ORPHA:2885
29	0.05019823834300041	OMIM:193510	OMIM:193510
30	0.05043491721153259	OMIM:613266	OMIM:613266
31	0.05156012251973152	OMIM:613265	OMIM:613265
32	0.05283113196492195	OMIM:614075	OMIM:614075
33	0.05362866446375847	ORPHA:998	ORPHA:998
34	0.05369413271546364	ORPHA:3437	ORPHA:3437
35	0.053880881518125534	ORPHA:54	ORPHA:54
36	0.05388658121228218	OMIM:300700	OMIM:300700
37	0.053960710763931274	OMIM:614077	OMIM:614077
38	0.05492398515343666	OMIM:203300	OMIM:203300
39	0.05503219738602638	OMIM:263700	OMIM:263700
40	0.05511109530925751	ORPHA:2884	ORPHA:2884
41	0.055112723261117935	ORPHA:3214	ORPHA:3214
42	0.05556356534361839	OMIM:214450	OMIM:214450
43	0.05599910765886307	OMIM:277580	OMIM:277580
44	0.056640591472387314	ORPHA:79430	ORPHA:79430
45	0.057065483182668686	OMIM:614171	OMIM:614171
46	0.05724545568227768	ORPHA:79478	ORPHA:79478
47	0.05861788988113403	OMIM:300600	OMIM:300600
48	0.05956413596868515	OMIM:214500	OMIM:214500
49	0.05999547615647316	OMIM:613216	OMIM:613216
50	0.06009345129132271	OMIM:217080	OMIM:217080
51	0.06014334782958031	OMIM:608553	OMIM:608553
52	0.06070328503847122	ORPHA:370097	ORPHA:370097
53	0.060706544667482376	ORPHA:897	ORPHA:897
54	0.060879066586494446	OMIM:613341	OMIM:613341
55	0.06157418712973595	OMIM:614074	OMIM:614074
56	0.062438491731882095	ORPHA:1573	ORPHA:1573
57	0.062489453703165054	OMIM:615312	OMIM:615312
58	0.06275713443756104	ORPHA:894	ORPHA:894
59	0.06287260353565216	OMIM:204100	OMIM:204100
60	0.06290527433156967	ORPHA:95159	ORPHA:95159
61	0.0642322301864624	OMIM:204000	OMIM:204000
62	0.06423243880271912	ORPHA:791	ORPHA:791
63	0.06441060453653336	ORPHA:2720	ORPHA:2720
64	0.0645068809390068	OMIM:600501	OMIM:600501
65	0.06455129384994507	OMIM:605549	OMIM:605549
66	0.06508197635412216	ORPHA:370091	ORPHA:370091
67	0.0652649775147438	OMIM:613464	OMIM:613464
68	0.06530113518238068	OMIM:270200	OMIM:270200
69	0.06540893763303757	ORPHA:79277	ORPHA:79277
70	0.0655430406332016	OMIM:615147	OMIM:615147
71	0.0659516453742981	OMIM:193500	OMIM:193500
72	0.06602855026721954	ORPHA:178333	ORPHA:178333
73	0.06604938209056854	OMIM:600105	OMIM:600105
74	0.06640343368053436	OMIM:125595	OMIM:125595
75	0.06651069223880768	OMIM:609227	OMIM:609227
76	0.06664727628231049	OMIM:129500	OMIM:129500
77	0.06666397303342819	ORPHA:436274	ORPHA:436274
78	0.06673367321491241	OMIM:225050	OMIM:225050
79	0.06681457161903381	ORPHA:1873	ORPHA:1873
80	0.06714634597301483	OMIM:303100	OMIM:303100
81	0.06745626777410507	OMIM:609913	OMIM:609913
82	0.06753414124250412	OMIM:308300	OMIM:308300
83	0.06765631586313248	ORPHA:364055	ORPHA:364055
84	0.06780102849006653	ORPHA:910	ORPHA:910
85	0.06800062954425812	OMIM:608233	OMIM:608233
86	0.06801439076662064	OMIM:614073	OMIM:614073
87	0.06806391477584839	ORPHA:79396	ORPHA:79396
88	0.06847188621759415	ORPHA:3440	ORPHA:3440
89	0.06866385787725449	ORPHA:317	ORPHA:317
90	0.06868661940097809	OMIM:304020	OMIM:304020
91	0.0689239427447319	ORPHA:99000	ORPHA:99000
92	0.06893050670623779	OMIM:607624	OMIM:607624
93	0.06895375996828079	OMIM:601777	OMIM:601777
94	0.06916164606809616	OMIM:602400	OMIM:602400
95	0.06950203329324722	OMIM:237450	OMIM:237450
96	0.06951350718736649	ORPHA:381	ORPHA:381
97	0.0695141851902008	ORPHA:88629	ORPHA:88629
98	0.06961372494697571	ORPHA:79414	ORPHA:79414
99	0.0696345716714859	ORPHA:414	ORPHA:414
100	0.0696801021695137	OMIM:620199	OMIM:620199
101	0.06981288641691208	ORPHA:79477	ORPHA:79477
102	0.0699574202299118	OMIM:604093	OMIM:604093
103	0.07046796381473541	OMIM:278760	OMIM:278760
104	0.07052841782569885	OMIM:613843	OMIM:613843
105	0.07057613879442215	OMIM:617871	OMIM:617871
106	0.0706917941570282	ORPHA:2116	ORPHA:2116
107	0.07076550275087357	ORPHA:2719	ORPHA:2719
108	0.07080022245645523	OMIM:614500	OMIM:614500
109	0.0708194375038147	ORPHA:79476	ORPHA:79476
110	0.07085108011960983	ORPHA:1067	ORPHA:1067
111	0.0709216520190239	ORPHA:33364	ORPHA:33364
112	0.07096786051988602	OMIM:158310	OMIM:158310
113	0.07097281515598297	OMIM:278750	OMIM:278750
114	0.07107355445623398	ORPHA:827	ORPHA:827
115	0.07108938694000244	OMIM:133540	OMIM:133540
116	0.07117628306150436	ORPHA:158000	ORPHA:158000
117	0.07119199633598328	OMIM:612095	OMIM:612095
118	0.07125986367464066	OMIM:137600	OMIM:137600
119	0.07128828763961792	ORPHA:742	ORPHA:742
120	0.0713360384106636	OMIM:618826	OMIM:618826
121	0.07137716561555862	ORPHA:170	ORPHA:170
122	0.07140471041202545	ORPHA:167	ORPHA:167
123	0.07159584015607834	ORPHA:90321	ORPHA:90321
124	0.07161550223827362	ORPHA:163746	ORPHA:163746
125	0.0716162845492363	ORPHA:1021	ORPHA:1021
126	0.07176345586776733	ORPHA:2875	ORPHA:2875
127	0.0718061700463295	ORPHA:79098	ORPHA:79098
128	0.07183155417442322	OMIM:610381	OMIM:610381
129	0.07194025814533234	ORPHA:140936	ORPHA:140936
130	0.07196249812841415	OMIM:300476	OMIM:300476
131	0.07203894853591919	OMIM:212550	OMIM:212550
132	0.07214630395174026	ORPHA:49382	ORPHA:49382
133	0.07232280820608139	OMIM:278720	OMIM:278720
134	0.07233574241399765	ORPHA:1806	ORPHA:1806
135	0.07234986871480942	OMIM:614076	OMIM:614076
136	0.07246214896440506	ORPHA:215	ORPHA:215
137	0.07255792617797852	OMIM:303700	OMIM:303700
138	0.07278343290090561	ORPHA:464	ORPHA:464
139	0.07287813723087311	OMIM:618513	OMIM:618513
140	0.07292626798152924	OMIM:613835	OMIM:613835
141	0.07302174717187881	ORPHA:52427	ORPHA:52427
142	0.07310180366039276	ORPHA:649	ORPHA:649
143	0.0732152983546257	OMIM:617879	OMIM:617879
144	0.07327916473150253	OMIM:275400	OMIM:275400
145	0.07332891970872879	ORPHA:233	ORPHA:233
146	0.07335246354341507	OMIM:614504	OMIM:614504
147	0.07346834987401962	ORPHA:90342	ORPHA:90342
148	0.07351784408092499	OMIM:229200	OMIM:229200
149	0.07351900637149811	OMIM:172800	OMIM:172800
150	0.07363267242908478	ORPHA:636	ORPHA:636
151	0.07363414764404297	OMIM:278730	OMIM:278730
152	0.07363428920507431	OMIM:104100	OMIM:104100
153	0.07365551590919495	ORPHA:2253	ORPHA:2253
154	0.07369627058506012	ORPHA:220295	ORPHA:220295
155	0.07385004311800003	OMIM:613731	OMIM:613731
