rank	score	disease_name	disease_identifier
1	0.01889706589281559	ORPHA:1872	ORPHA:1872
2	0.03727666288614273	OMIM:614186	OMIM:614186
3	0.03798975795507431	ORPHA:75374	ORPHA:75374
4	0.039042118936777115	ORPHA:180	ORPHA:180
5	0.040236473083496094	ORPHA:1871	ORPHA:1871
6	0.040469683706760406	OMIM:304020	OMIM:304020
7	0.04169930890202522	OMIM:204870	OMIM:204870
8	0.042209524661302567	OMIM:608194	OMIM:608194
9	0.046426352113485336	OMIM:610356	OMIM:610356
10	0.046612124890089035	OMIM:613843	OMIM:613843
11	0.047000132501125336	OMIM:613660	OMIM:613660
12	0.047286201268434525	OMIM:611543	OMIM:611543
13	0.04838520660996437	OMIM:610478	OMIM:610478
14	0.04885762557387352	ORPHA:99000	ORPHA:99000
15	0.04896215721964836	OMIM:613093	OMIM:613093
16	0.04906401038169861	OMIM:303700	OMIM:303700
17	0.049496397376060486	OMIM:617433	OMIM:617433
18	0.04970444738864899	OMIM:300476	OMIM:300476
19	0.05186682939529419	ORPHA:88629	ORPHA:88629
20	0.05260145291686058	OMIM:620344	OMIM:620344
21	0.052964989095926285	OMIM:113750	OMIM:113750
22	0.05298694968223572	OMIM:613341	OMIM:613341
23	0.05326724797487259	OMIM:300029	OMIM:300029
24	0.053343284875154495	OMIM:610282	OMIM:610282
25	0.05377635732293129	OMIM:615163	OMIM:615163
26	0.05400162562727928	ORPHA:16	ORPHA:16
27	0.054059844464063644	OMIM:613794	OMIM:613794
28	0.05422654747962952	OMIM:120970	OMIM:120970
29	0.054370567202568054	ORPHA:1000	ORPHA:1000
30	0.054461732506752014	OMIM:204100	OMIM:204100
31	0.055030226707458496	OMIM:613856	OMIM:613856
32	0.055403005331754684	OMIM:228980	OMIM:228980
33	0.05551597848534584	ORPHA:284454	ORPHA:284454
34	0.05556759983301163	ORPHA:566	ORPHA:566
35	0.05565519258379936	OMIM:607476	OMIM:607476
36	0.055722132325172424	ORPHA:75382	ORPHA:75382
37	0.056011371314525604	OMIM:605549	OMIM:605549
38	0.05608765780925751	ORPHA:178333	ORPHA:178333
39	0.05635998398065567	ORPHA:1243	ORPHA:1243
40	0.05644620209932327	OMIM:615233	OMIM:615233
41	0.05665536969900131	OMIM:602093	OMIM:602093
42	0.056688133627176285	OMIM:610427	OMIM:610427
43	0.05682244524359703	OMIM:619649	OMIM:619649
44	0.057186637073755264	OMIM:610283	OMIM:610283
45	0.057470496743917465	ORPHA:215	ORPHA:215
46	0.05782416835427284	OMIM:620342	OMIM:620342
47	0.05794767662882805	OMIM:616502	OMIM:616502
48	0.05795138329267502	OMIM:610024	OMIM:610024
49	0.05809308588504791	OMIM:601718	OMIM:601718
50	0.05837206169962883	OMIM:601777	OMIM:601777
51	0.058749970048666	OMIM:612989	OMIM:612989
52	0.058770809322595596	OMIM:614565	OMIM:614565
53	0.0589725486934185	OMIM:613464	OMIM:613464
54	0.05906454101204872	ORPHA:49382	ORPHA:49382
55	0.05914085730910301	OMIM:613983	OMIM:613983
56	0.0595155730843544	ORPHA:41751	ORPHA:41751
57	0.05953405052423477	OMIM:615973	OMIM:615973
58	0.05963006988167763	OMIM:203100	OMIM:203100
59	0.05980122089385986	OMIM:216900	OMIM:216900
60	0.05992712825536728	OMIM:604537	OMIM:604537
61	0.06021048501133919	ORPHA:411641	ORPHA:411641
62	0.06033467501401901	OMIM:600977	OMIM:600977
63	0.06034142151474953	OMIM:600852	OMIM:600852
64	0.06074829399585724	ORPHA:71213	ORPHA:71213
65	0.06087172403931618	OMIM:300071	OMIM:300071
66	0.06112605333328247	OMIM:262300	OMIM:262300
67	0.06125703826546669	OMIM:618977	OMIM:618977
68	0.061591986566782	OMIM:615058	OMIM:615058
69	0.06159432232379913	OMIM:608553	OMIM:608553
70	0.061695169657468796	OMIM:615780	OMIM:615780
71	0.06180379167199135	OMIM:300424	OMIM:300424
72	0.061864499002695084	OMIM:217080	OMIM:217080
73	0.06209490820765495	OMIM:614500	OMIM:614500
74	0.06217373162508011	ORPHA:1661	ORPHA:1661
75	0.06217801570892334	OMIM:616517	OMIM:616517
76	0.06244150921702385	OMIM:616544	OMIM:616544
77	0.06247112900018692	OMIM:616079	OMIM:616079
78	0.06248745322227478	OMIM:164100	OMIM:164100
79	0.0627414658665657	OMIM:615725	OMIM:615725
80	0.06277523934841156	ORPHA:231183	ORPHA:231183
81	0.06289729475975037	OMIM:613731	OMIM:613731
82	0.06303031742572784	ORPHA:52427	ORPHA:52427
83	0.06306754052639008	OMIM:613837	OMIM:613837
84	0.06337636709213257	OMIM:616732	OMIM:616732
85	0.06345570832490921	OMIM:617236	OMIM:617236
86	0.06349315494298935	OMIM:204000	OMIM:204000
87	0.06363435089588165	OMIM:600105	OMIM:600105
88	0.06383384764194489	OMIM:612657	OMIM:612657
89	0.06399669498205185	OMIM:614180	OMIM:614180
90	0.06412529945373535	OMIM:258500	OMIM:258500
91	0.06413034349679947	OMIM:180020	OMIM:180020
92	0.06433754414319992	ORPHA:370091	ORPHA:370091
93	0.06438876688480377	OMIM:615431	OMIM:615431
94	0.06454277783632278	OMIM:608161	OMIM:608161
95	0.06474891304969788	ORPHA:364055	ORPHA:364055
96	0.06485029309988022	OMIM:276902	OMIM:276902
97	0.0648612454533577	OMIM:619614	OMIM:619614
98	0.06493338942527771	OMIM:165500	OMIM:165500
99	0.0651150569319725	OMIM:616469	OMIM:616469
100	0.06549964100122452	OMIM:611131	OMIM:611131
101	0.0656093880534172	ORPHA:1574	ORPHA:1574
102	0.06620205193758011	OMIM:613750	OMIM:613750
103	0.0662621483206749	OMIM:613428	OMIM:613428
104	0.06650219112634659	OMIM:615179	OMIM:615179
105	0.06667692214250565	ORPHA:1873	ORPHA:1873
106	0.06713194400072098	OMIM:258870	OMIM:258870
107	0.06717030704021454	OMIM:613829	OMIM:613829
108	0.06719837337732315	OMIM:613826	OMIM:613826
109	0.06730654835700989	ORPHA:414	ORPHA:414
110	0.06731317937374115	ORPHA:791	ORPHA:791
111	0.06736122816801071	OMIM:300650	OMIM:300650
112	0.06737194955348969	OMIM:601414	OMIM:601414
113	0.0675654411315918	OMIM:602772	OMIM:602772
114	0.06768626719713211	OMIM:613756	OMIM:613756
115	0.06778810173273087	OMIM:616289	OMIM:616289
116	0.06812025606632233	OMIM:613758	OMIM:613758
117	0.068259097635746	OMIM:203200	OMIM:203200
118	0.06834392249584198	OMIM:153840	OMIM:153840
119	0.06842412799596786	OMIM:169150	OMIM:169150
120	0.06843983381986618	OMIM:614494	OMIM:614494
121	0.06868569552898407	OMIM:600132	OMIM:600132
122	0.06870880722999573	OMIM:609913	OMIM:609913
123	0.06873317062854767	OMIM:604393	OMIM:604393
124	0.06884265691041946	OMIM:619165	OMIM:619165
125	0.06899847090244293	ORPHA:85128	ORPHA:85128
126	0.06906232237815857	OMIM:204110	OMIM:204110
127	0.0691024586558342	OMIM:613801	OMIM:613801
128	0.0691567063331604	OMIM:617460	OMIM:617460
129	0.0695263147354126	OMIM:300578	OMIM:300578
130	0.06956853717565536	ORPHA:98957	ORPHA:98957
131	0.0696621984243393	ORPHA:280921	ORPHA:280921
132	0.06967009603977203	OMIM:613809	OMIM:613809
133	0.06992235034704208	OMIM:180100	OMIM:180100
134	0.07025735825300217	OMIM:618358	OMIM:618358
135	0.0702965259552002	OMIM:617024	OMIM:617024
136	0.07030037045478821	ORPHA:293381	ORPHA:293381
137	0.07033057510852814	OMIM:613194	OMIM:613194
138	0.07037615031003952	ORPHA:886	ORPHA:886
139	0.07040110975503922	ORPHA:75373	ORPHA:75373
140	0.07047754526138306	OMIM:615147	OMIM:615147
141	0.07050927728414536	ORPHA:67042	ORPHA:67042
142	0.0707598552107811	OMIM:613810	OMIM:613810
143	0.0708991214632988	OMIM:613862	OMIM:613862
144	0.07113084197044373	OMIM:312600	OMIM:312600
145	0.07136125862598419	OMIM:616170	OMIM:616170
146	0.07138161361217499	OMIM:617023	OMIM:617023
147	0.07144898176193237	OMIM:613216	OMIM:613216
148	0.07152659446001053	OMIM:617879	OMIM:617879
149	0.07176566123962402	OMIM:610359	OMIM:610359
150	0.07181432843208313	OMIM:210370	OMIM:210370
151	0.07193298637866974	ORPHA:2253	ORPHA:2253
152	0.07208849489688873	OMIM:618195	OMIM:618195
153	0.07209612429141998	OMIM:612095	OMIM:612095
154	0.07237723469734192	OMIM:613617	OMIM:613617
155	0.07240106910467148	ORPHA:75377	ORPHA:75377
156	0.07254619896411896	ORPHA:98977	ORPHA:98977
157	0.07254856824874878	OMIM:607921	OMIM:607921
158	0.07259667664766312	OMIM:616188	OMIM:616188
159	0.07261529564857483	OMIM:257270	OMIM:257270
160	0.07268291711807251	OMIM:606952	OMIM:606952
161	0.07277928292751312	OMIM:165550	OMIM:165550
162	0.07279229164123535	OMIM:611040	OMIM:611040
163	0.0728989690542221	OMIM:617547	OMIM:617547
164	0.073007732629776	OMIM:600138	OMIM:600138
165	0.07301672548055649	ORPHA:352731	ORPHA:352731
166	0.07331279665231705	OMIM:608380	OMIM:608380
167	0.07357686758041382	ORPHA:2086	ORPHA:2086
168	0.07360388338565826	OMIM:614504	OMIM:614504
169	0.07376249134540558	OMIM:125250	OMIM:125250
170	0.07377494126558304	ORPHA:171844	ORPHA:171844
171	0.07391616702079773	ORPHA:98973	ORPHA:98973
172	0.07391709834337234	OMIM:614181	OMIM:614181
173	0.07410545647144318	OMIM:608850	OMIM:608850
174	0.07417108118534088	OMIM:613581	OMIM:613581
175	0.07432451099157333	ORPHA:231178	ORPHA:231178
176	0.07441255450248718	OMIM:615922	OMIM:615922
177	0.07459103316068649	ORPHA:231169	ORPHA:231169
178	0.07461047917604446	ORPHA:440727	ORPHA:440727
179	0.0748419240117073	OMIM:604232	OMIM:604232
180	0.0748753547668457	OMIM:180105	OMIM:180105
181	0.07493816316127777	ORPHA:263479	ORPHA:263479
182	0.07532088458538055	OMIM:300500	OMIM:300500
