rank	score	disease_name	disease_identifier
1	0.026898160576820374	ORPHA:391417	ORPHA:391417
2	0.026928039267659187	ORPHA:79101	ORPHA:79101
3	0.026946933940052986	ORPHA:468620	ORPHA:468620
4	0.027309415861964226	DECIPHER:45	DECIPHER:45
5	0.027874454855918884	ORPHA:163681	ORPHA:163681
6	0.027936939150094986	OMIM:618103	OMIM:618103
7	0.02821556106209755	ORPHA:927	ORPHA:927
8	0.028300277888774872	OMIM:301107	OMIM:301107
9	0.028515517711639404	ORPHA:941	ORPHA:941
10	0.0286448635160923	OMIM:500007	OMIM:500007
11	0.029138702899217606	OMIM:617162	OMIM:617162
12	0.029339971020817757	OMIM:619927	OMIM:619927
13	0.029448600485920906	OMIM:620242	OMIM:620242
14	0.0294747706502676	ORPHA:79254	ORPHA:79254
15	0.029498465359210968	OMIM:610042	OMIM:610042
16	0.02952011674642563	OMIM:617132	OMIM:617132
17	0.029814215376973152	OMIM:617393	OMIM:617393
18	0.03000233694911003	ORPHA:646	ORPHA:646
19	0.030047746375203133	ORPHA:79239	ORPHA:79239
20	0.030213722959160805	OMIM:271980	OMIM:271980
21	0.030241403728723526	ORPHA:500180	ORPHA:500180
22	0.03046286851167679	OMIM:301008	OMIM:301008
23	0.030669022351503372	ORPHA:561854	ORPHA:561854
24	0.030743494629859924	OMIM:618906	OMIM:618906
25	0.030758166685700417	OMIM:618402	OMIM:618402
26	0.030866870656609535	OMIM:618718	OMIM:618718
27	0.030926045030355453	ORPHA:3095	ORPHA:3095
28	0.030988384038209915	ORPHA:208447	ORPHA:208447
29	0.031038662418723106	OMIM:617601	OMIM:617601
30	0.031072458252310753	OMIM:612736	OMIM:612736
31	0.031240766867995262	OMIM:613886	OMIM:613886
32	0.03127962723374367	ORPHA:67046	ORPHA:67046
33	0.031368009746074677	OMIM:619580	OMIM:619580
34	0.03137823939323425	OMIM:620114	OMIM:620114
35	0.031463805586099625	OMIM:617182	OMIM:617182
36	0.031557511538267136	ORPHA:314911	ORPHA:314911
37	0.03164876997470856	OMIM:620012	OMIM:620012
38	0.03169984370470047	OMIM:613668	OMIM:613668
39	0.03174533694982529	OMIM:617787	OMIM:617787
40	0.03175325319170952	OMIM:617799	OMIM:617799
41	0.03183621168136597	ORPHA:98794	ORPHA:98794
42	0.031889207661151886	OMIM:619970	OMIM:619970
43	0.031988900154829025	OMIM:619931	OMIM:619931
44	0.03205408900976181	ORPHA:289504	ORPHA:289504
45	0.03206678852438927	OMIM:617830	OMIM:617830
46	0.032179150730371475	OMIM:609056	OMIM:609056
47	0.0323333740234375	OMIM:300894	OMIM:300894
48	0.032371118664741516	OMIM:619922	OMIM:619922
49	0.03244601935148239	OMIM:617829	OMIM:617829
50	0.032504092901945114	OMIM:619239	OMIM:619239
51	0.032554540783166885	OMIM:615516	OMIM:615516
52	0.03256108984351158	OMIM:617600	OMIM:617600
53	0.032655056565999985	OMIM:618253	OMIM:618253
54	0.032675959169864655	OMIM:619031	OMIM:619031
55	0.03281271830201149	ORPHA:2203	ORPHA:2203
56	0.032908882945775986	OMIM:619229	OMIM:619229
57	0.03290912136435509	ORPHA:457351	ORPHA:457351
58	0.03294384852051735	OMIM:619908	OMIM:619908
59	0.03296201303601265	ORPHA:778	ORPHA:778
60	0.03298136964440346	OMIM:619150	OMIM:619150
61	0.03300997614860535	ORPHA:589821	ORPHA:589821
62	0.033029936254024506	OMIM:261640	OMIM:261640
63	0.03306303173303604	OMIM:620243	OMIM:620243
64	0.03308536857366562	ORPHA:72	ORPHA:72
65	0.03308765962719917	ORPHA:480864	ORPHA:480864
66	0.03309108689427376	OMIM:250950	OMIM:250950
67	0.03311222419142723	OMIM:239500	OMIM:239500
68	0.0331183522939682	OMIM:617820	OMIM:617820
69	0.0331445038318634	ORPHA:505216	ORPHA:505216
70	0.03317544609308243	OMIM:619561	OMIM:619561
71	0.03319334238767624	OMIM:616577	OMIM:616577
72	0.03322185203433037	ORPHA:442835	ORPHA:442835
73	0.03326236084103584	OMIM:616647	OMIM:616647
74	0.03333478793501854	OMIM:620270	OMIM:620270
75	0.033407796174287796	ORPHA:477673	ORPHA:477673
76	0.03345851972699165	ORPHA:391428	ORPHA:391428
77	0.03348954766988754	OMIM:620023	OMIM:620023
78	0.033544838428497314	OMIM:618235	OMIM:618235
79	0.03355136513710022	OMIM:616409	OMIM:616409
80	0.033675238490104675	OMIM:617171	OMIM:617171
81	0.03370654955506325	OMIM:616917	OMIM:616917
82	0.03376537561416626	ORPHA:79097	ORPHA:79097
83	0.033779893070459366	ORPHA:512	ORPHA:512
84	0.03381561115384102	ORPHA:263410	ORPHA:263410
85	0.03383457660675049	ORPHA:208441	ORPHA:208441
86	0.03383908420801163	OMIM:612621	OMIM:612621
87	0.03385345637798309	OMIM:619157	OMIM:619157
88	0.03385453671216965	OMIM:620145	OMIM:620145
89	0.03390379995107651	OMIM:617903	OMIM:617903
90	0.0339408703148365	OMIM:617599	OMIM:617599
91	0.03396763652563095	ORPHA:500545	ORPHA:500545
92	0.033998966217041016	OMIM:619147	OMIM:619147
93	0.03400305286049843	OMIM:301058	OMIM:301058
94	0.03402170538902283	OMIM:613161	OMIM:613161
95	0.03402234986424446	OMIM:620379	OMIM:620379
96	0.03404514119029045	ORPHA:2148	ORPHA:2148
97	0.034109584987163544	OMIM:618158	OMIM:618158
98	0.03413046523928642	ORPHA:488613	ORPHA:488613
99	0.03414403647184372	OMIM:301835	OMIM:301835
100	0.03417298570275307	OMIM:608782	OMIM:608782
101	0.034195978194475174	OMIM:613454	OMIM:613454
102	0.03424261510372162	ORPHA:466934	ORPHA:466934
103	0.03428158164024353	OMIM:301094	OMIM:301094
104	0.03431303799152374	ORPHA:477774	ORPHA:477774
105	0.034344639629125595	OMIM:617698	OMIM:617698
106	0.034363921731710434	OMIM:617954	OMIM:617954
107	0.034395329654216766	ORPHA:52503	ORPHA:52503
108	0.03440000116825104	ORPHA:1947	ORPHA:1947
109	0.03442240133881569	OMIM:617270	OMIM:617270
110	0.03444294258952141	OMIM:612073	OMIM:612073
111	0.034488942474126816	OMIM:237300	OMIM:237300
112	0.03450511023402214	ORPHA:221074	ORPHA:221074
113	0.03451475128531456	OMIM:618721	OMIM:618721
114	0.034540679305791855	OMIM:616683	OMIM:616683
115	0.03456752374768257	ORPHA:500055	ORPHA:500055
116	0.03459426015615463	OMIM:616521	OMIM:616521
117	0.03459853678941727	ORPHA:330015	ORPHA:330015
118	0.0346059687435627	ORPHA:26	ORPHA:26
119	0.03460891172289848	OMIM:617938	OMIM:617938
120	0.034616079181432724	OMIM:606777	OMIM:606777
121	0.034621596336364746	OMIM:620166	OMIM:620166
122	0.03466683253645897	ORPHA:91131	ORPHA:91131
123	0.0347677581012249	OMIM:617339	OMIM:617339
124	0.03477027267217636	OMIM:618321	OMIM:618321
125	0.03482816368341446	ORPHA:485350	ORPHA:485350
126	0.03483119234442711	ORPHA:209370	ORPHA:209370
127	0.03486696258187294	OMIM:238970	OMIM:238970
128	0.03487584367394447	ORPHA:261222	ORPHA:261222
129	0.03492215275764465	OMIM:234500	OMIM:234500
130	0.0349297896027565	OMIM:619651	OMIM:619651
131	0.03503865748643875	OMIM:612718	OMIM:612718
132	0.03507151082158089	OMIM:617873	OMIM:617873
133	0.03507956489920616	OMIM:619971	OMIM:619971
134	0.0352080762386322	OMIM:612951	OMIM:612951
135	0.03521714359521866	ORPHA:225147	ORPHA:225147
136	0.03522150591015816	ORPHA:247525	ORPHA:247525
137	0.03522299975156784	OMIM:210200	OMIM:210200
138	0.0352361723780632	OMIM:300438	OMIM:300438
139	0.0352507159113884	OMIM:312080	OMIM:312080
140	0.0352628231048584	OMIM:618331	OMIM:618331
141	0.03530885651707649	OMIM:619428	OMIM:619428
142	0.035311248153448105	OMIM:620094	OMIM:620094
143	0.0353819914162159	OMIM:618241	OMIM:618241
144	0.03539267182350159	ORPHA:439218	ORPHA:439218
145	0.035435643047094345	OMIM:617864	OMIM:617864
146	0.03545558825135231	OMIM:618426	OMIM:618426
147	0.035481907427310944	OMIM:300055	OMIM:300055
148	0.03550367057323456	OMIM:614739	OMIM:614739
149	0.035506147891283035	ORPHA:449291	ORPHA:449291
