rank	score	disease_name	disease_identifier
1	0.19576174020767212	ORPHA:1429	ORPHA:1429
2	0.1976211667060852	ORPHA:211017	ORPHA:211017
3	0.19997859001159668	ORPHA:98766	ORPHA:98766
4	0.20076143741607666	ORPHA:139480	ORPHA:139480
5	0.20150649547576904	OMIM:159580	OMIM:159580
6	0.20152169466018677	ORPHA:101108	ORPHA:101108
7	0.2021457552909851	OMIM:602197	OMIM:602197
8	0.20226550102233887	OMIM:302600	OMIM:302600
9	0.20296335220336914	ORPHA:101010	ORPHA:101010
10	0.20342600345611572	ORPHA:458798	ORPHA:458798
