rank	score	disease_name	disease_identifier
1	0.03143484145402908	OMIM:616471	OMIM:616471
2	0.032294753938913345	ORPHA:300179	ORPHA:300179
3	0.032778624445199966	ORPHA:536516	ORPHA:536516
4	0.03284139931201935	OMIM:617821	OMIM:617821
5	0.03341159597039223	ORPHA:486815	ORPHA:486815
6	0.0355110689997673	ORPHA:75840	ORPHA:75840
7	0.03585530072450638	OMIM:618484	OMIM:618484
8	0.03586389124393463	ORPHA:230839	ORPHA:230839
9	0.03598535805940628	ORPHA:157973	ORPHA:157973
10	0.036176420748233795	OMIM:254090	OMIM:254090
11	0.03682573512196541	OMIM:617066	OMIM:617066
12	0.037091851234436035	OMIM:130060	OMIM:130060
13	0.03717483952641487	ORPHA:97244	ORPHA:97244
14	0.0372292585670948	ORPHA:171439	ORPHA:171439
15	0.03825809061527252	OMIM:610687	OMIM:610687
16	0.038495033979415894	OMIM:606612	OMIM:606612
17	0.038500502705574036	OMIM:618323	OMIM:618323
18	0.03867887333035469	ORPHA:598	ORPHA:598
19	0.03875565528869629	OMIM:619042	OMIM:619042
20	0.03949612006545067	OMIM:617114	OMIM:617114
21	0.039790719747543335	OMIM:620249	OMIM:620249
22	0.039890848100185394	OMIM:602771	OMIM:602771
23	0.03996337577700615	ORPHA:1900	ORPHA:1900
24	0.04001094773411751	OMIM:617258	OMIM:617258
25	0.04003993421792984	OMIM:615349	OMIM:615349
26	0.04014255106449127	OMIM:617760	OMIM:617760
27	0.04035481810569763	OMIM:161800	OMIM:161800
28	0.04037581756711006	OMIM:616507	OMIM:616507
29	0.0404982827603817	ORPHA:171436	ORPHA:171436
30	0.04052450880408287	ORPHA:99735	ORPHA:99735
31	0.04055049642920494	OMIM:255320	OMIM:255320
32	0.04065871611237526	ORPHA:98905	ORPHA:98905
33	0.04115266725420952	OMIM:609285	OMIM:609285
34	0.04116258770227432	OMIM:613156	OMIM:613156
35	0.04127670079469681	ORPHA:3206	ORPHA:3206
36	0.04130652919411659	ORPHA:2020	ORPHA:2020
37	0.04144824668765068	ORPHA:353327	ORPHA:353327
38	0.041507039219141006	OMIM:256030	OMIM:256030
39	0.04173264279961586	ORPHA:536545	ORPHA:536545
40	0.04183058813214302	OMIM:620351	OMIM:620351
41	0.04183216765522957	OMIM:617013	OMIM:617013
42	0.041869718581438065	ORPHA:86812	ORPHA:86812
43	0.041872117668390274	OMIM:618065	OMIM:618065
44	0.0419994555413723	OMIM:620161	OMIM:620161
45	0.04201015457510948	OMIM:614557	OMIM:614557
46	0.042208608239889145	ORPHA:1899	ORPHA:1899
47	0.04230719804763794	OMIM:255200	OMIM:255200
48	0.042318541556596756	ORPHA:1145	ORPHA:1145
49	0.04234963655471802	ORPHA:171881	ORPHA:171881
50	0.042382776737213135	ORPHA:610	ORPHA:610
51	0.04245488718152046	OMIM:620389	OMIM:620389
52	0.04249542951583862	ORPHA:98863	ORPHA:98863
53	0.042522232979536057	OMIM:614898	OMIM:614898
54	0.04266194999217987	OMIM:225400	OMIM:225400
55	0.04268987849354744	ORPHA:87876	ORPHA:87876
56	0.04278337582945824	ORPHA:370968	ORPHA:370968
57	0.04281717538833618	ORPHA:171430	ORPHA:171430
58	0.04305225983262062	ORPHA:597	ORPHA:597
59	0.04306674003601074	OMIM:608840	OMIM:608840
60	0.04307036101818085	OMIM:613327	OMIM:613327
61	0.04312148690223694	OMIM:618414	OMIM:618414
62	0.04324425384402275	ORPHA:324604	ORPHA:324604
63	0.043344348669052124	ORPHA:98855	ORPHA:98855
64	0.04339776933193207	ORPHA:565	ORPHA:565
65	0.04352828860282898	OMIM:616852	OMIM:616852
66	0.04354296624660492	OMIM:616228	OMIM:616228
67	0.04356928542256355	ORPHA:3101	ORPHA:3101
68	0.04359423369169235	OMIM:611588	OMIM:611588
69	0.04369174689054489	ORPHA:261	ORPHA:261
69	0.04369174689054489	ORPHA:98853	ORPHA:98853
71	0.043695177882909775	OMIM:609308	OMIM:609308
72	0.04370058327913284	ORPHA:171433	ORPHA:171433
73	0.04372674599289894	OMIM:310200	OMIM:310200
74	0.04373092204332352	ORPHA:169189	ORPHA:169189
75	0.04374328628182411	OMIM:617146	OMIM:617146
76	0.043800510466098785	ORPHA:1901	ORPHA:1901
77	0.043834388256073	ORPHA:254361	ORPHA:254361
78	0.04383810982108116	ORPHA:369840	ORPHA:369840
79	0.043838582932949066	ORPHA:59	ORPHA:59
80	0.04384802654385567	OMIM:620386	OMIM:620386
81	0.0439131036400795	OMIM:610717	OMIM:610717
82	0.0439811535179615	OMIM:619461	OMIM:619461
83	0.044057901948690414	OMIM:271225	OMIM:271225
84	0.04407158121466637	ORPHA:643	ORPHA:643
85	0.04413264989852905	ORPHA:2078	ORPHA:2078
86	0.04413335397839546	ORPHA:1143	ORPHA:1143
87	0.044162120670080185	ORPHA:502423	ORPHA:502423
88	0.04417545720934868	ORPHA:300605	ORPHA:300605
89	0.04419563338160515	ORPHA:37612	ORPHA:37612
90	0.04422927647829056	OMIM:205100	OMIM:205100
91	0.044270116835832596	OMIM:616313	OMIM:616313
92	0.04441605880856514	ORPHA:101000	ORPHA:101000
93	0.04447184503078461	ORPHA:75496	ORPHA:75496
94	0.04447757452726364	OMIM:608931	OMIM:608931
95	0.044513776898384094	OMIM:300696	OMIM:300696
96	0.04468775540590286	ORPHA:258	ORPHA:258
97	0.044697098433971405	ORPHA:401805	ORPHA:401805
98	0.04470059275627136	OMIM:615356	OMIM:615356
99	0.04470658302307129	OMIM:620285	OMIM:620285
100	0.04487309232354164	ORPHA:354	ORPHA:354
101	0.04487813264131546	OMIM:130020	OMIM:130020
102	0.04488059878349304	OMIM:619574	OMIM:619574
103	0.04497334361076355	ORPHA:98915	ORPHA:98915
104	0.044988274574279785	OMIM:255600	OMIM:255600
105	0.04507005214691162	OMIM:607155	OMIM:607155
106	0.045113496482372284	OMIM:301830	OMIM:301830
107	0.04515547305345535	OMIM:268800	OMIM:268800
108	0.04515572264790535	ORPHA:559	ORPHA:559
109	0.04521596059203148	OMIM:128100	OMIM:128100
110	0.04530720412731171	OMIM:607855	OMIM:607855
111	0.04534265398979187	OMIM:117000	OMIM:117000
112	0.045402996242046356	ORPHA:85285	ORPHA:85285
113	0.04542403295636177	OMIM:603034	OMIM:603034
114	0.04542745649814606	OMIM:618578	OMIM:618578
115	0.04546796530485153	OMIM:619115	OMIM:619115
116	0.04557480290532112	ORPHA:370980	ORPHA:370980
117	0.045591458678245544	OMIM:615673	OMIM:615673
118	0.04561981186270714	OMIM:300055	OMIM:300055
