rank	score	disease_name	disease_identifier
1	0.20636045932769775	OMIM:300082	OMIM:300082
1	0.20636045932769775	OMIM:158280	OMIM:158280
3	0.20911318063735962	OMIM:208158	OMIM:208158
4	0.21074330806732178	OMIM:139630	OMIM:139630
5	0.21272456645965576	OMIM:159580	OMIM:159580
6	0.2133297324180603	OMIM:425500	OMIM:425500
7	0.21419960260391235	ORPHA:401780	ORPHA:401780
8	0.21464765071868896	ORPHA:2040	ORPHA:2040
9	0.21548110246658325	ORPHA:63273	ORPHA:63273
10	0.21607035398483276	ORPHA:363454	ORPHA:363454
