rank	score	disease_name	disease_identifier
1	0.009639996103942394	OMIM:617694	OMIM:617694
2	0.009656284935772419	OMIM:613458	OMIM:613458
3	0.009855478070676327	OMIM:618332	OMIM:618332
4	0.009929428808391094	OMIM:619720	OMIM:619720
5	0.009940840303897858	OMIM:601088	OMIM:601088
6	0.009953231550753117	OMIM:148050	OMIM:148050
7	0.00997920148074627	OMIM:620098	OMIM:620098
8	0.01007753424346447	OMIM:300895	OMIM:300895
9	0.010178214870393276	OMIM:613776	OMIM:613776
10	0.010447537526488304	ORPHA:363659	ORPHA:363659
11	0.01062066201120615	ORPHA:397941	ORPHA:397941
12	0.010628687217831612	OMIM:614202	OMIM:614202
13	0.010808102786540985	OMIM:604314	OMIM:604314
14	0.010897119529545307	OMIM:619087	OMIM:619087
15	0.010908940806984901	ORPHA:261337	ORPHA:261337
16	0.010945186950266361	OMIM:619325	OMIM:619325
17	0.011000974103808403	OMIM:619312	OMIM:619312
18	0.011015057563781738	OMIM:615761	OMIM:615761
19	0.01106974110007286	ORPHA:3063	ORPHA:3063
20	0.011071101762354374	OMIM:619194	OMIM:619194
21	0.011101619340479374	OMIM:615834	OMIM:615834
22	0.011118710972368717	OMIM:617752	OMIM:617752
23	0.011152609251439571	OMIM:309583	OMIM:309583
24	0.011211887933313847	OMIM:616734	OMIM:616734
25	0.011269211769104004	OMIM:303600	OMIM:303600
26	0.011319351382553577	ORPHA:562528	ORPHA:562528
27	0.011453899554908276	ORPHA:261349	ORPHA:261349
28	0.011455565690994263	OMIM:617360	OMIM:617360
29	0.011565770953893661	OMIM:613604	OMIM:613604
30	0.011567551642656326	OMIM:619950	OMIM:619950
31	0.011588722467422485	OMIM:608156	OMIM:608156
32	0.011600985191762447	OMIM:615485	OMIM:615485
33	0.011605873703956604	OMIM:227330	OMIM:227330
34	0.011612201109528542	OMIM:619293	OMIM:619293
35	0.011622030287981033	OMIM:613792	OMIM:613792
36	0.01168789528310299	ORPHA:289522	ORPHA:289522
37	0.011793454177677631	OMIM:612474	OMIM:612474
38	0.011801126413047314	OMIM:605130	OMIM:605130
39	0.011824761517345905	OMIM:309590	OMIM:309590
40	0.01185072585940361	ORPHA:2332	ORPHA:2332
41	0.011873437091708183	ORPHA:487825	ORPHA:487825
42	0.011918259784579277	OMIM:618622	OMIM:618622
43	0.011957726441323757	OMIM:617061	OMIM:617061
44	0.01207693014293909	OMIM:211380	OMIM:211380
45	0.012089387513697147	OMIM:612513	OMIM:612513
46	0.012107128277420998	OMIM:309500	OMIM:309500
47	0.012107539921998978	ORPHA:2995	ORPHA:2995
48	0.012135599739849567	OMIM:602342	OMIM:602342
49	0.012181435711681843	OMIM:618828	OMIM:618828
50	0.012202078476548195	OMIM:618027	OMIM:618027
51	0.012249357998371124	OMIM:244450	OMIM:244450
52	0.01230055931955576	OMIM:613563	OMIM:613563
53	0.012303662486374378	ORPHA:480907	ORPHA:480907
54	0.012305134907364845	ORPHA:369891	ORPHA:369891
55	0.012343864887952805	OMIM:619383	OMIM:619383
56	0.012367135845124722	OMIM:610759	OMIM:610759
57	0.012370046228170395	OMIM:309580	OMIM:309580
58	0.012475267052650452	OMIM:619745	OMIM:619745
59	0.012478496879339218	OMIM:613174	OMIM:613174
60	0.012503307312726974	ORPHA:247262	ORPHA:247262
61	0.01254312414675951	ORPHA:1327	ORPHA:1327
62	0.012552540749311447	OMIM:609625	OMIM:609625
63	0.012581315822899342	OMIM:156200	OMIM:156200
64	0.012620104476809502	ORPHA:261290	ORPHA:261290
65	0.012638358399271965	OMIM:619451	OMIM:619451
