rank	score	disease_name	disease_identifier
1	0.033403124660253525	OMIM:148820	OMIM:148820
2	0.03735479339957237	ORPHA:896	ORPHA:896
3	0.04005313664674759	OMIM:619539	OMIM:619539
4	0.04038317874073982	OMIM:618175	OMIM:618175
5	0.040643081068992615	ORPHA:233	ORPHA:233
6	0.04082002490758896	OMIM:193500	OMIM:193500
7	0.04165717214345932	ORPHA:1252	ORPHA:1252
8	0.04202517122030258	OMIM:108145	OMIM:108145
9	0.04206208884716034	ORPHA:1154	ORPHA:1154
10	0.04245242476463318	OMIM:605130	OMIM:605130
11	0.042762186378240585	OMIM:300244	OMIM:300244
12	0.04287922754883766	OMIM:193510	OMIM:193510
13	0.04396530240774155	OMIM:614800	OMIM:614800
14	0.04446999356150627	ORPHA:894	ORPHA:894
15	0.0445743054151535	ORPHA:2884	ORPHA:2884
16	0.04458141699433327	ORPHA:91411	ORPHA:91411
17	0.04460734874010086	ORPHA:1390	ORPHA:1390
18	0.044642671942710876	ORPHA:485405	ORPHA:485405
19	0.04483720660209656	OMIM:611584	OMIM:611584
20	0.04489529877901077	ORPHA:570	ORPHA:570
21	0.04512225463986397	OMIM:210745	OMIM:210745
22	0.04517187923192978	OMIM:181270	OMIM:181270
23	0.0452418252825737	OMIM:193700	OMIM:193700
24	0.04547650367021561	ORPHA:3132	ORPHA:3132
25	0.04560517147183418	ORPHA:477993	ORPHA:477993
26	0.045737482607364655	OMIM:277720	OMIM:277720
27	0.04590769112110138	ORPHA:3051	ORPHA:3051
28	0.04599142074584961	OMIM:164200	OMIM:164200
29	0.04600100219249725	OMIM:614230	OMIM:614230
30	0.046259310096502304	ORPHA:2707	ORPHA:2707
31	0.046333108097314835	OMIM:601110	OMIM:601110
32	0.04646674543619156	OMIM:619426	OMIM:619426
33	0.04653734713792801	OMIM:200110	OMIM:200110
34	0.046549949795007706	ORPHA:284160	ORPHA:284160
35	0.04660402610898018	OMIM:620370	OMIM:620370
36	0.04660668969154358	ORPHA:313781	ORPHA:313781
37	0.04663702845573425	OMIM:615722	OMIM:615722
38	0.04670906066894531	OMIM:615539	OMIM:615539
39	0.046738166362047195	ORPHA:88630	ORPHA:88630
40	0.04685584828257561	OMIM:613776	OMIM:613776
41	0.046914394944906235	OMIM:614438	OMIM:614438
42	0.046960584819316864	ORPHA:783	ORPHA:783
43	0.04697965830564499	OMIM:606242	OMIM:606242
44	0.047031328082084656	ORPHA:1340	ORPHA:1340
45	0.047044895589351654	OMIM:280000	OMIM:280000
46	0.04718170315027237	OMIM:229200	OMIM:229200
47	0.047185856848955154	OMIM:620075	OMIM:620075
48	0.047194235026836395	OMIM:618950	OMIM:618950
49	0.04720681926133847	OMIM:620310	OMIM:620310
50	0.04723149165511131	ORPHA:3103	ORPHA:3103
51	0.04727424681186676	OMIM:619087	OMIM:619087
52	0.047333136200904846	ORPHA:487796	ORPHA:487796
53	0.04736664891242981	OMIM:263650	OMIM:263650
54	0.047397736459970474	OMIM:617991	OMIM:617991
55	0.047452736645936966	ORPHA:193	ORPHA:193
56	0.04745783284306526	ORPHA:2710	ORPHA:2710
57	0.0475010946393013	OMIM:617523	OMIM:617523
58	0.04750325158238411	OMIM:616728	OMIM:616728
59	0.04751019924879074	ORPHA:3214	ORPHA:3214
60	0.0475158654153347	OMIM:268300	OMIM:268300
61	0.04758651182055473	OMIM:601358	OMIM:601358
62	0.047609809786081314	OMIM:619293	OMIM:619293
63	0.047627419233322144	OMIM:609460	OMIM:609460
64	0.047637246549129486	OMIM:149730	OMIM:149730
65	0.04769507423043251	OMIM:618659	OMIM:618659
66	0.0477093905210495	OMIM:618332	OMIM:618332
67	0.04774206504225731	OMIM:611929	OMIM:611929
68	0.04779602959752083	OMIM:268400	OMIM:268400
69	0.04779857024550438	ORPHA:464738	ORPHA:464738
70	0.04783914238214493	OMIM:617360	OMIM:617360
71	0.0478416308760643	OMIM:277580	OMIM:277580
72	0.04784788191318512	OMIM:619950	OMIM:619950
73	0.0478590726852417	ORPHA:261323	ORPHA:261323
74	0.04786745458841324	ORPHA:1581	ORPHA:1581
75	0.04798435792326927	ORPHA:1784	ORPHA:1784
76	0.04800895228981972	OMIM:300867	OMIM:300867
77	0.04801875725388527	ORPHA:589905	ORPHA:589905
78	0.048090364784002304	OMIM:616734	OMIM:616734
79	0.048150621354579926	OMIM:615236	OMIM:615236
80	0.048165805637836456	ORPHA:251014	ORPHA:251014
81	0.04819152131676674	OMIM:301069	OMIM:301069
82	0.04819309338927269	ORPHA:33364	ORPHA:33364
83	0.04819741100072861	OMIM:615280	OMIM:615280
84	0.04821273684501648	OMIM:257920	OMIM:257920
85	0.0482148751616478	OMIM:613406	OMIM:613406
86	0.04821806401014328	OMIM:620191	OMIM:620191
87	0.04822106659412384	OMIM:618343	OMIM:618343
88	0.04831017181277275	ORPHA:363686	ORPHA:363686
89	0.048312220722436905	OMIM:136760	OMIM:136760
90	0.04835393279790878	OMIM:619194	OMIM:619194
91	0.04837764799594879	OMIM:617763	OMIM:617763
92	0.04844462126493454	OMIM:618505	OMIM:618505
93	0.048468198627233505	ORPHA:2526	ORPHA:2526
94	0.048480335623025894	OMIM:616737	OMIM:616737
95	0.04852668195962906	ORPHA:436245	ORPHA:436245
96	0.048556506633758545	OMIM:300166	OMIM:300166
97	0.048571910709142685	OMIM:223370	OMIM:223370
98	0.04857955873012543	OMIM:162100	OMIM:162100
99	0.04863671585917473	ORPHA:280633	ORPHA:280633
100	0.04866620898246765	OMIM:619880	OMIM:619880
101	0.04867132008075714	ORPHA:1826	ORPHA:1826
102	0.04867256432771683	OMIM:617804	OMIM:617804
103	0.04867532476782799	OMIM:619694	OMIM:619694
104	0.048706378787755966	ORPHA:3080	ORPHA:3080
105	0.04871504008769989	OMIM:264090	OMIM:264090
106	0.04872055724263191	ORPHA:235	ORPHA:235
107	0.048797883093357086	OMIM:601701	OMIM:601701
108	0.048834770917892456	OMIM:617557	OMIM:617557
109	0.048850927501916885	ORPHA:96123	ORPHA:96123
110	0.04891668260097504	OMIM:620072	OMIM:620072
111	0.048916738480329514	OMIM:619339	OMIM:619339
112	0.0489225834608078	OMIM:608156	OMIM:608156
113	0.048937831073999405	OMIM:619691	OMIM:619691
114	0.04894047975540161	ORPHA:3236	ORPHA:3236
115	0.04894912987947464	OMIM:618333	OMIM:618333
116	0.04897415265440941	OMIM:214110	OMIM:214110
117	0.04897983744740486	OMIM:601552	OMIM:601552
118	0.04903312399983406	OMIM:301066	OMIM:301066
119	0.049035169184207916	OMIM:605039	OMIM:605039
120	0.049040477722883224	ORPHA:3041	ORPHA:3041
121	0.0490591786801815	OMIM:618828	OMIM:618828
122	0.04906054958701134	OMIM:266280	OMIM:266280
123	0.04906320944428444	OMIM:601559	OMIM:601559
124	0.04912153631448746	OMIM:148210	OMIM:148210
125	0.04916322976350784	OMIM:618156	OMIM:618156
126	0.049174707382917404	OMIM:300337	OMIM:300337
127	0.04917653650045395	OMIM:615877	OMIM:615877
128	0.049244474619627	OMIM:617412	OMIM:617412
129	0.049315258860588074	ORPHA:369950	ORPHA:369950
130	0.04935512691736221	OMIM:230740	OMIM:230740
131	0.049391649663448334	OMIM:206920	OMIM:206920
132	0.04939230531454086	OMIM:614378	OMIM:614378
133	0.0494062565267086	OMIM:260660	OMIM:260660
134	0.04942839965224266	OMIM:618821	OMIM:618821
135	0.049442630261182785	ORPHA:3107	ORPHA:3107
136	0.04950869828462601	OMIM:611174	OMIM:611174
137	0.049534235149621964	OMIM:618580	OMIM:618580
138	0.04960155859589577	OMIM:619314	OMIM:619314
139	0.04961378499865532	ORPHA:464	ORPHA:464
140	0.04962558299303055	ORPHA:280384	ORPHA:280384
141	0.04963593930006027	OMIM:618186	OMIM:618186
142	0.04964634031057358	OMIM:616351	OMIM:616351
143	0.0497165247797966	ORPHA:2377	ORPHA:2377
144	0.04974444955587387	OMIM:300960	OMIM:300960
145	0.049745820462703705	ORPHA:178303	ORPHA:178303
146	0.04979817569255829	OMIM:618608	OMIM:618608
147	0.0498092956840992	OMIM:619503	OMIM:619503
148	0.049823299050331116	OMIM:615873	OMIM:615873
149	0.0498306043446064	OMIM:612474	OMIM:612474
150	0.04983101412653923	ORPHA:96201	ORPHA:96201
151	0.04985875263810158	OMIM:151200	OMIM:151200
152	0.04987470433115959	OMIM:619841	OMIM:619841
153	0.04989946633577347	ORPHA:324313	ORPHA:324313
154	0.04990946128964424	OMIM:616788	OMIM:616788
155	0.04991210624575615	ORPHA:2804	ORPHA:2804
156	0.04991283267736435	OMIM:157900	OMIM:157900
157	0.04996712505817413	OMIM:208150	OMIM:208150
158	0.049967557191848755	OMIM:266920	OMIM:266920
159	0.04998256638646126	ORPHA:2215	ORPHA:2215
160	0.04998767003417015	ORPHA:1807	ORPHA:1807
161	0.0499979704618454	OMIM:617137	OMIM:617137
162	0.05001422017812729	OMIM:277590	OMIM:277590
163	0.0500304214656353	OMIM:614976	OMIM:614976
164	0.05006275698542595	OMIM:244450	OMIM:244450
165	0.05007075518369675	OMIM:616503	OMIM:616503
166	0.050072431564331055	OMIM:218340	OMIM:218340
167	0.05007537454366684	ORPHA:221120	ORPHA:221120
168	0.050078511238098145	OMIM:613266	OMIM:613266
169	0.05008745566010475	OMIM:113620	OMIM:113620
170	0.05010431632399559	OMIM:619110	OMIM:619110
171	0.05010771378874779	OMIM:617561	OMIM:617561
172	0.05011124536395073	OMIM:305600	OMIM:305600
173	0.050158098340034485	OMIM:610954	OMIM:610954
174	0.050172314047813416	OMIM:115150	OMIM:115150
175	0.050181612372398376	ORPHA:502434	ORPHA:502434
176	0.05021672695875168	OMIM:309800	OMIM:309800
177	0.05022541061043739	OMIM:309590	OMIM:309590
178	0.05023796856403351	OMIM:225410	OMIM:225410
179	0.050258342176675797	OMIM:265000	OMIM:265000
180	0.05027729645371437	OMIM:619383	OMIM:619383
181	0.050277624279260635	ORPHA:920	ORPHA:920
182	0.05028676241636276	ORPHA:352731	ORPHA:352731
183	0.05029469355940819	ORPHA:500095	ORPHA:500095
184	0.05031227692961693	ORPHA:2251	ORPHA:2251
185	0.05032815411686897	OMIM:618947	OMIM:618947
186	0.05033336207270622	OMIM:615834	OMIM:615834
187	0.05033748596906662	ORPHA:1449	ORPHA:1449
188	0.05036214366555214	ORPHA:481152	ORPHA:481152
189	0.05036374554038048	ORPHA:2273	ORPHA:2273
190	0.0503736287355423	OMIM:618569	OMIM:618569
191	0.050379134714603424	ORPHA:90354	ORPHA:90354
192	0.05038859322667122	OMIM:618381	OMIM:618381
193	0.050405897200107574	OMIM:619312	OMIM:619312
194	0.050412118434906006	OMIM:619376	OMIM:619376
195	0.050430119037628174	OMIM:619320	OMIM:619320
196	0.05043590068817139	ORPHA:1295	ORPHA:1295
197	0.050465505570173264	ORPHA:293843	ORPHA:293843
198	0.05048833042383194	ORPHA:2715	ORPHA:2715
199	0.05048932507634163	ORPHA:544488	ORPHA:544488
200	0.05048961192369461	OMIM:609944	OMIM:609944
201	0.05049031227827072	OMIM:618727	OMIM:618727
202	0.05052958428859711	OMIM:619980	OMIM:619980
203	0.050542257726192474	ORPHA:435638	ORPHA:435638
204	0.05056050419807434	OMIM:257850	OMIM:257850
205	0.05056919530034065	OMIM:606772	OMIM:606772
206	0.05057269707322121	OMIM:618419	OMIM:618419
207	0.0505855567753315	OMIM:301900	OMIM:301900
208	0.050601713359355927	OMIM:616268	OMIM:616268
209	0.05062130466103554	OMIM:220500	OMIM:220500
