rank	score	disease_name	disease_identifier
1	0.03263363614678383	OMIM:615751	OMIM:615751
2	0.035522349178791046	ORPHA:247598	ORPHA:247598
3	0.037602748721838	ORPHA:147	ORPHA:147
4	0.039694931358098984	ORPHA:23	ORPHA:23
5	0.04135606437921524	ORPHA:3124	ORPHA:3124
6	0.041367724537849426	OMIM:619355	OMIM:619355
7	0.04222290962934494	ORPHA:470	ORPHA:470
8	0.04439689218997955	OMIM:603471	OMIM:603471
9	0.045520298182964325	OMIM:605814	OMIM:605814
10	0.04575951769948006	OMIM:619386	OMIM:619386
11	0.047434937208890915	ORPHA:3008	ORPHA:3008
12	0.048386286944150925	OMIM:227810	OMIM:227810
13	0.04853268340229988	OMIM:618850	OMIM:618850
14	0.04890403524041176	ORPHA:664	ORPHA:664
15	0.048945408314466476	OMIM:239510	OMIM:239510
16	0.05004657804965973	OMIM:207900	OMIM:207900
17	0.05079429969191551	OMIM:246450	OMIM:246450
18	0.05103053152561188	ORPHA:411634	ORPHA:411634
19	0.05131354182958603	OMIM:616026	OMIM:616026
20	0.05175412446260452	OMIM:300539	OMIM:300539
21	0.05208520218729973	OMIM:235400	OMIM:235400
22	0.05278053134679794	OMIM:229600	OMIM:229600
23	0.05304976925253868	OMIM:267700	OMIM:267700
24	0.053133074194192886	OMIM:615160	OMIM:615160
25	0.05319320783019066	OMIM:230400	OMIM:230400
26	0.05324240028858185	OMIM:614034	OMIM:614034
27	0.05335819348692894	ORPHA:94086	ORPHA:94086
28	0.05367320403456688	ORPHA:99829	ORPHA:99829
29	0.054015904664993286	ORPHA:419	ORPHA:419
30	0.05405411496758461	OMIM:620358	OMIM:620358
31	0.05406181141734123	OMIM:612926	OMIM:612926
32	0.05455649271607399	OMIM:215700	OMIM:215700
33	0.05457646772265434	OMIM:268700	OMIM:268700
34	0.05464349687099457	ORPHA:79246	ORPHA:79246
35	0.054735828191041946	ORPHA:3337	ORPHA:3337
36	0.054987818002700806	ORPHA:2394	ORPHA:2394
37	0.05509728193283081	ORPHA:71212	ORPHA:71212
38	0.05550820752978325	OMIM:620085	OMIM:620085
39	0.055555932223796844	ORPHA:79096	ORPHA:79096
40	0.05574895441532135	OMIM:274150	OMIM:274150
41	0.05576331913471222	ORPHA:94093	ORPHA:94093
42	0.05580427497625351	OMIM:615158	OMIM:615158
43	0.05587061494588852	OMIM:251100	OMIM:251100
44	0.056016888469457626	ORPHA:228308	ORPHA:228308
45	0.05625274404883385	OMIM:616299	OMIM:616299
46	0.05645681172609329	OMIM:300555	OMIM:300555
47	0.056759681552648544	OMIM:603358	OMIM:603358
48	0.05685306340456009	OMIM:619003	OMIM:619003
49	0.05687614157795906	ORPHA:90038	ORPHA:90038
50	0.056925881654024124	OMIM:612924	OMIM:612924
51	0.05697360262274742	OMIM:612923	OMIM:612923
52	0.05714922025799751	ORPHA:447	ORPHA:447
53	0.05722958967089653	OMIM:255120	OMIM:255120
54	0.05726441368460655	ORPHA:6	ORPHA:6
55	0.057286325842142105	OMIM:613845	OMIM:613845
56	0.05741719901561737	OMIM:238750	OMIM:238750
57	0.05761701613664627	OMIM:232240	OMIM:232240
58	0.05763355270028114	ORPHA:158061	ORPHA:158061
59	0.05782649293541908	OMIM:232700	OMIM:232700
60	0.05784433335065842	OMIM:311250	OMIM:311250
61	0.05828964337706566	ORPHA:91547	ORPHA:91547
62	0.05831838771700859	ORPHA:411629	ORPHA:411629
63	0.05834495648741722	OMIM:613677	OMIM:613677
64	0.05842333287000656	ORPHA:159	ORPHA:159
65	0.05856397747993469	ORPHA:90041	ORPHA:90041
66	0.05865001678466797	ORPHA:2088	ORPHA:2088
67	0.05868842825293541	OMIM:277400	OMIM:277400
68	0.05879640951752663	ORPHA:99901	ORPHA:99901
69	0.058870527893304825	OMIM:248250	OMIM:248250
70	0.05887480452656746	OMIM:603553	OMIM:603553
71	0.058936845511198044	OMIM:617156	OMIM:617156
72	0.05913227051496506	OMIM:614736	OMIM:614736
73	0.059169527143239975	OMIM:601678	OMIM:601678
74	0.059222131967544556	OMIM:261680	OMIM:261680
75	0.05939040705561638	ORPHA:567548	ORPHA:567548
76	0.059603188186883926	OMIM:613070	OMIM:613070
77	0.0596202053129673	OMIM:612922	OMIM:612922
78	0.05972486361861229	OMIM:123550	OMIM:123550
79	0.05977844074368477	OMIM:610600	OMIM:610600
80	0.059844840317964554	ORPHA:2298	ORPHA:2298
81	0.059854552149772644	OMIM:189800	OMIM:189800
82	0.060073744505643845	OMIM:617872	OMIM:617872
83	0.060138266533613205	OMIM:277900	OMIM:277900
84	0.06016416847705841	ORPHA:699	ORPHA:699
85	0.06024199724197388	OMIM:276700	OMIM:276700
86	0.06043969467282295	OMIM:615605	OMIM:615605
87	0.06047778204083443	OMIM:251000	OMIM:251000
88	0.06077035143971443	ORPHA:42062	ORPHA:42062
89	0.060821838676929474	OMIM:134600	OMIM:134600
90	0.06092342361807823	OMIM:241200	OMIM:241200
91	0.06100747734308243	ORPHA:47159	ORPHA:47159
92	0.06133662536740303	OMIM:606054	OMIM:606054
93	0.06135673448443413	OMIM:613090	OMIM:613090
94	0.061365388333797455	ORPHA:263455	ORPHA:263455
95	0.06163523346185684	OMIM:620125	OMIM:620125
96	0.06172221526503563	OMIM:602522	OMIM:602522
97	0.06181512027978897	OMIM:620010	OMIM:620010
98	0.06201612576842308	ORPHA:3467	ORPHA:3467
99	0.062024060636758804	OMIM:614492	OMIM:614492
100	0.06213440001010895	ORPHA:26791	ORPHA:26791
101	0.06219859793782234	ORPHA:35	ORPHA:35
102	0.06222578138113022	ORPHA:90790	ORPHA:90790
103	0.06239676475524902	OMIM:231680	OMIM:231680
104	0.062460191547870636	OMIM:615453	OMIM:615453
105	0.06261437386274338	OMIM:620126	OMIM:620126
106	0.06262588500976562	OMIM:618183	OMIM:618183
107	0.06262761354446411	ORPHA:542323	ORPHA:542323
108	0.0627497062087059	OMIM:273770	OMIM:273770
109	0.06281555444002151	ORPHA:134	ORPHA:134
110	0.0628429427742958	ORPHA:348	ORPHA:348
111	0.06286339461803436	OMIM:618886	OMIM:618886
112	0.06286689639091492	ORPHA:20	ORPHA:20
113	0.06314019113779068	ORPHA:275555	ORPHA:275555
114	0.0631708949804306	ORPHA:320	ORPHA:320
115	0.06318148970603943	OMIM:607364	OMIM:607364
116	0.06320464611053467	OMIM:619048	OMIM:619048
117	0.06322934478521347	ORPHA:54057	ORPHA:54057
118	0.0632944256067276	ORPHA:95409	ORPHA:95409
119	0.06330254673957825	OMIM:237300	OMIM:237300
120	0.06338179111480713	ORPHA:469	ORPHA:469
121	0.06363341957330704	OMIM:251110	OMIM:251110
122	0.06369536507618268	OMIM:620300	OMIM:620300
123	0.06385301798582077	OMIM:619991	OMIM:619991
124	0.06390735507011414	OMIM:618528	OMIM:618528
125	0.06396651268005371	OMIM:210210	OMIM:210210
126	0.06415228545665741	ORPHA:99826	ORPHA:99826
127	0.0643182322382927	ORPHA:275761	ORPHA:275761
128	0.0643271654844284	ORPHA:29073	ORPHA:29073
129	0.06442458182573318	OMIM:246900	OMIM:246900
130	0.0645332783460617	OMIM:300971	OMIM:300971
131	0.06454998254776001	OMIM:252150	OMIM:252150
132	0.064565509557724	ORPHA:540	ORPHA:540
133	0.06456568092107773	OMIM:248600	OMIM:248600
134	0.06458544731140137	OMIM:124000	OMIM:124000
135	0.06461353600025177	ORPHA:251274	ORPHA:251274
136	0.06465740501880646	OMIM:618913	OMIM:618913
137	0.06471280753612518	ORPHA:567544	ORPHA:567544
138	0.06477833539247513	OMIM:608836	OMIM:608836
139	0.06477902829647064	ORPHA:556037	ORPHA:556037
140	0.06493406742811203	OMIM:619051	OMIM:619051
141	0.06503106653690338	ORPHA:466677	ORPHA:466677
142	0.06511369347572327	ORPHA:157	ORPHA:157
143	0.06527021527290344	ORPHA:69076	ORPHA:69076
144	0.06537383794784546	ORPHA:361	ORPHA:361
145	0.06537455320358276	ORPHA:90062	ORPHA:90062
146	0.06538111716508865	OMIM:251880	OMIM:251880
147	0.06548052281141281	ORPHA:18	ORPHA:18
148	0.06552521139383316	OMIM:619874	OMIM:619874
149	0.06553550064563751	OMIM:214700	OMIM:214700
150	0.06557205319404602	ORPHA:2668	ORPHA:2668
151	0.06564296036958694	ORPHA:391457	ORPHA:391457
152	0.0657365471124649	OMIM:201450	OMIM:201450
