rank	score	disease_name	disease_identifier
1	0.17533785104751587	OMIM:269160	OMIM:269160
2	0.17867529392242432	ORPHA:329228	ORPHA:329228
3	0.1846984624862671	OMIM:617967	OMIM:617967
4	0.18624651432037354	OMIM:602197	OMIM:602197
5	0.18789082765579224	ORPHA:1931	ORPHA:1931
6	0.18811577558517456	OMIM:608542	OMIM:608542
7	0.18824142217636108	OMIM:123155	OMIM:123155
8	0.18833011388778687	ORPHA:48372	ORPHA:48372
9	0.19006961584091187	ORPHA:2703	ORPHA:2703
10	0.19251757860183716	OMIM:619462	OMIM:619462
