rank	score	disease_name	disease_identifier
1	0.04398057982325554	OMIM:618345	OMIM:618345
2	0.07461324334144592	OMIM:615725	OMIM:615725
3	0.07539273053407669	OMIM:610282	OMIM:610282
4	0.07649517804384232	OMIM:601414	OMIM:601414
5	0.07743597775697708	OMIM:601777	OMIM:601777
6	0.07801671326160431	OMIM:613756	OMIM:613756
7	0.07810217887163162	OMIM:613862	OMIM:613862
8	0.07855209708213806	OMIM:613801	OMIM:613801
9	0.07971744984388351	OMIM:614500	OMIM:614500
10	0.07982021570205688	OMIM:614180	OMIM:614180
11	0.08124545961618423	OMIM:210370	OMIM:210370
12	0.08229213207960129	OMIM:610283	OMIM:610283
13	0.08293063193559647	OMIM:613660	OMIM:613660
14	0.08420061320066452	OMIM:613341	OMIM:613341
15	0.08439280092716217	OMIM:614494	OMIM:614494
16	0.08495708554983139	OMIM:615780	OMIM:615780
17	0.08562518656253815	OMIM:600105	OMIM:600105
18	0.08574170619249344	OMIM:613617	OMIM:613617
19	0.08574803918600082	OMIM:613758	OMIM:613758
20	0.0858105942606926	OMIM:607921	OMIM:607921
21	0.0859229564666748	OMIM:600852	OMIM:600852
22	0.08642905205488205	OMIM:613767	OMIM:613767
23	0.08683004230260849	OMIM:618220	OMIM:618220
24	0.0871187075972557	OMIM:608133	OMIM:608133
25	0.0871630385518074	OMIM:614181	OMIM:614181
26	0.08722947537899017	OMIM:600132	OMIM:600132
27	0.08762060850858688	OMIM:606068	OMIM:606068
28	0.08766403049230576	OMIM:612095	OMIM:612095
29	0.087966188788414	OMIM:613428	OMIM:613428
30	0.08810241520404816	OMIM:611131	OMIM:611131
31	0.08831913769245148	OMIM:602772	OMIM:602772
32	0.08846825361251831	OMIM:613794	OMIM:613794
33	0.08851021528244019	OMIM:610359	OMIM:610359
34	0.08863746374845505	OMIM:613731	OMIM:613731
35	0.08874930441379547	OMIM:613983	OMIM:613983
36	0.08879492431879044	OMIM:180105	OMIM:180105
37	0.08898400515317917	OMIM:617023	OMIM:617023
38	0.08916415274143219	OMIM:612657	OMIM:612657
39	0.08929789811372757	OMIM:604393	OMIM:604393
40	0.08940040320158005	OMIM:616469	OMIM:616469
41	0.08944033831357956	OMIM:300029	OMIM:300029
42	0.08945444971323013	OMIM:610024	OMIM:610024
43	0.09045455604791641	OMIM:615233	OMIM:615233
44	0.09065095335245132	OMIM:613581	OMIM:613581
45	0.090863898396492	OMIM:602093	OMIM:602093
46	0.09110689908266068	ORPHA:52427	ORPHA:52427
47	0.09122004359960556	OMIM:616389	OMIM:616389
48	0.0915428176522255	OMIM:615922	OMIM:615922
49	0.09170152246952057	OMIM:613194	OMIM:613194
50	0.09225316345691681	OMIM:612165	OMIM:612165
51	0.09234350174665451	OMIM:613810	OMIM:613810
52	0.09257972985506058	OMIM:601718	OMIM:601718
53	0.093766950070858	OMIM:268010	OMIM:268010
54	0.0938396155834198	OMIM:312612	OMIM:312612
55	0.09417048841714859	OMIM:617304	OMIM:617304
56	0.09475550800561905	OMIM:616394	OMIM:616394
57	0.09494733810424805	ORPHA:75382	ORPHA:75382
58	0.09503935277462006	OMIM:600138	OMIM:600138
59	0.09546153247356415	OMIM:264420	OMIM:264420
60	0.09550423175096512	OMIM:620228	OMIM:620228
61	0.09557997435331345	OMIM:300155	OMIM:300155
62	0.0956241637468338	OMIM:312600	OMIM:312600
63	0.09574855864048004	OMIM:180104	OMIM:180104
64	0.09584913402795792	OMIM:617111	OMIM:617111
65	0.09595151990652084	OMIM:180100	OMIM:180100
66	0.09641969949007034	ORPHA:85128	ORPHA:85128
67	0.09653538465499878	OMIM:615058	OMIM:615058
68	0.0967094898223877	OMIM:616544	OMIM:616544
69	0.0972587838768959	OMIM:613093	OMIM:613093
70	0.09736330062150955	OMIM:616502	OMIM:616502
71	0.09737982600927353	OMIM:620342	OMIM:620342
72	0.09740190207958221	OMIM:610356	OMIM:610356
73	0.09748054295778275	OMIM:609923	OMIM:609923
74	0.09757999330759048	OMIM:180020	OMIM:180020
75	0.09777985513210297	OMIM:618173	OMIM:618173
76	0.0978456512093544	OMIM:613809	OMIM:613809
77	0.09807561337947845	OMIM:120970	OMIM:120970
78	0.09822005778551102	OMIM:257270	OMIM:257270
79	0.09822922199964523	OMIM:608380	OMIM:608380
80	0.09835929423570633	OMIM:613750	OMIM:613750
81	0.09847810119390488	OMIM:608194	OMIM:608194
82	0.0985357016324997	OMIM:615973	OMIM:615973
83	0.09944626688957214	OMIM:613464	OMIM:613464
84	0.09988000243902206	OMIM:619845	OMIM:619845
85	0.10018954426050186	OMIM:610381	OMIM:610381
86	0.10037487745285034	OMIM:612572	OMIM:612572
87	0.1004524976015091	OMIM:605549	OMIM:605549
88	0.10064326226711273	OMIM:600977	OMIM:600977
89	0.10072315484285355	OMIM:613582	OMIM:613582
90	0.1013159304857254	OMIM:609021	OMIM:609021
91	0.1017036885023117	OMIM:276902	OMIM:276902
92	0.10176137834787369	OMIM:617433	OMIM:617433
93	0.10195987671613693	OMIM:217080	OMIM:217080
94	0.10212871432304382	OMIM:608553	OMIM:608553
95	0.10276979207992554	OMIM:611543	OMIM:611543
96	0.10306884348392487	OMIM:300424	OMIM:300424
97	0.1032894179224968	OMIM:610599	OMIM:610599
98	0.10354233533143997	OMIM:618826	OMIM:618826
99	0.10362843424081802	OMIM:604116	OMIM:604116
100	0.10402856767177582	OMIM:204100	OMIM:204100
101	0.10414449125528336	OMIM:180210	OMIM:180210
102	0.10452999919652939	OMIM:610445	OMIM:610445
103	0.1045672670006752	OMIM:617871	OMIM:617871
104	0.10459063947200775	OMIM:610478	OMIM:610478
105	0.10470646619796753	OMIM:304020	OMIM:304020
106	0.10474769026041031	ORPHA:215	ORPHA:215
107	0.10478784888982773	OMIM:609913	OMIM:609913
108	0.10492132604122162	OMIM:169150	OMIM:169150
109	0.10555964708328247	OMIM:600059	OMIM:600059
110	0.10565493255853653	ORPHA:41751	ORPHA:41751
111	0.10570187121629715	OMIM:603649	OMIM:603649
112	0.10577713698148727	OMIM:616170	OMIM:616170
113	0.10579177737236023	OMIM:136550	OMIM:136550
114	0.10711771249771118	OMIM:613843	OMIM:613843
115	0.1071474552154541	OMIM:216900	OMIM:216900
116	0.10801372677087784	OMIM:616079	OMIM:616079
117	0.10836431384086609	OMIM:607476	OMIM:607476
118	0.10864344984292984	OMIM:300071	OMIM:300071
119	0.10900013148784637	OMIM:612943	OMIM:612943
120	0.10935483127832413	OMIM:300476	OMIM:300476
121	0.10959116369485855	OMIM:615147	OMIM:615147
122	0.10961845517158508	OMIM:300843	OMIM:300843
123	0.10971180349588394	ORPHA:75377	ORPHA:75377
124	0.10975313931703568	OMIM:619649	OMIM:619649
125	0.10982532799243927	OMIM:303100	OMIM:303100
126	0.11009351909160614	OMIM:618613	OMIM:618613
127	0.11030004918575287	OMIM:258500	OMIM:258500
128	0.11031459271907806	OMIM:619614	OMIM:619614
129	0.11051757633686066	OMIM:617123	OMIM:617123
130	0.11062424629926682	OMIM:613835	OMIM:613835
131	0.11081968247890472	OMIM:614186	OMIM:614186
132	0.11127479374408722	OMIM:617547	OMIM:617547
133	0.1113458201289177	OMIM:614565	OMIM:614565
134	0.11136138439178467	ORPHA:414	ORPHA:414
135	0.11139383912086487	OMIM:615374	OMIM:615374
136	0.11143598705530167	OMIM:613827	OMIM:613827
137	0.11176557093858719	OMIM:615163	OMIM:615163
138	0.11211960017681122	OMIM:616517	OMIM:616517
139	0.11216980963945389	OMIM:619082	OMIM:619082
140	0.1122918352484703	OMIM:611040	OMIM:611040
141	0.11243708431720734	OMIM:618195	OMIM:618195
142	0.11244653910398483	OMIM:617460	OMIM:617460
143	0.11249145120382309	OMIM:608051	OMIM:608051
144	0.11256647855043411	OMIM:613769	OMIM:613769
145	0.11261417716741562	OMIM:610189	OMIM:610189
