rank	score	disease_name	disease_identifier
1	0.2003841996192932	ORPHA:1429	ORPHA:1429
2	0.20392584800720215	OMIM:159580	OMIM:159580
3	0.207392156124115	ORPHA:458798	ORPHA:458798
4	0.20826327800750732	ORPHA:228169	ORPHA:228169
5	0.2096238136291504	ORPHA:98766	ORPHA:98766
6	0.21135854721069336	ORPHA:256	ORPHA:256
7	0.21224117279052734	ORPHA:98767	ORPHA:98767
8	0.21322011947631836	ORPHA:101010	ORPHA:101010
9	0.21356672048568726	ORPHA:71519	ORPHA:71519
10	0.21375584602355957	ORPHA:423275	ORPHA:423275
