rank	score	disease_name	disease_identifier
1	0.20553070306777954	OMIM:158590	OMIM:158590
2	0.20571690797805786	ORPHA:401780	ORPHA:401780
3	0.2068544626235962	OMIM:159580	OMIM:159580
4	0.20724964141845703	DECIPHER:29	DECIPHER:29
5	0.20729470252990723	ORPHA:399081	ORPHA:399081
6	0.20811927318572998	ORPHA:98856	ORPHA:98856
7	0.20863640308380127	ORPHA:99953	ORPHA:99953
8	0.20936596393585205	ORPHA:99939	ORPHA:99939
9	0.20948338508605957	ORPHA:482601	ORPHA:482601
10	0.2096540331840515	ORPHA:99940	ORPHA:99940
