rank	score	disease_name	disease_identifier
1	0.03289894014596939	ORPHA:93314	ORPHA:93314
2	0.03374645486474037	OMIM:607778	OMIM:607778
3	0.03586534410715103	ORPHA:93307	ORPHA:93307
4	0.03592587634921074	OMIM:617719	OMIM:617719
5	0.03625814616680145	OMIM:609162	OMIM:609162
6	0.036565911024808884	OMIM:132400	OMIM:132400
7	0.03691274672746658	OMIM:184253	OMIM:184253
8	0.03712640330195427	OMIM:156500	OMIM:156500
9	0.037255048751831055	OMIM:223800	OMIM:223800
10	0.03780492767691612	OMIM:271650	OMIM:271650
11	0.037950508296489716	OMIM:609325	OMIM:609325
12	0.0384962297976017	OMIM:609616	OMIM:609616
13	0.038574639707803726	OMIM:300106	OMIM:300106
14	0.038862891495227814	OMIM:146000	OMIM:146000
15	0.038996703922748566	OMIM:250220	OMIM:250220
16	0.039268240332603455	OMIM:619598	OMIM:619598
17	0.03935958445072174	ORPHA:457395	ORPHA:457395
18	0.03936956450343132	OMIM:618019	OMIM:618019
19	0.03966192156076431	OMIM:251450	OMIM:251450
20	0.039714328944683075	OMIM:615222	OMIM:615222
21	0.04001346603035927	OMIM:617396	OMIM:617396
22	0.040108274668455124	OMIM:607326	OMIM:607326
23	0.04018251597881317	OMIM:108720	OMIM:108720
24	0.040538687258958817	ORPHA:93351	ORPHA:93351
25	0.04055698961019516	ORPHA:56304	ORPHA:56304
26	0.04057260975241661	OMIM:271700	OMIM:271700
27	0.040584564208984375	OMIM:184250	OMIM:184250
28	0.04065364599227905	OMIM:602557	OMIM:602557
29	0.04067676141858101	OMIM:177170	OMIM:177170
30	0.040715478360652924	ORPHA:750	ORPHA:750
31	0.04071721062064171	OMIM:613330	OMIM:613330
32	0.04072042554616928	OMIM:620076	OMIM:620076
33	0.04076724499464035	OMIM:143095	OMIM:143095
34	0.04078811779618263	ORPHA:93316	ORPHA:93316
35	0.04092065617442131	ORPHA:63446	ORPHA:63446
36	0.04110657796263695	OMIM:250420	OMIM:250420
37	0.041481755673885345	ORPHA:93315	ORPHA:93315
38	0.041502103209495544	ORPHA:2502	ORPHA:2502
39	0.041556838899850845	OMIM:271640	OMIM:271640
