rank	score	disease_name	disease_identifier
1	0.04961284250020981	ORPHA:59	ORPHA:59
2	0.051598165184259415	OMIM:615578	OMIM:615578
3	0.052298516035079956	OMIM:612073	OMIM:612073
4	0.052360910922288895	OMIM:114100	OMIM:114100
5	0.052563589066267014	ORPHA:404454	ORPHA:404454
6	0.05280549079179764	OMIM:230650	OMIM:230650
7	0.05328092351555824	ORPHA:572798	ORPHA:572798
8	0.05333038792014122	ORPHA:502423	ORPHA:502423
9	0.053344063460826874	OMIM:614924	OMIM:614924
10	0.05337855592370033	ORPHA:86309	ORPHA:86309
11	0.05345505103468895	OMIM:619405	OMIM:619405
12	0.05346062406897545	OMIM:618239	OMIM:618239
13	0.05368638038635254	OMIM:272300	OMIM:272300
14	0.053917333483695984	OMIM:300055	OMIM:300055
15	0.0539468377828598	OMIM:615159	OMIM:615159
16	0.05398734658956528	OMIM:618397	OMIM:618397
17	0.054033536463975906	OMIM:615673	OMIM:615673
18	0.054351307451725006	OMIM:616239	OMIM:616239
19	0.054392002522945404	OMIM:245349	OMIM:245349
20	0.05443229153752327	OMIM:618238	OMIM:618238
21	0.054470255970954895	OMIM:617698	OMIM:617698
22	0.054506052285432816	OMIM:615838	OMIM:615838
23	0.05459180846810341	ORPHA:391428	ORPHA:391428
24	0.054700080305337906	OMIM:617675	OMIM:617675
25	0.0547245554625988	OMIM:618808	OMIM:618808
26	0.05475158244371414	ORPHA:500180	ORPHA:500180
27	0.054792843759059906	ORPHA:2203	ORPHA:2203
28	0.054933950304985046	OMIM:619147	OMIM:619147
29	0.05497368797659874	ORPHA:445038	ORPHA:445038
30	0.05498963221907616	OMIM:231000	OMIM:231000
31	0.055086612701416016	OMIM:615356	OMIM:615356
32	0.055090658366680145	OMIM:312080	OMIM:312080
33	0.05519050359725952	ORPHA:496641	ORPHA:496641
34	0.055204976350069046	ORPHA:506	ORPHA:506
35	0.05530188977718353	OMIM:601815	OMIM:601815
36	0.05541474372148514	ORPHA:370968	ORPHA:370968
37	0.055562619119882584	OMIM:615273	OMIM:615273
38	0.055643800646066666	OMIM:312170	OMIM:312170
39	0.05565487965941429	OMIM:614739	OMIM:614739
40	0.0557420440018177	OMIM:602473	OMIM:602473
41	0.055757030844688416	OMIM:617854	OMIM:617854
42	0.055817537009716034	OMIM:250100	OMIM:250100
43	0.05583927035331726	OMIM:230600	OMIM:230600
44	0.05586126074194908	ORPHA:66634	ORPHA:66634
45	0.055867649614810944	OMIM:614381	OMIM:614381
46	0.05600367859005928	OMIM:609060	OMIM:609060
47	0.05600598081946373	OMIM:604317	OMIM:604317
48	0.05603426694869995	OMIM:238970	OMIM:238970
49	0.05607224628329277	OMIM:616672	OMIM:616672
50	0.056125570088624954	OMIM:300884	OMIM:300884
51	0.05624667927622795	OMIM:600462	OMIM:600462
52	0.056263674050569534	OMIM:617302	OMIM:617302
53	0.05629377439618111	OMIM:300523	OMIM:300523
54	0.05646921321749687	ORPHA:621	ORPHA:621
55	0.05647401139140129	OMIM:616034	OMIM:616034
56	0.05649065598845482	OMIM:613161	OMIM:613161
57	0.056602466851472855	OMIM:611523	OMIM:611523
58	0.05665718391537666	OMIM:229050	OMIM:229050
59	0.056733544915914536	OMIM:618249	OMIM:618249
60	0.05677717179059982	OMIM:618253	OMIM:618253
61	0.056779894977808	ORPHA:391417	ORPHA:391417
62	0.05680526793003082	ORPHA:79244	ORPHA:79244
63	0.05684500187635422	OMIM:616271	OMIM:616271
64	0.056859493255615234	ORPHA:845	ORPHA:845
65	0.0568675696849823	OMIM:614833	OMIM:614833
66	0.05687480419874191	OMIM:618226	OMIM:618226
67	0.05690155178308487	ORPHA:70472	ORPHA:70472
68	0.05690322443842888	ORPHA:17	ORPHA:17
69	0.05691923201084137	OMIM:615330	OMIM:615330
70	0.056928522884845734	ORPHA:208447	ORPHA:208447
71	0.05697451904416084	OMIM:252650	OMIM:252650
72	0.0569898746907711	OMIM:617672	OMIM:617672
73	0.057083964347839355	OMIM:252010	OMIM:252010
74	0.05709153041243553	OMIM:612015	OMIM:612015
75	0.05709587782621384	OMIM:612016	OMIM:612016
76	0.057114169001579285	OMIM:614932	OMIM:614932
77	0.05720564350485802	OMIM:619224	OMIM:619224
78	0.05722736567258835	OMIM:617954	OMIM:617954
79	0.05723752826452255	OMIM:613839	OMIM:613839
80	0.05725730210542679	ORPHA:442835	ORPHA:442835
81	0.057281311601400375	OMIM:615917	OMIM:615917
82	0.057348791509866714	OMIM:617710	OMIM:617710
83	0.05734880641102791	OMIM:616299	OMIM:616299
84	0.05738217011094093	OMIM:607596	OMIM:607596
85	0.05740797519683838	OMIM:619272	OMIM:619272
86	0.05741981789469719	ORPHA:457240	ORPHA:457240
87	0.05745873600244522	OMIM:619743	OMIM:619743
88	0.05746396631002426	OMIM:618329	OMIM:618329
89	0.057477571070194244	OMIM:617193	OMIM:617193
90	0.05749828740954399	OMIM:615042	OMIM:615042
91	0.057516735047101974	OMIM:615471	OMIM:615471
92	0.05756456404924393	OMIM:615350	OMIM:615350
93	0.057589542120695114	OMIM:603585	OMIM:603585
94	0.057649530470371246	ORPHA:468699	ORPHA:468699
95	0.0576544888317585	ORPHA:369840	ORPHA:369840
96	0.05766629800200462	ORPHA:280071	ORPHA:280071
97	0.05770739167928696	OMIM:618891	OMIM:618891
98	0.05770890414714813	OMIM:614388	OMIM:614388
99	0.057740457355976105	OMIM:617395	OMIM:617395
100	0.0577550046145916	OMIM:617013	OMIM:617013
101	0.05779096856713295	OMIM:248800	OMIM:248800
102	0.05781029164791107	ORPHA:139485	ORPHA:139485
103	0.05784938111901283	OMIM:617873	OMIM:617873
104	0.057877857238054276	OMIM:615351	OMIM:615351
105	0.057914432138204575	ORPHA:263487	ORPHA:263487
106	0.057971179485321045	OMIM:619847	OMIM:619847
107	0.057995110750198364	ORPHA:51188	ORPHA:51188
108	0.05801999941468239	ORPHA:909	ORPHA:909
109	0.05808780714869499	OMIM:617709	OMIM:617709
110	0.058151111006736755	ORPHA:67048	ORPHA:67048
111	0.05817533656954765	OMIM:619229	OMIM:619229
112	0.058176591992378235	ORPHA:559	ORPHA:559
113	0.058192040771245956	OMIM:618174	OMIM:618174
