rank	score	disease_name	disease_identifier
1	0.009142303839325905	OMIM:617507	OMIM:617507
2	0.009252659045159817	OMIM:617193	OMIM:617193
3	0.009727024473249912	OMIM:260565	OMIM:260565
4	0.009764713235199451	OMIM:619777	OMIM:619777
5	0.009842303581535816	OMIM:615809	OMIM:615809
6	0.010292110964655876	ORPHA:457351	ORPHA:457351
7	0.01033303514122963	OMIM:617281	OMIM:617281
8	0.010427767410874367	OMIM:616900	OMIM:616900
9	0.010556294582784176	OMIM:618437	OMIM:618437
10	0.010574151761829853	ORPHA:488632	ORPHA:488632
11	0.010629485361278057	OMIM:616420	OMIM:616420
12	0.01081139501184225	OMIM:615574	OMIM:615574
13	0.010869652032852173	OMIM:103050	OMIM:103050
14	0.010920423083007336	OMIM:619286	OMIM:619286
15	0.010929561220109463	OMIM:614969	OMIM:614969
16	0.011128410696983337	ORPHA:86309	ORPHA:86309
17	0.011154910549521446	ORPHA:2836	ORPHA:2836
18	0.011193828657269478	ORPHA:481152	ORPHA:481152
19	0.011237992905080318	OMIM:617527	OMIM:617527
20	0.011250796727836132	OMIM:301072	OMIM:301072
21	0.011267292313277721	ORPHA:329178	ORPHA:329178
22	0.0112723708152771	OMIM:616875	OMIM:616875
23	0.011299197562038898	OMIM:617268	OMIM:617268
24	0.01135545689612627	ORPHA:572798	ORPHA:572798
25	0.011531739495694637	ORPHA:500533	ORPHA:500533
26	0.01154290046542883	OMIM:618076	OMIM:618076
27	0.011581525206565857	ORPHA:79322	ORPHA:79322
28	0.01160772331058979	OMIM:613457	OMIM:613457
29	0.011635283008217812	OMIM:214150	OMIM:214150
30	0.011639543808996677	OMIM:615398	OMIM:615398
31	0.011657771654427052	ORPHA:513456	ORPHA:513456
32	0.011675446294248104	ORPHA:468678	ORPHA:468678
33	0.011739108711481094	OMIM:612936	OMIM:612936
34	0.011755261570215225	OMIM:300896	OMIM:300896
35	0.011761998757719994	OMIM:615803	OMIM:615803
36	0.011835610494017601	ORPHA:364028	ORPHA:364028
37	0.011897497810423374	OMIM:300884	OMIM:300884
38	0.012065895833075047	OMIM:616801	OMIM:616801
39	0.012085330672562122	OMIM:619641	OMIM:619641
40	0.012228951789438725	OMIM:618367	OMIM:618367
41	0.012249128893017769	OMIM:608027	OMIM:608027
42	0.012265002354979515	OMIM:300749	OMIM:300749
43	0.012267771176993847	OMIM:213300	OMIM:213300
44	0.01227268110960722	ORPHA:496641	ORPHA:496641
45	0.012298653833568096	OMIM:617802	OMIM:617802
46	0.01229969970881939	OMIM:615802	OMIM:615802
47	0.012313492596149445	OMIM:620070	OMIM:620070
48	0.012315875850617886	OMIM:618143	OMIM:618143
49	0.01231960579752922	OMIM:617481	OMIM:617481
50	0.012383687309920788	OMIM:619124	OMIM:619124
51	0.012384656816720963	ORPHA:500150	ORPHA:500150
52	0.012443404644727707	OMIM:616362	OMIM:616362
53	0.012458366341888905	ORPHA:521426	ORPHA:521426
54	0.01246842835098505	OMIM:619475	OMIM:619475
55	0.012483264319598675	OMIM:618792	OMIM:618792
56	0.012500759214162827	OMIM:618004	OMIM:618004
57	0.012503153644502163	OMIM:612949	OMIM:612949
58	0.012530896812677383	ORPHA:314655	ORPHA:314655
59	0.012561794370412827	ORPHA:300570	ORPHA:300570
60	0.012580165639519691	OMIM:619527	OMIM:619527
61	0.012581169605255127	ORPHA:357058	ORPHA:357058
62	0.012590696103870869	ORPHA:85278	ORPHA:85278
63	0.012630854733288288	ORPHA:280763	ORPHA:280763
64	0.012668091803789139	OMIM:614207	OMIM:614207
65	0.012685004621744156	OMIM:251300	OMIM:251300
66	0.012692348100244999	OMIM:616211	OMIM:616211
67	0.012760568410158157	OMIM:620352	OMIM:620352
68	0.012865299358963966	OMIM:601853	OMIM:601853
69	0.012881601229310036	OMIM:261515	OMIM:261515
70	0.01288547832518816	OMIM:605013	OMIM:605013
71	0.012942742556333542	ORPHA:96147	ORPHA:96147
72	0.01296085026115179	OMIM:304340	OMIM:304340
73	0.012980050407350063	OMIM:618547	OMIM:618547
74	0.013020101934671402	OMIM:300243	OMIM:300243
75	0.013022088445723057	ORPHA:79351	ORPHA:79351
76	0.01305288914591074	OMIM:617302	OMIM:617302
77	0.013064856640994549	OMIM:618590	OMIM:618590
78	0.013068288564682007	ORPHA:280071	ORPHA:280071
79	0.013083107769489288	ORPHA:404454	ORPHA:404454
80	0.01309424638748169	OMIM:617050	OMIM:617050
81	0.013095485046505928	ORPHA:85277	ORPHA:85277
82	0.013124319724738598	OMIM:620240	OMIM:620240
83	0.013150826096534729	OMIM:619576	OMIM:619576
84	0.013150855898857117	ORPHA:1675	ORPHA:1675
85	0.013159087859094143	OMIM:617807	OMIM:617807
86	0.013188428245484829	ORPHA:314647	ORPHA:314647
87	0.013221625238656998	OMIM:618862	OMIM:618862
88	0.01323541160672903	OMIM:616260	OMIM:616260
89	0.013247806578874588	ORPHA:765	ORPHA:765
90	0.013314081355929375	OMIM:618186	OMIM:618186
91	0.013322790153324604	OMIM:619229	OMIM:619229
92	0.013341427780687809	OMIM:615851	OMIM:615851
93	0.01334618590772152	OMIM:619076	OMIM:619076
94	0.013415059074759483	ORPHA:488635	ORPHA:488635
95	0.013427884317934513	OMIM:618797	OMIM:618797
96	0.013438830152153969	OMIM:300868	OMIM:300868
97	0.013448606245219707	OMIM:618476	OMIM:618476
98	0.013471676036715508	OMIM:614222	OMIM:614222
99	0.013493859209120274	OMIM:620224	OMIM:620224
100	0.013500984758138657	OMIM:615663	OMIM:615663
101	0.013527645729482174	OMIM:615419	OMIM:615419
102	0.013547378592193127	OMIM:615716	OMIM:615716
103	0.013561328873038292	OMIM:614231	OMIM:614231
104	0.013564875349402428	ORPHA:97297	ORPHA:97297
105	0.013586563058197498	OMIM:618859	OMIM:618859
106	0.013628796674311161	ORPHA:468631	ORPHA:468631
107	0.013631450943648815	OMIM:615273	OMIM:615273
108	0.013646573759615421	OMIM:248500	OMIM:248500
109	0.013661220669746399	ORPHA:309282	ORPHA:309282
110	0.013672927394509315	OMIM:616355	OMIM:616355
111	0.01367563009262085	ORPHA:276432	ORPHA:276432
112	0.01367812231183052	OMIM:615673	OMIM:615673
113	0.013684405945241451	ORPHA:506358	ORPHA:506358
114	0.01371752843260765	OMIM:617804	OMIM:617804
115	0.013733981177210808	ORPHA:99742	ORPHA:99742
116	0.01373627781867981	OMIM:619512	OMIM:619512
117	0.013755293563008308	ORPHA:475	ORPHA:475
118	0.01375796552747488	OMIM:618744	OMIM:618744
119	0.01377766951918602	ORPHA:137831	ORPHA:137831
120	0.013781298883259296	ORPHA:263487	ORPHA:263487
121	0.01380584854632616	OMIM:617762	OMIM:617762
122	0.013850747607648373	OMIM:614261	OMIM:614261
123	0.013857284560799599	ORPHA:397709	ORPHA:397709
124	0.013878865167498589	OMIM:614961	OMIM:614961
125	0.013891197741031647	ORPHA:228384	ORPHA:228384
126	0.013898485340178013	ORPHA:500144	ORPHA:500144
127	0.01390641089528799	OMIM:619708	OMIM:619708
128	0.01392365712672472	ORPHA:621	ORPHA:621
129	0.013940111733973026	OMIM:618056	OMIM:618056
130	0.013984004966914654	OMIM:607906	OMIM:607906
131	0.0139954574406147	OMIM:617729	OMIM:617729
132	0.014000778086483479	OMIM:620024	OMIM:620024
133	0.014040050096809864	ORPHA:314389	ORPHA:314389
134	0.014050518162548542	OMIM:617798	OMIM:617798
135	0.01405110489577055	ORPHA:438213	ORPHA:438213
136	0.01405119989067316	ORPHA:544503	ORPHA:544503
137	0.01409057155251503	OMIM:619833	OMIM:619833
138	0.014138178899884224	OMIM:619297	OMIM:619297
