rank	score	disease_name	disease_identifier
1	0.014218703843653202	OMIM:619504	OMIM:619504
2	0.014346753247082233	OMIM:617157	OMIM:617157
3	0.014863352291285992	OMIM:616938	OMIM:616938
4	0.014944617636501789	OMIM:614607	OMIM:614607
5	0.01508770976215601	OMIM:270450	OMIM:270450
6	0.015191535465419292	OMIM:617694	OMIM:617694
7	0.015287975780665874	OMIM:610759	OMIM:610759
8	0.0155018987134099	OMIM:301022	OMIM:301022
9	0.015503057278692722	OMIM:613406	OMIM:613406
10	0.01557237934321165	OMIM:300882	OMIM:300882
11	0.015599733218550682	OMIM:617360	OMIM:617360
12	0.015678726136684418	OMIM:239300	OMIM:239300
13	0.015687711536884308	OMIM:614608	OMIM:614608
14	0.015702540054917336	OMIM:300590	OMIM:300590
15	0.015711024403572083	OMIM:608670	OMIM:608670
16	0.016128700226545334	OMIM:614609	OMIM:614609
17	0.016148218885064125	OMIM:612337	OMIM:612337
18	0.016196392476558685	ORPHA:1446	ORPHA:1446
19	0.016234008595347404	OMIM:619194	OMIM:619194
20	0.01626690849661827	ORPHA:261290	ORPHA:261290
21	0.016268840059638023	OMIM:618027	OMIM:618027
22	0.01627117209136486	OMIM:615866	OMIM:615866
23	0.016377106308937073	OMIM:618454	OMIM:618454
24	0.016437703743577003	OMIM:613792	OMIM:613792
25	0.016455188393592834	OMIM:619695	OMIM:619695
26	0.016469240188598633	ORPHA:480907	ORPHA:480907
27	0.016489794477820396	OMIM:619312	OMIM:619312
28	0.01650969311594963	ORPHA:261323	ORPHA:261323
29	0.016522806137800217	OMIM:609625	OMIM:609625
30	0.01654999703168869	OMIM:601358	OMIM:601358
31	0.01657393015921116	OMIM:618622	OMIM:618622
32	0.0166360791772604	OMIM:617452	OMIM:617452
33	0.016659248620271683	OMIM:617140	OMIM:617140
34	0.01673981174826622	OMIM:619950	OMIM:619950
35	0.016742661595344543	OMIM:602342	OMIM:602342
36	0.016750933602452278	OMIM:156200	OMIM:156200
37	0.01676301099359989	OMIM:615485	OMIM:615485
38	0.016776958480477333	OMIM:616638	OMIM:616638
39	0.01681286282837391	OMIM:615834	OMIM:615834
40	0.016835419461131096	OMIM:618342	OMIM:618342
41	0.01692688651382923	OMIM:618371	OMIM:618371
42	0.016967518255114555	OMIM:300895	OMIM:300895
43	0.016973737627267838	OMIM:617260	OMIM:617260
44	0.017053455114364624	OMIM:618506	OMIM:618506
45	0.01706739515066147	OMIM:618106	OMIM:618106
46	0.01707623526453972	ORPHA:391408	ORPHA:391408
47	0.017076963558793068	OMIM:612292	OMIM:612292
48	0.0170992873609066	OMIM:615583	OMIM:615583
49	0.017107320949435234	OMIM:301032	OMIM:301032
50	0.017168421298265457	OMIM:617982	OMIM:617982
51	0.01717769168317318	OMIM:309580	OMIM:309580
52	0.01718137599527836	ORPHA:1915	ORPHA:1915
53	0.01719188317656517	OMIM:619720	OMIM:619720
54	0.017209170386195183	OMIM:619320	OMIM:619320
55	0.017228972166776657	OMIM:264090	OMIM:264090
56	0.017249397933483124	ORPHA:231137	ORPHA:231137
57	0.01726100780069828	OMIM:300860	OMIM:300860
58	0.017272083088755608	ORPHA:251028	ORPHA:251028
59	0.01727733202278614	OMIM:213980	OMIM:213980
