rank	score	disease_name	disease_identifier
1	0.014725652523338795	OMIM:615433	OMIM:615433
2	0.015451456420123577	OMIM:618590	OMIM:618590
3	0.01612861268222332	OMIM:617190	OMIM:617190
4	0.016159750521183014	OMIM:615668	OMIM:615668
5	0.016328761354088783	OMIM:309590	OMIM:309590
6	0.016808167099952698	ORPHA:66629	ORPHA:66629
7	0.016854843124747276	OMIM:617729	OMIM:617729
8	0.016891438513994217	ORPHA:96121	ORPHA:96121
9	0.01703774929046631	ORPHA:420179	ORPHA:420179
10	0.017236817628145218	OMIM:618499	OMIM:618499
11	0.01725156418979168	OMIM:613174	OMIM:613174
12	0.017431925982236862	ORPHA:238750	ORPHA:238750
13	0.017486395314335823	ORPHA:238769	ORPHA:238769
14	0.01757066696882248	OMIM:615803	OMIM:615803
15	0.01766820065677166	ORPHA:1272	ORPHA:1272
16	0.017788918688893318	OMIM:613603	OMIM:613603
17	0.017797183245420456	OMIM:612513	OMIM:612513
18	0.01785995066165924	ORPHA:2563	ORPHA:2563
19	0.01794588193297386	OMIM:619512	OMIM:619512
20	0.018127357587218285	OMIM:617360	OMIM:617360
21	0.01823846995830536	OMIM:618089	OMIM:618089
22	0.01823960803449154	OMIM:109120	OMIM:109120
23	0.018262414261698723	OMIM:300486	OMIM:300486
24	0.018294475972652435	OMIM:300966	OMIM:300966
25	0.018371716141700745	ORPHA:2479	ORPHA:2479
26	0.0183943510055542	OMIM:618798	OMIM:618798
27	0.01840098388493061	OMIM:300749	OMIM:300749
28	0.018402162939310074	OMIM:618522	OMIM:618522
29	0.01841256208717823	OMIM:617011	OMIM:617011
30	0.018419377505779266	OMIM:617452	OMIM:617452
31	0.01855805702507496	OMIM:268850	OMIM:268850
32	0.018608851358294487	OMIM:619989	OMIM:619989
33	0.0186124499887228	OMIM:243310	OMIM:243310
34	0.01863977126777172	ORPHA:261349	ORPHA:261349
35	0.018647175282239914	OMIM:619185	OMIM:619185
36	0.01865336298942566	OMIM:619833	OMIM:619833
37	0.018696378916502	OMIM:619595	OMIM:619595
38	0.018717708066105843	ORPHA:75857	ORPHA:75857
39	0.01875041238963604	ORPHA:438178	ORPHA:438178
40	0.018768135458230972	OMIM:616734	OMIM:616734
41	0.018780982121825218	OMIM:617333	OMIM:617333
42	0.018827514722943306	OMIM:618443	OMIM:618443
43	0.018837936222553253	ORPHA:447980	ORPHA:447980
44	0.018866391852498055	OMIM:613706	OMIM:613706
45	0.018914923071861267	OMIM:213980	OMIM:213980
46	0.018949847668409348	OMIM:117550	OMIM:117550
47	0.019026484340429306	OMIM:616801	OMIM:616801
48	0.019031262025237083	OMIM:300434	OMIM:300434
49	0.01904849149286747	OMIM:617796	OMIM:617796
50	0.019063644111156464	OMIM:620224	OMIM:620224
51	0.019078470766544342	ORPHA:457359	ORPHA:457359
52	0.019081585109233856	OMIM:115150	OMIM:115150
53	0.019100617617368698	ORPHA:505237	ORPHA:505237
54	0.019126469269394875	OMIM:617260	OMIM:617260
55	0.01913747563958168	OMIM:610443	OMIM:610443
56	0.019151359796524048	ORPHA:319182	ORPHA:319182
57	0.01916666515171528	ORPHA:357001	ORPHA:357001
58	0.019172243773937225	ORPHA:261250	ORPHA:261250
59	0.019172323867678642	OMIM:617330	OMIM:617330
60	0.01918143220245838	OMIM:614583	OMIM:614583
61	0.019188884645700455	OMIM:617157	OMIM:617157
62	0.019196132197976112	OMIM:613457	OMIM:613457
63	0.019258350133895874	OMIM:251300	OMIM:251300
64	0.01926763728260994	ORPHA:1185	ORPHA:1185
65	0.019371548667550087	OMIM:612337	OMIM:612337
66	0.019380789250135422	OMIM:613563	OMIM:613563
67	0.019387414678931236	OMIM:615834	OMIM:615834
68	0.019390355795621872	ORPHA:247262	ORPHA:247262
69	0.019393466413021088	OMIM:609757	OMIM:609757
70	0.019413666799664497	OMIM:609037	OMIM:609037
71	0.019424205645918846	OMIM:257300	OMIM:257300
72	0.0194840207695961	OMIM:619325	OMIM:619325
73	0.019486797973513603	OMIM:607721	OMIM:607721
74	0.019521014764904976	OMIM:614756	OMIM:614756
75	0.01952209509909153	OMIM:244450	OMIM:244450
76	0.01956883817911148	ORPHA:363528	ORPHA:363528
77	0.019580719992518425	OMIM:615879	OMIM:615879
78	0.019582116976380348	OMIM:617140	OMIM:617140
79	0.01959868334233761	ORPHA:1620	ORPHA:1620
80	0.01963597722351551	ORPHA:276413	ORPHA:276413
81	0.01964106597006321	OMIM:609625	OMIM:609625
82	0.0196792334318161	OMIM:615502	OMIM:615502
83	0.01972102001309395	OMIM:249310	OMIM:249310
84	0.019727544859051704	OMIM:300590	OMIM:300590
85	0.019750557839870453	ORPHA:459070	ORPHA:459070
86	0.01978495717048645	ORPHA:562528	ORPHA:562528
87	0.019787253811955452	OMIM:608776	OMIM:608776
88	0.01983676850795746	OMIM:614114	OMIM:614114
89	0.0198640339076519	OMIM:300895	OMIM:300895
90	0.019884057343006134	OMIM:613735	OMIM:613735
91	0.01989014819264412	OMIM:620001	OMIM:620001
92	0.019892172887921333	ORPHA:502434	ORPHA:502434
93	0.019971664994955063	OMIM:619435	OMIM:619435
94	0.01998782716691494	ORPHA:284180	ORPHA:284180
95	0.02001175656914711	OMIM:601853	OMIM:601853
96	0.020025217905640602	OMIM:156200	OMIM:156200
97	0.020046506077051163	OMIM:618774	OMIM:618774
98	0.020058248192071915	OMIM:613224	OMIM:613224
99	0.02006177045404911	ORPHA:85276	ORPHA:85276
100	0.020068759098649025	OMIM:600118	OMIM:600118
101	0.020078854635357857	ORPHA:466926	ORPHA:466926
102	0.02008040063083172	OMIM:147791	OMIM:147791
103	0.020084543153643608	OMIM:619244	OMIM:619244
104	0.02009129710495472	OMIM:616355	OMIM:616355
105	0.020110052078962326	OMIM:614202	OMIM:614202
