rank	score	disease_name	disease_identifier
1	0.04056962579488754	OMIM:184850	OMIM:184850
2	0.04082562401890755	ORPHA:3299	ORPHA:3299
3	0.04171736165881157	OMIM:233910	OMIM:233910
4	0.04192964360117912	ORPHA:43116	ORPHA:43116
5	0.04235202446579933	OMIM:605899	OMIM:605899
6	0.044165078550577164	OMIM:608643	OMIM:608643
7	0.0442514531314373	OMIM:261630	OMIM:261630
8	0.04461834207177162	ORPHA:3198	ORPHA:3198
9	0.04505939036607742	OMIM:261640	OMIM:261640
10	0.045299891382455826	OMIM:253270	OMIM:253270
11	0.04549911990761757	OMIM:229700	OMIM:229700
12	0.04638495668768883	OMIM:248600	OMIM:248600
13	0.0465119332075119	OMIM:223900	OMIM:223900
14	0.04670979082584381	OMIM:617054	OMIM:617054
15	0.047155700623989105	ORPHA:238329	ORPHA:238329
16	0.047422926872968674	OMIM:614654	OMIM:614654
17	0.047756411135196686	ORPHA:255210	ORPHA:255210
18	0.047882866114377975	OMIM:618222	OMIM:618222
19	0.04790878668427467	ORPHA:447997	ORPHA:447997
20	0.04839659854769707	ORPHA:101150	ORPHA:101150
21	0.049004316329956055	ORPHA:279947	ORPHA:279947
22	0.04914768785238266	ORPHA:3077	ORPHA:3077
23	0.049228500574827194	OMIM:615846	OMIM:615846
24	0.04924297332763672	ORPHA:134	ORPHA:134
25	0.04931369796395302	OMIM:614898	OMIM:614898
26	0.04948274791240692	ORPHA:99745	ORPHA:99745
27	0.04986706003546715	ORPHA:778	ORPHA:778
28	0.04995140805840492	ORPHA:401866	ORPHA:401866
29	0.05002715811133385	OMIM:268800	OMIM:268800
30	0.05009697377681732	ORPHA:363400	ORPHA:363400
31	0.05010182037949562	ORPHA:70594	ORPHA:70594
32	0.05012086406350136	OMIM:616271	OMIM:616271
33	0.050302792340517044	ORPHA:2571	ORPHA:2571
34	0.05040439963340759	ORPHA:79139	ORPHA:79139
35	0.05060674250125885	OMIM:616539	OMIM:616539
36	0.050691768527030945	ORPHA:139417	ORPHA:139417
37	0.05073964595794678	ORPHA:206436	ORPHA:206436
38	0.05082213133573532	OMIM:275000	OMIM:275000
39	0.05088399350643158	ORPHA:83600	ORPHA:83600
40	0.0509067140519619	ORPHA:94093	ORPHA:94093
41	0.050914812833070755	ORPHA:2131	ORPHA:2131
42	0.05091703683137894	ORPHA:13	ORPHA:13
43	0.05092881992459297	OMIM:617698	OMIM:617698
44	0.05109119415283203	OMIM:618224	OMIM:618224
45	0.05125987529754639	ORPHA:2912	ORPHA:2912
46	0.05132683366537094	OMIM:617013	OMIM:617013
47	0.051328353583812714	ORPHA:525731	ORPHA:525731
48	0.05134199932217598	OMIM:272750	OMIM:272750
49	0.051425471901893616	ORPHA:293987	ORPHA:293987
50	0.05144498497247696	OMIM:618426	OMIM:618426
51	0.05155773088335991	OMIM:619224	OMIM:619224
52	0.05163922533392906	ORPHA:682	ORPHA:682
53	0.051652561873197556	ORPHA:58	ORPHA:58
54	0.05181412026286125	OMIM:230900	OMIM:230900
55	0.051823679357767105	OMIM:248510	OMIM:248510
56	0.05186863988637924	OMIM:614653	OMIM:614653
57	0.0518718846142292	ORPHA:20	ORPHA:20
58	0.05191628262400627	ORPHA:760	ORPHA:760
59	0.05194500833749771	OMIM:618237	OMIM:618237
60	0.05212311074137688	ORPHA:449291	ORPHA:449291
61	0.05216023325920105	ORPHA:99735	ORPHA:99735
62	0.05221319571137428	ORPHA:139485	ORPHA:139485
63	0.052282609045505524	OMIM:272800	OMIM:272800
64	0.052286017686128616	ORPHA:466677	ORPHA:466677
65	0.05231497064232826	OMIM:300816	OMIM:300816
66	0.05236228555440903	ORPHA:139406	ORPHA:139406
67	0.05240035802125931	ORPHA:263410	ORPHA:263410
68	0.05243682861328125	ORPHA:348	ORPHA:348
69	0.05256281793117523	OMIM:220120	OMIM:220120
70	0.05265979468822479	OMIM:263800	OMIM:263800
71	0.05281614512205124	ORPHA:225147	ORPHA:225147
72	0.05285229533910751	ORPHA:3385	ORPHA:3385
73	0.053035616874694824	OMIM:612073	OMIM:612073
74	0.053149525076150894	OMIM:256000	OMIM:256000
75	0.053277112543582916	OMIM:232300	OMIM:232300
76	0.053416602313518524	ORPHA:216866	ORPHA:216866
77	0.053444378077983856	OMIM:613327	OMIM:613327
78	0.05344491824507713	ORPHA:247525	ORPHA:247525
79	0.053445760160684586	ORPHA:254892	ORPHA:254892
80	0.053683992475271225	ORPHA:42	ORPHA:42
81	0.05371173098683357	OMIM:128100	OMIM:128100
82	0.053716521710157394	OMIM:607483	OMIM:607483
83	0.05377522110939026	ORPHA:505216	ORPHA:505216
84	0.053797729313373566	ORPHA:98808	ORPHA:98808
85	0.05395282432436943	OMIM:615501	OMIM:615501
86	0.054023902863264084	OMIM:210200	OMIM:210200
87	0.0540347583591938	OMIM:223360	OMIM:223360
88	0.05407677963376045	OMIM:257200	OMIM:257200
89	0.05417372286319733	ORPHA:445038	ORPHA:445038
90	0.05418951436877251	OMIM:608093	OMIM:608093
91	0.05419144034385681	ORPHA:97349	ORPHA:97349
92	0.054201140999794006	ORPHA:88619	ORPHA:88619
93	0.054245952516794205	ORPHA:217253	ORPHA:217253
94	0.05430671572685242	ORPHA:3240	ORPHA:3240
95	0.054332274943590164	OMIM:240800	OMIM:240800
96	0.05447692051529884	ORPHA:79276	ORPHA:79276
97	0.0544978491961956	OMIM:612736	OMIM:612736
98	0.05450425297021866	ORPHA:3095	ORPHA:3095
99	0.05452057719230652	OMIM:618226	OMIM:618226
100	0.05454656109213829	ORPHA:263501	ORPHA:263501
101	0.0546044185757637	ORPHA:845	ORPHA:845
102	0.054615769535303116	ORPHA:70472	ORPHA:70472
103	0.05467509105801582	ORPHA:74	ORPHA:74
104	0.05469662696123123	OMIM:618321	OMIM:618321
105	0.0547187477350235	ORPHA:230	ORPHA:230
106	0.05476953461766243	OMIM:239200	OMIM:239200
107	0.05481595918536186	OMIM:613489	OMIM:613489
108	0.05483431741595268	OMIM:615924	OMIM:615924
