rank	score	disease_name	disease_identifier
1	0.023683952167630196	OMIM:305100	OMIM:305100
2	0.02684115804731846	OMIM:224900	OMIM:224900
3	0.02773497812449932	OMIM:620098	OMIM:620098
4	0.028112446889281273	ORPHA:261144	ORPHA:261144
5	0.028560232371091843	ORPHA:420561	ORPHA:420561
6	0.028667444363236427	OMIM:137550	OMIM:137550
7	0.028769951313734055	OMIM:619312	OMIM:619312
8	0.029016926884651184	ORPHA:1299	ORPHA:1299
9	0.029231326654553413	OMIM:264090	OMIM:264090
10	0.029344717040657997	OMIM:608156	OMIM:608156
11	0.02953268773853779	OMIM:135500	OMIM:135500
12	0.02953297086060047	OMIM:182150	OMIM:182150
13	0.029580481350421906	OMIM:620370	OMIM:620370
14	0.02959306724369526	ORPHA:435628	ORPHA:435628
15	0.0296805240213871	ORPHA:1810	ORPHA:1810
16	0.029709143564105034	ORPHA:2849	ORPHA:2849
17	0.029720690101385117	ORPHA:3163	ORPHA:3163
18	0.029822083190083504	OMIM:269921	OMIM:269921
19	0.030118906870484352	OMIM:617061	OMIM:617061
20	0.03052225150167942	OMIM:129400	OMIM:129400
21	0.03057127445936203	OMIM:618872	OMIM:618872
22	0.030667347833514214	OMIM:612313	OMIM:612313
23	0.0306776762008667	ORPHA:363659	ORPHA:363659
24	0.030695516616106033	ORPHA:181	ORPHA:181
25	0.03075162135064602	OMIM:616592	OMIM:616592
26	0.030782537534832954	OMIM:607812	OMIM:607812
27	0.03082166612148285	OMIM:115150	OMIM:115150
28	0.03082350827753544	OMIM:619293	OMIM:619293
29	0.030893193557858467	ORPHA:140936	ORPHA:140936
30	0.03092113509774208	OMIM:615485	OMIM:615485
31	0.030926043167710304	ORPHA:1051	ORPHA:1051
32	0.031058482825756073	OMIM:618342	OMIM:618342
33	0.03115384466946125	OMIM:300855	OMIM:300855
34	0.03125445172190666	OMIM:211380	OMIM:211380
35	0.03129751607775688	OMIM:303600	OMIM:303600
36	0.0313209593296051	OMIM:613792	OMIM:613792
37	0.03137501701712608	OMIM:619841	OMIM:619841
38	0.03142213821411133	OMIM:601358	OMIM:601358
39	0.03142251446843147	ORPHA:2067	ORPHA:2067
40	0.03143646940588951	OMIM:610759	OMIM:610759
41	0.031514815986156464	ORPHA:870	ORPHA:870
42	0.03154134005308151	ORPHA:1968	ORPHA:1968
43	0.031547751277685165	ORPHA:73223	ORPHA:73223
44	0.031657975167036057	OMIM:608624	OMIM:608624
45	0.03169174864888191	ORPHA:178303	ORPHA:178303
46	0.031712856143713	OMIM:309580	OMIM:309580
47	0.031729962676763535	OMIM:619950	OMIM:619950
48	0.03177075460553169	OMIM:300860	OMIM:300860
49	0.031797271221876144	ORPHA:884	ORPHA:884
