rank	score	disease_name	disease_identifier
1	0.10357385873794556	ORPHA:231237	ORPHA:231237
2	0.1209380030632019	OMIM:604131	OMIM:604131
3	0.12254899740219116	OMIM:613985	OMIM:613985
4	0.12534546852111816	ORPHA:231242	ORPHA:231242
5	0.14836061000823975	OMIM:515000	OMIM:515000
6	0.15176624059677124	OMIM:603529	OMIM:603529
7	0.15758556127548218	OMIM:300751	OMIM:300751
8	0.1599336862564087	OMIM:300448	OMIM:300448
9	0.16107594966888428	OMIM:166910	OMIM:166910
10	0.16129106283187866	OMIM:619789	OMIM:619789
