rank	score	disease_name	disease_identifier
1	0.18417149782180786	OMIM:300082	OMIM:300082
1	0.18417149782180786	OMIM:158280	OMIM:158280
3	0.19250226020812988	ORPHA:2149	ORPHA:2149
4	0.20090878009796143	ORPHA:46348	ORPHA:46348
5	0.20232266187667847	DECIPHER:74	DECIPHER:74
6	0.20487552881240845	DECIPHER:54	DECIPHER:54
7	0.20533108711242676	OMIM:425500	OMIM:425500
8	0.2062453031539917	OMIM:190420	OMIM:190420
9	0.2069469690322876	ORPHA:35701	ORPHA:35701
10	0.20817339420318604	OMIM:136570	OMIM:136570
