rank	score	disease_name	disease_identifier
1	0.031016690656542778	OMIM:144200	OMIM:144200
2	0.047304242849349976	ORPHA:86923	ORPHA:86923
3	0.054679933935403824	OMIM:148700	OMIM:148700
4	0.05955212935805321	ORPHA:79395	ORPHA:79395
5	0.060219042003154755	OMIM:615726	OMIM:615726
6	0.060612753033638	ORPHA:2200	ORPHA:2200
7	0.06222577393054962	OMIM:300918	OMIM:300918
8	0.06419263780117035	OMIM:615735	OMIM:615735
9	0.0649382472038269	ORPHA:2199	ORPHA:2199
10	0.06554503738880157	ORPHA:495	ORPHA:495
11	0.06588982045650482	OMIM:104100	OMIM:104100
12	0.06684073060750961	OMIM:620150	OMIM:620150
13	0.06736522912979126	ORPHA:79399	ORPHA:79399
14	0.06951465457677841	OMIM:148730	OMIM:148730
15	0.0703335553407669	ORPHA:79397	ORPHA:79397
16	0.07045510411262512	OMIM:619208	OMIM:619208
17	0.07052502036094666	ORPHA:38	ORPHA:38
18	0.0708097517490387	ORPHA:79151	ORPHA:79151
19	0.07266321033239365	ORPHA:218	ORPHA:218
20	0.07305347919464111	OMIM:615024	OMIM:615024
21	0.074319027364254	ORPHA:737	ORPHA:737
22	0.07486820220947266	OMIM:173200	OMIM:173200
23	0.07496438175439835	ORPHA:530838	ORPHA:530838
24	0.07544324547052383	ORPHA:69125	ORPHA:69125
25	0.07587489485740662	OMIM:602540	OMIM:602540
26	0.07625136524438858	OMIM:620148	OMIM:620148
27	0.07651069015264511	OMIM:101900	OMIM:101900
28	0.07675095647573471	OMIM:604777	OMIM:604777
29	0.07811380922794342	ORPHA:498359	ORPHA:498359
30	0.0788109228014946	ORPHA:79400	ORPHA:79400
31	0.07897686958312988	OMIM:257980	OMIM:257980
32	0.07932105660438538	OMIM:617574	OMIM:617574
33	0.08002864569425583	OMIM:616295	OMIM:616295
34	0.0801049992442131	OMIM:613000	OMIM:613000
35	0.08015016466379166	ORPHA:2698	ORPHA:2698
36	0.08016534149646759	OMIM:244850	OMIM:244850
37	0.0805748924612999	OMIM:612281	OMIM:612281
38	0.08095626533031464	OMIM:167200	OMIM:167200
39	0.08128727227449417	ORPHA:2897	ORPHA:2897
40	0.08151669055223465	OMIM:607602	OMIM:607602
41	0.08194588869810104	OMIM:615522	OMIM:615522
42	0.08198445290327072	ORPHA:87503	ORPHA:87503
43	0.08200642466545105	ORPHA:166113	ORPHA:166113
44	0.0821923092007637	ORPHA:89838	ORPHA:89838
45	0.08258617669343948	ORPHA:100976	ORPHA:100976
46	0.08265949785709381	OMIM:212360	OMIM:212360
47	0.08323250710964203	ORPHA:312	ORPHA:312
48	0.08330178260803223	OMIM:614594	OMIM:614594
49	0.08331115543842316	OMIM:604117	OMIM:604117
50	0.08351387083530426	OMIM:617525	OMIM:617525
51	0.08365407586097717	OMIM:607936	OMIM:607936
52	0.08416363596916199	ORPHA:158681	ORPHA:158681
53	0.08430702239274979	OMIM:167210	OMIM:167210
54	0.08472155034542084	OMIM:601952	OMIM:601952
55	0.08494257181882858	ORPHA:79503	ORPHA:79503
56	0.08522500097751617	OMIM:148600	OMIM:148600
57	0.08562021702528	ORPHA:2309	ORPHA:2309
58	0.0858330950140953	OMIM:125595	OMIM:125595
59	0.08587906509637833	OMIM:129200	OMIM:129200
60	0.085881307721138	ORPHA:69087	ORPHA:69087
61	0.08591131865978241	ORPHA:384	ORPHA:384
62	0.08674105256795883	ORPHA:79145	ORPHA:79145
63	0.08735322207212448	OMIM:604536	OMIM:604536
64	0.08762567490339279	ORPHA:158673	ORPHA:158673
65	0.0880441889166832	OMIM:617526	OMIM:617526
66	0.08874856680631638	ORPHA:281201	ORPHA:281201
67	0.08892371505498886	OMIM:136000	OMIM:136000
68	0.08991365134716034	ORPHA:79410	ORPHA:79410
69	0.09019892662763596	OMIM:148500	OMIM:148500
70	0.09020090848207474	ORPHA:735	ORPHA:735
71	0.09038989990949631	OMIM:224750	OMIM:224750
72	0.09061833471059799	ORPHA:79402	ORPHA:79402
73	0.09133227169513702	ORPHA:2202	ORPHA:2202
74	0.09139890223741531	OMIM:181600	OMIM:181600
75	0.09161850064992905	ORPHA:189	ORPHA:189
76	0.09209195524454117	OMIM:615023	OMIM:615023
77	0.0923859104514122	ORPHA:50942	ORPHA:50942
78	0.09241468459367752	OMIM:615225	OMIM:615225
79	0.09261131286621094	OMIM:242300	OMIM:242300
80	0.09292914718389511	ORPHA:678	ORPHA:678
81	0.0930195078253746	ORPHA:281127	ORPHA:281127
82	0.09345392137765884	ORPHA:525	ORPHA:525
83	0.09367092698812485	OMIM:133200	OMIM:133200
84	0.09370876848697662	ORPHA:2890	ORPHA:2890
85	0.09377207607030869	ORPHA:79406	ORPHA:79406
86	0.0939469039440155	OMIM:617337	OMIM:617337
87	0.0943695455789566	OMIM:606545	OMIM:606545
88	0.09447108954191208	OMIM:615022	OMIM:615022
89	0.0951055958867073	OMIM:242100	OMIM:242100
90	0.09516562521457672	OMIM:146590	OMIM:146590
91	0.09545310586690903	ORPHA:89843	ORPHA:89843
