rank	score	disease_name	disease_identifier
1	0.19798916578292847	OMIM:619613	OMIM:619613
2	0.20821046829223633	OMIM:614842	OMIM:614842
3	0.20832055807113647	OMIM:262600	OMIM:262600
4	0.20901060104370117	OMIM:238320	OMIM:238320
5	0.20933318138122559	OMIM:614128	OMIM:614128
6	0.21082139015197754	ORPHA:52901	ORPHA:52901
7	0.2116449475288391	OMIM:273150	OMIM:273150
8	0.2121211290359497	OMIM:614839	OMIM:614839
9	0.21260356903076172	OMIM:613825	OMIM:613825
10	0.2129523754119873	OMIM:240950	OMIM:240950
