rank	score	disease_name	disease_identifier
1	0.026957381516695023	OMIM:600132	OMIM:600132
2	0.032897498458623886	OMIM:601718	OMIM:601718
3	0.03393540531396866	OMIM:602772	OMIM:602772
4	0.0368473194539547	OMIM:617123	OMIM:617123
5	0.0371016226708889	OMIM:613983	OMIM:613983
6	0.037179190665483475	OMIM:606068	OMIM:606068
7	0.03797217831015587	OMIM:120970	OMIM:120970
8	0.038376834243535995	OMIM:613810	OMIM:613810
9	0.038394153118133545	OMIM:613756	OMIM:613756
10	0.039198484271764755	OMIM:612095	OMIM:612095
11	0.03989468514919281	OMIM:613617	OMIM:613617
12	0.04083454608917236	OMIM:180104	OMIM:180104
13	0.04118404909968376	ORPHA:284454	ORPHA:284454
14	0.04130866006016731	OMIM:610283	OMIM:610283
15	0.0421190969645977	OMIM:609913	OMIM:609913
16	0.042247459292411804	OMIM:600138	OMIM:600138
17	0.04245518893003464	OMIM:620228	OMIM:620228
18	0.04260142520070076	OMIM:615233	OMIM:615233
19	0.042643290013074875	OMIM:180105	OMIM:180105
20	0.04287045821547508	OMIM:605549	OMIM:605549
21	0.04332966357469559	OMIM:616469	OMIM:616469
22	0.043341923505067825	ORPHA:41751	ORPHA:41751
23	0.0435488186776638	OMIM:613843	OMIM:613843
24	0.043575212359428406	OMIM:612572	OMIM:612572
25	0.04411797598004341	OMIM:615780	OMIM:615780
26	0.044158902019262314	OMIM:610359	OMIM:610359
27	0.044374968856573105	OMIM:613582	OMIM:613582
28	0.04450950399041176	OMIM:613767	OMIM:613767
29	0.04499169439077377	OMIM:613660	OMIM:613660
30	0.04518863558769226	ORPHA:364055	ORPHA:364055
31	0.045476678758859634	OMIM:616544	OMIM:616544
32	0.04551399499177933	ORPHA:52427	ORPHA:52427
33	0.045804426074028015	OMIM:618173	OMIM:618173
34	0.046129003167152405	OMIM:193220	OMIM:193220
35	0.04621243104338646	OMIM:613750	OMIM:613750
36	0.04666940122842789	OMIM:617023	OMIM:617023
37	0.0474892258644104	OMIM:607921	OMIM:607921
38	0.04765842482447624	OMIM:300029	OMIM:300029
39	0.04796323925256729	OMIM:614180	OMIM:614180
40	0.04808501526713371	OMIM:608133	OMIM:608133
41	0.048104237765073776	OMIM:613428	OMIM:613428
42	0.04833676666021347	ORPHA:85128	ORPHA:85128
43	0.04854940250515938	OMIM:608553	OMIM:608553
44	0.048802297562360764	OMIM:614500	OMIM:614500
45	0.048950936645269394	OMIM:601414	OMIM:601414
46	0.049066461622714996	OMIM:613731	OMIM:613731
47	0.04959402233362198	OMIM:618613	OMIM:618613
48	0.04981154575943947	OMIM:180210	OMIM:180210
49	0.04990601912140846	OMIM:613801	OMIM:613801
50	0.05012710765004158	OMIM:608380	OMIM:608380
51	0.05031972378492355	ORPHA:49382	ORPHA:49382
52	0.050552163273096085	OMIM:303100	OMIM:303100
53	0.05068431422114372	OMIM:618220	OMIM:618220
54	0.05069384723901749	OMIM:613194	OMIM:613194
55	0.050874292850494385	OMIM:617871	OMIM:617871
56	0.05132303759455681	OMIM:613581	OMIM:613581
57	0.05169167369604111	OMIM:216900	OMIM:216900
58	0.05203622952103615	OMIM:618144	OMIM:618144
59	0.05211387947201729	ORPHA:67042	ORPHA:67042
