rank	score	disease_name	disease_identifier
1	0.02224295400083065	OMIM:240300	OMIM:240300
2	0.025193272158503532	ORPHA:699	ORPHA:699
3	0.025212770327925682	ORPHA:3453	ORPHA:3453
4	0.026176653802394867	ORPHA:85138	ORPHA:85138
5	0.026523765176534653	OMIM:146200	OMIM:146200
6	0.026936223730444908	ORPHA:94089	ORPHA:94089
7	0.02702975831925869	OMIM:175500	OMIM:175500
8	0.027678299695253372	OMIM:600740	OMIM:600740
9	0.02794761396944523	ORPHA:199299	ORPHA:199299
10	0.02797652781009674	ORPHA:79443	ORPHA:79443
11	0.028055202215909958	OMIM:219800	OMIM:219800
12	0.028211288154125214	OMIM:212750	OMIM:212750
13	0.028336679562926292	ORPHA:79444	ORPHA:79444
14	0.02887318655848503	OMIM:612462	OMIM:612462
15	0.029172563925385475	ORPHA:2238	ORPHA:2238
16	0.029282541945576668	ORPHA:411634	ORPHA:411634
17	0.029403092339634895	ORPHA:358	ORPHA:358
18	0.02952384762465954	ORPHA:1563	ORPHA:1563
19	0.02965109795331955	OMIM:530000	OMIM:530000
20	0.029666783288121223	ORPHA:36913	ORPHA:36913
21	0.029668014496564865	ORPHA:47159	ORPHA:47159
22	0.029857950285077095	OMIM:269200	OMIM:269200
23	0.029882654547691345	ORPHA:428	ORPHA:428
24	0.03002881444990635	ORPHA:405	ORPHA:405
25	0.03004603087902069	OMIM:277900	OMIM:277900
26	0.030240396037697792	OMIM:248250	OMIM:248250
27	0.030436018481850624	ORPHA:1764	ORPHA:1764
28	0.030477097257971764	ORPHA:95409	ORPHA:95409
29	0.03048984706401825	OMIM:601198	OMIM:601198
30	0.03092481568455696	ORPHA:79408	ORPHA:79408
31	0.03094549849629402	ORPHA:811	ORPHA:811
32	0.030964110046625137	ORPHA:79259	ORPHA:79259
33	0.03099158965051174	ORPHA:18	ORPHA:18
34	0.031028689816594124	ORPHA:534	ORPHA:534
35	0.031171245500445366	ORPHA:213	ORPHA:213
36	0.031249450519680977	ORPHA:231226	ORPHA:231226
37	0.031345389783382416	OMIM:203800	OMIM:203800
38	0.031401727348566055	ORPHA:231214	ORPHA:231214
39	0.03145412355661392	ORPHA:14	ORPHA:14
40	0.03150634095072746	OMIM:617913	OMIM:617913
41	0.03191541135311127	OMIM:309000	OMIM:309000
42	0.03193287178874016	ORPHA:411629	ORPHA:411629
43	0.03195671737194061	ORPHA:261476	ORPHA:261476
44	0.03201102092862129	ORPHA:324	ORPHA:324
45	0.03201834484934807	OMIM:277400	OMIM:277400
46	0.03203193470835686	ORPHA:309031	ORPHA:309031
47	0.03212280571460724	ORPHA:96180	ORPHA:96180
48	0.03214137628674507	OMIM:263800	OMIM:263800
49	0.03217979893088341	ORPHA:416	ORPHA:416
50	0.03223411366343498	ORPHA:191	ORPHA:191
51	0.032560795545578	ORPHA:398063	ORPHA:398063
