rank	score	disease_name	disease_identifier
1	0.027408897876739502	OMIM:614114	OMIM:614114
2	0.029263822361826897	OMIM:609053	OMIM:609053
3	0.029939040541648865	OMIM:270450	OMIM:270450
4	0.02996762841939926	OMIM:605275	OMIM:605275
5	0.030140120536088943	ORPHA:363700	ORPHA:363700
6	0.030175505205988884	OMIM:227645	OMIM:227645
7	0.03036235272884369	OMIM:613398	OMIM:613398
8	0.0303750392049551	OMIM:614294	OMIM:614294
9	0.030677836388349533	OMIM:243800	OMIM:243800
10	0.030732527375221252	OMIM:163950	OMIM:163950
11	0.030736150220036507	OMIM:617140	OMIM:617140
12	0.03076317347586155	OMIM:612946	OMIM:612946
13	0.030845357105135918	OMIM:300998	OMIM:300998
14	0.03088093176484108	OMIM:616651	OMIM:616651
15	0.031020933762192726	ORPHA:2962	ORPHA:2962
16	0.031175576150417328	OMIM:615355	OMIM:615355
17	0.031240565702319145	OMIM:617506	OMIM:617506
18	0.03133711218833923	OMIM:278250	OMIM:278250
19	0.031551897525787354	OMIM:617159	OMIM:617159
20	0.0315893292427063	OMIM:300712	OMIM:300712
21	0.03166727349162102	OMIM:610443	OMIM:610443
22	0.03171900287270546	OMIM:301056	OMIM:301056
23	0.031792059540748596	OMIM:612938	OMIM:612938
24	0.03184123709797859	OMIM:612626	OMIM:612626
25	0.03188197314739227	OMIM:257300	OMIM:257300
26	0.03200399503111839	OMIM:613224	OMIM:613224
27	0.03201865032315254	ORPHA:1596	ORPHA:1596
28	0.032020311802625656	OMIM:616489	OMIM:616489
29	0.03202928975224495	OMIM:611553	OMIM:611553
30	0.03202997148036957	ORPHA:94063	ORPHA:94063
31	0.03204474598169327	OMIM:607721	OMIM:607721
32	0.032078277319669724	OMIM:617452	OMIM:617452
33	0.03210155665874481	OMIM:616564	OMIM:616564
34	0.032141100615262985	OMIM:616777	OMIM:616777
35	0.03218258544802666	ORPHA:459070	ORPHA:459070
36	0.03220319002866745	OMIM:179613	OMIM:179613
37	0.03222676366567612	OMIM:194190	OMIM:194190
38	0.032296814024448395	ORPHA:1600	ORPHA:1600
39	0.03242156654596329	OMIM:620183	OMIM:620183
40	0.03245219960808754	OMIM:609069	OMIM:609069
41	0.03248513489961624	OMIM:151100	OMIM:151100
42	0.032498084008693695	ORPHA:96201	ORPHA:96201
43	0.03253938630223274	ORPHA:329224	ORPHA:329224
44	0.03256256878376007	OMIM:615279	OMIM:615279
45	0.03257165476679802	ORPHA:52	ORPHA:52
46	0.03258000314235687	OMIM:614261	OMIM:614261
47	0.03261253237724304	OMIM:615582	OMIM:615582
48	0.0326819121837616	OMIM:613563	OMIM:613563
49	0.03271171450614929	OMIM:617352	OMIM:617352
50	0.03277869522571564	OMIM:218040	OMIM:218040
51	0.032782867550849915	OMIM:301030	OMIM:301030
52	0.03281133994460106	OMIM:614886	OMIM:614886
53	0.032852474600076675	OMIM:617190	OMIM:617190
54	0.0329258069396019	OMIM:618223	OMIM:618223
55	0.032932814210653305	OMIM:300855	OMIM:300855
